gene	orthogroup	orthogroup_support	reference_ortholog	reference_support	species	is_largest_og	is_duplicated_in_og	dist_to_root	prot_length	closest_neighbours	closest_neighbours_freq	is_outlier_to_closest
Morvir_scaffold133.g39.t1	OG0	1	NA	NA	Morvir	TRUE	TRUE	1.9851876	1152	Sanmal	0.306591337099812	FALSE
Ocar_g6066	OG0	1	NA	NA	Ocar	TRUE	FALSE	2.5444412	992	Opea	0.96857855361596	FALSE
Dpul_mRNA9375	OG0	1	NA	NA	Dpul	TRUE	TRUE	2.6986245	3287	Tcas	0.46645109135004	FALSE
Lcom_lcpid136114	OG0	1	NA	NA	Lcom	TRUE	TRUE	2.5474917517	169	Gracom	0.183933115230825	FALSE
Emue_Em0002g1054a.t1	OG0	1	NA	NA	Emue	TRUE	TRUE	2.81242088	635	Spolac	0.933360927152318	FALSE
Vmul_Simscaffold8521_01	OG0	1	NA	NA	Vmul	TRUE	FALSE	3.300432	337	Lampan	0.0310532941670164	FALSE
Aque_Aqu2.1.39630_001	OG0	1	NA	NA	Aque	TRUE	FALSE	2.8055646	3574	Halamb	0.784065524944155	FALSE
Spolac_c104119_g2_i1_m.38263c103041-g2	OG0	1	NA	NA	Spolac	TRUE	TRUE	2.72917276	1165	Emue	0.829240649792218	FALSE
Sros_EGD80052	OG0	1	NA	NA	Sros	TRUE	FALSE	3.7624244	4426	Microa	0.958815958815959	FALSE
Codhol_EP00042_Codosiga_hollandica_P055884	OG0	1	NA	NA	Codhol	TRUE	TRUE	3.861888	3625	Saldol	0.233832807570978	FALSE
Stycar_maker-SC_scaffold125007-augustus-gene-0.5-mRNA-1	OG0	1	NA	NA	Stycar	TRUE	TRUE	2.9732277	59	Spolac	0.144708423326134	FALSE
Clacor_Ccor_scaffold9478_01	OG0	1	NA	NA	Clacor	TRUE	TRUE	2.5053288	344	Lcom	0.234600262123198	FALSE
Gracom_Gcom_scaffold17875_01	OG0	1	NA	NA	Gracom	TRUE	TRUE	3.4959498	2191	Scil	0.450660450660451	FALSE
Scil_scict015914.1	OG0	1	NA	NA	Scil	TRUE	FALSE	3.4273348	2801	Gracom	0.451923076923077	FALSE
Salkve_EP00050_Salpingoeca_kvevrii_P020916	OG0	1	NA	NA	Salkve	TRUE	FALSE	3.2597115	3539	Salurc	0.318857589984351	FALSE
Spolac_c104119_g2_i2_m.38268c103041-g2	OG0	1	NA	NA	Spolac	TRUE	TRUE	2.728425246	1204	Emue	0.829240649792218	FALSE
Saldol_EP00054_Salpingoeca_dolichothecata_P021304	OG0	1	NA	NA	Saldol	TRUE	FALSE	3.1757822	942	Salkve	0.17882797731569	FALSE
Fspp_ffun1.m4.2652.m1	OG0	1	NA	NA	Fspp	TRUE	FALSE	2.0182875	1568	Gasp	0.757231783229586	FALSE
Aaur_scaffold473.g11.t1	OG0	1	NA	NA	Aaur	TRUE	FALSE	1.7389168	1518	Rhoesc	0.65149359886202	FALSE
Diagra_EP00040_Diaphanoeca_grandis_P033961	OG0	1	NA	NA	Diagra	TRUE	FALSE	3.592007	2172	Stedip	0.546036829463571	FALSE
Didcos_EP00039_Didymoeca_costata_P024293	OG0	1	NA	NA	Didcos	TRUE	FALSE	3.676755	1636	Diagra	0.289731051344743	FALSE
Hsap_ENST00000325239	OG0	1	NA	NA	Hsap	TRUE	TRUE	3.21389	3184	Bralan	0.501451378809869	FALSE
Beraby_Baby_sb347076	OG0	1	NA	NA	Beraby	TRUE	TRUE	3.3584641023	521	Mlei	0.493168796826796	FALSE
Dpul_mRNA5389	OG0	1	NA	NA	Dpul	TRUE	TRUE	2.6255669187	139	Tcas	0.46645109135004	FALSE
Tetwil_g2147.t2	OG0	1	NA	NA	Tetwil	TRUE	TRUE	2.7176874	216	Halamb	0.0322079937912301	FALSE
HoiH06_mRNA2410	OG0	1	NA	NA	HoiH06	TRUE	FALSE	2.40519547	3282	HoiH23	0.945999211667324	FALSE
Lcom_lcpid4378	OG0	1	NA	NA	Lcom	TRUE	TRUE	3.3925298	2805	Scil	0.203925845147219	FALSE
Gracom_Gcom_scaffold12553_01	OG0	1	NA	NA	Gracom	TRUE	TRUE	2.7046454	1714	Lcom	0.138694638694639	FALSE
Acaspe_EP00035_Acanthoeca_spectabilis_P029592	OG0	1	NA	NA	Acaspe	TRUE	TRUE	3.8255905	3093	Helnan	0.953877551020408	FALSE
Cscu_XM_023355854.1	OG0	1	NA	NA	Cscu	TRUE	FALSE	2.2995114	1089	Tcas	0.191578148710167	FALSE
Salinf_EP00049_Salpingoeca_infusionum_P016720	OG0	1	NA	NA	Salinf	TRUE	FALSE	3.7874864	3784	Microa	0.351602023608769	FALSE
Salurc_EP00051_Salpingoeca_urceolata_P021247	OG0	1	NA	NA	Salurc	TRUE	FALSE	3.3491035	2274	Salkve	0.291891891891892	FALSE
Emue_Em0002g1066a.t1	OG0	1	NA	NA	Emue	TRUE	TRUE	2.6965727523	305	Spolac	0.933360927152318	FALSE
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA149030	OG0	1	NA	NA	Ctel	TRUE	FALSE	2.2547274	1028	Acagra	0.451291512915129	FALSE
Leuniv_Lniv_scaffold26050_01	OG0	1	NA	NA	Leuniv	TRUE	FALSE	2.8056117	1253	Lcom	0.213108162444713	FALSE
Lampan_Lpan_9312_01	OG0	1	NA	NA	Lampan	TRUE	FALSE	3.157924	1760	Mlei	0.214091086025691	FALSE
Codhol_EP00042_Codosiga_hollandica_P047251	OG0	1	NA	NA	Codhol	TRUE	TRUE	3.210862	3508	Saldol	0.233832807570978	FALSE
Lcom_lcpid140731	OG0	1	NA	NA	Lcom	TRUE	TRUE	2.5474904023	153	Gracom	0.183933115230825	FALSE
Bralan_BLAG90000451_1	OG0	1	NA	NA	Bralan	TRUE	TRUE	2.1816432224	715	Ctel	0.0347826086956522	FALSE
Rhoesc_Res_012184-T1	OG0	1	NA	NA	Rhoesc	TRUE	FALSE	1.7117528	2798	Nemnom	0.959651035986914	FALSE
Emue_Em0002g1059a.t1	OG0	1	NA	NA	Emue	TRUE	TRUE	3.37200354	609	Spolac	0.933360927152318	FALSE
Hsap_ENST00000295888	OG0	1	NA	NA	Hsap	TRUE	TRUE	2.15829	3526	Bralan	0.501451378809869	FALSE
Spur_XM_030980012.1	OG0	1	NA	NA	Spur	TRUE	FALSE	2.3010066	3662	Skow	0.621086721842389	FALSE
Mbre_EDQ92635	OG0	1	NA	NA	Mbre	TRUE	FALSE	3.7476334	721	Chofle	0.458812701334561	FALSE
Cgig_XM_034456560.1	OG0	1	NA	NA	Cgig	TRUE	FALSE	2.3529805	3545	Acagra	0.765387400434468	FALSE
Helnan_EP00037_Helgoeca_nana_P028747	OG0	1	NA	NA	Helnan	TRUE	FALSE	3.8071101	3281	Acaspe	0.950366151342555	FALSE
Xesp_002660-T1	OG0	1	NA	NA	Xesp	TRUE	FALSE	2.1712056	3585	Dgig	0.973204317082248	FALSE
Horcal_Hcv1.av93.c12.g76.i1	OG0	1	NA	NA	Horcal	TRUE	FALSE	3.442537	3055	Pbac	0.863125242341993	FALSE
Stycar_maker-SC_scaffold2023-augustus-gene-0.73-mRNA-1	OG0	1	NA	NA	Stycar	TRUE	TRUE	3.8609535	511	Spolac	0.144708423326134	FALSE
Beraby_Baby_sb347074	OG0	1	NA	NA	Beraby	TRUE	TRUE	3.3584682947	722	Mlei	0.493168796826796	FALSE
Emue_Em0002g1063a.t1	OG0	1	NA	NA	Emue	TRUE	TRUE	3.60207754	434	Spolac	0.933360927152318	FALSE
Pbac_sb2660318	OG0	1	NA	NA	Pbac	TRUE	TRUE	3.69409	286	Eupdun	0.00465477114041893	TRUE
Acaspe_EP00035_Acanthoeca_spectabilis_P019681	OG0	1	NA	NA	Acaspe	TRUE	TRUE	3.7844308664	178	Helnan	0.953877551020408	FALSE
Microa_EP00043_Microstomoeca_roanoka_P019764	OG0	1	NA	NA	Microa	TRUE	FALSE	3.6682144	977	Sros	0.9	FALSE
Gfas_gfas1.m1.650.m1	OG0	1	NA	NA	Gfas	TRUE	FALSE	2.0005559	3736	Amil	0.233284349742836	FALSE
Stycar_maker-SC_scaffold4383-augustus-gene-0.58-mRNA-1	OG0	1	NA	NA	Stycar	TRUE	TRUE	2.7952525181	180	Spolac	0.144708423326134	FALSE
Salmac_EP00052_Salpingoeca_macrocollata_P015058	OG0	1	NA	NA	Salmac	TRUE	FALSE	3.3094414	922	Salpun	0.678018575851393	FALSE
Xestes_maker-XT_scaffold3465-augustus-gene-0.8-mRNA-1	OG0	1	NA	NA	Xestes	TRUE	FALSE	2.7731914	928	Halamb	0.591569086651054	FALSE
Adig_XM_015901853.1	OG0	1	NA	NA	Adig	TRUE	FALSE	2.0030147	3036	Amil	0.873403456048084	FALSE
TrH2_TrispH2_001630-RA	OG0	1	NA	NA	TrH2	TRUE	FALSE	2.367723446	3188	Tadh	0.959603378626515	FALSE
Dpul_mRNA18232	OG0	1	NA	NA	Dpul	TRUE	TRUE	2.6726717	95	Tcas	0.46645109135004	FALSE
Nvec_NVE4410	OG0	1	NA	NA	Nvec	TRUE	TRUE	2.0998394	452	Exapal	0.795807734007951	FALSE
Hhon_g01030.t1	OG0	1	NA	NA	Hhon	TRUE	FALSE	2.4142654622	3460	HoiH04	0.944380514000767	FALSE
Hvul_g19483_1	OG0	1	NA	NA	Hvul	TRUE	FALSE	1.7603526	856	Chem	0.788721804511278	FALSE
Emue_Em0002g1067a.t1	OG0	1	NA	NA	Emue	TRUE	TRUE	2.695292785	3473	Spolac	0.933360927152318	FALSE
Lcom_lcpid205471	OG0	1	NA	NA	Lcom	TRUE	TRUE	2.6950432023	133	Leuniv	0.310796074154853	FALSE
HoiH23_PlH23_002756-RA	OG0	1	NA	NA	HoiH23	TRUE	FALSE	2.40738003	3141	HoiH06	0.839677891654466	FALSE
Lcom_lcpid200939	OG0	1	NA	NA	Lcom	TRUE	TRUE	2.695044322	137	Leuniv	0.310796074154853	FALSE
Eupdun_Edun_sb10637111	OG0	1	NA	NA	Eupdun	TRUE	FALSE	3.105483	277	Lampan	0.454386984311447	FALSE
Salpun_EP00053_Salpingoeca_punica_P019127	OG0	1	NA	NA	Salpun	TRUE	FALSE	3.3675374	836	Salmac	0.693967239312825	FALSE
Stedip_EP00041_Stephanoeca_diplocostata_P036044	OG0	1	NA	NA	Stedip	TRUE	FALSE	3.745949	1761	Acaspe	0.417455743104158	FALSE
Tadh_TriadT23507	OG0	1	NA	NA	Tadh	TRUE	FALSE	2.37135646	3188	TrH2	0.977645305514158	FALSE
Halamb_c55886_g1_i1m.41967	OG0	1	NA	NA	Halamb	TRUE	FALSE	2.7620338	3551	Aque	0.806740614334471	FALSE
Spolac_c103041_g2_i8_m.32198c103041-g2	OG0	1	NA	NA	Spolac	TRUE	TRUE	2.6681248	610	Emue	0.829240649792218	FALSE
Tcas_TC000957_001	OG0	1	NA	NA	Tcas	TRUE	FALSE	2.4336149	3378	Dpul	0.460768614891914	FALSE
Mylflu_EP00047_Mylnosiga_fluctuans_P023839	OG0	1	NA	NA	Mylflu	TRUE	FALSE	3.5745554	3132	Salkve	0.129838709677419	FALSE
Nvec_NVE4408	OG0	1	NA	NA	Nvec	TRUE	TRUE	2.0595299	270	Exapal	0.795807734007951	FALSE
Opea_EP00118_Oscarella_pearsei_P017008	OG0	1	NA	NA	Opea	TRUE	FALSE	2.50023278	3337	Ocar	0.713865391688121	FALSE
Exapal_XM_021038389.2	OG0	1	NA	NA	Exapal	TRUE	FALSE	1.94455	3046	Nvec	0.815856777493606	FALSE
Gasp_gasp1.m3.11263.m1	OG0	1	NA	NA	Gasp	TRUE	FALSE	1.9981656	3746	Fspp	0.775792927451695	FALSE
Skow_XM_006813012.1	OG0	1	NA	NA	Skow	TRUE	FALSE	2.1942886	3522	Spur	0.449323088181486	FALSE
Plespi_Pspi_scaffold15319_01	OG0	1	NA	NA	Plespi	TRUE	FALSE	2.6500149	1236	Spolac	0.105210918114144	FALSE
Emue_Em0002g1051a.t1	OG0	1	NA	NA	Emue	TRUE	TRUE	2.73232968	956	Spolac	0.933360927152318	FALSE
HoiH04_mRNA11588	OG0	1	NA	NA	HoiH04	TRUE	FALSE	2.4183226	3460	Hhon	0.932933683027351	FALSE
Dgig_XM_028546351.1	OG0	1	NA	NA	Dgig	TRUE	FALSE	2.1485786	3641	Xesp	0.930909090909091	FALSE
Amil_Amillepora20353-RA	OG0	1	NA	NA	Amil	TRUE	FALSE	1.983044	3566	Adig	0.859457422758101	FALSE
Bralan_BLAG15000101_1	OG0	1	NA	NA	Bralan	TRUE	TRUE	2.1816430667	3688	Ctel	0.0347826086956522	FALSE
Emue_Em0002g1061a.t1	OG0	1	NA	NA	Emue	TRUE	TRUE	2.6965740927	3690	Spolac	0.933360927152318	FALSE
Nemnom_g10926.t1	OG0	1	NA	NA	Nemnom	TRUE	FALSE	1.7525975	3463	Rhoesc	0.971304031965129	FALSE
Acagra_model.g4560.t1	OG0	1	NA	NA	Acagra	TRUE	FALSE	2.2828055	3515	Cgig	0.738669590643275	FALSE
Sanmal_Sma_017156-T1	OG0	1	NA	NA	Sanmal	TRUE	FALSE	1.674174	3608	Rhoesc	0.412898443291327	FALSE
HoiH11_mRNA9671	OG0	1	NA	NA	HoiH11	TRUE	FALSE	2.3961914	2864	HoiH06	0.235353535353535	FALSE
Tetwil_g18181.t1	OG0	1	NA	NA	Tetwil	TRUE	TRUE	2.8434214	534	Halamb	0.0322079937912301	FALSE
