sp1	sp2	ec_value	cluster
Hhon_g00019.t1	chico	0.0643002556330437	1
Hhon_g00037.t1	chico	0.0954109208918739	1
Hhon_g10792.t1	pAbp	0.369482329722044	2
Hhon_g00054.t1	pAbp	0.778516908678255	2
Hhon_g00054.t1	CG4612	NA	2
Hhon_g07522.t1	ppk7	NA	3
Hhon_g07522.t1	Nach	0.135653201590655	3
Hhon_g07522.t1	ppk27	NA	3
Hhon_g00079.t1	ppk7	NA	3
Hhon_g00079.t1	Nach	0.117895295305302	3
Hhon_g10135.t1	ppk28	0.337826761915092	3
Hhon_g10135.t1	ppk12	0.117960974969602	3
Hhon_g10135.t1	Nach	NA	3
Hhon_g10135.t1	ppk	0.314557619288136	3
Hhon_g10135.t1	ppk25	0.578578904805515	3
Hhon_g10135.t1	ppk6	NA	3
Hhon_g10135.t1	ppk22	NA	3
Hhon_g02560.t1	ppk28	0.280398302319687	3
Hhon_g02560.t1	ppk7	0.457476918207756	3
Hhon_g02560.t1	ppk3	NA	3
Hhon_g02560.t1	ppk21	0.122474911740596	3
Hhon_g02560.t1	Nach	NA	3
Hhon_g02560.t1	ppk13	0.278294889060794	3
Hhon_g02560.t1	ppk14	0.458722913561348	3
Hhon_g02560.t1	ppk27	0.287703888140988	3
Hhon_g02560.t1	ppk22	NA	3
Hhon_g00080.t1	ppk21	NA	3
Hhon_g00080.t1	ppk20	NA	3
Hhon_g00080.t1	ppk14	NA	3
Hhon_g00080.t1	ppk7	NA	3
Hhon_g00080.t1	Nach	0.117993312168617	3
Hhon_g00080.t1	ppk25	NA	3
Hhon_g05901.t1	ppk21	0.17837738690033	3
Hhon_g05901.t1	ppk19	NA	3
Hhon_g05901.t1	ppk14	0.423657711380613	3
Hhon_g05901.t1	ppk7	0.442856175939952	3
Hhon_g05901.t1	ppk8	0.235791665041695	3
Hhon_g05901.t1	ppk12	0.108627516419328	3
Hhon_g05901.t1	ppk	0.30005466669131	3
Hhon_g05901.t1	ppk28	0.299042631278076	3
Hhon_g05901.t1	rpk	NA	3
Hhon_g05901.t1	ppk26	0.323211410781845	3
Hhon_g05901.t1	ppk15	0.494842618936021	3
Hhon_g05901.t1	ppk9	NA	3
Hhon_g05901.t1	ppk23	0.483110264721003	3
Hhon_g05901.t1	ppk31	NA	3
Hhon_g05901.t1	ppk6	NA	3
Hhon_g05901.t1	ppk5	0.443733437458672	3
Hhon_g05901.t1	ppk3	NA	3
Hhon_g05901.t1	ppk25	0.530871240884153	3
Hhon_g05901.t1	ppk27	0.326250630790784	3
Hhon_g00083.t1	Nach	0.1761883838202	3
Hhon_g00083.t1	ppk7	NA	3
Hhon_g00083.t1	ppk25	NA	3
Hhon_g00083.t1	ppk27	NA	3
Hhon_g00084.t1	ppk22	0.177396816705725	3
Hhon_g00084.t1	Nach	0.175370906627479	3
Hhon_g00084.t1	ppk7	NA	3
Hhon_g00084.t1	ppk25	NA	3
Hhon_g00084.t1	ppk10	NA	3
Hhon_g00084.t1	ppk9	0.297881207270068	3
Hhon_g00084.t1	ppk27	NA	3
Hhon_g00078.t1	ppk13	NA	3
Hhon_g00078.t1	ppk9	0.242728601651292	3
Hhon_g00078.t1	Nach	0.219177068477476	3
Hhon_g00078.t1	ppk7	NA	3
Hhon_g00078.t1	ppk27	NA	3
Hhon_g00082.t1	CG6244	NA	4
Hhon_g00082.t1	CG40228	0.205213262813803	4
Hhon_g00108.t1	CG12608	0.502307719685473	5
Hhon_g00108.t1	CG9123	0.0396725234008289	5
Hhon_g00130.t1	UK114	0.38498971557483	6
Hhon_g00129.t1	UK114	0.775205848763147	6
Hhon_g00135.t1	TfIIS	0.628585810926083	7
Hhon_g00135.t1	CG8117	0.263033751710144	7
Hhon_g00136.t1	CG15362	0.548099035533414	8
Hhon_g00136.t1	CG34015	0.584784172053122	8
Hhon_g06841.t1	CG14856	0.142889917038651	9
Hhon_g06841.t1	CG6231	0.186439703601172	9
Hhon_g06841.t1	CG14857	-0.00706745119040957	9
Hhon_g06841.t1	CG16727	NA	9
Hhon_g06841.t1	CG14855	0.000885092291984514	9
Hhon_g06841.t1	CG7333	0.00463777916700176	9
Hhon_g00151.t1	CG17751	NA	9
Hhon_g00151.t1	CG17752	NA	9
Hhon_g00151.t1	CG6231	0.156697253900757	9
Hhon_g00151.t1	CG16727	NA	9
Hhon_g00151.t1	CG7333	NA	9
Hhon_g00151.t1	CG7342	0.143240669840594	9
Hhon_g00151.t1	CG14856	0.190583286571057	9
Hhon_g00151.t1	CG14857	NA	9
Hhon_g00159.t1	VhaPPA1-1	0.316696403274465	10
Hhon_g00159.t1	VhaPPA1-2	0.353243485998509	10
Hhon_g00163.t1	CG11438	0.00258257741410184	11
Hhon_g00163.t1	wun	NA	11
Hhon_g00163.t1	wun2	0.0543905936447681	11
Hhon_g00163.t1	CG11426	0.146345176307302	11
Hhon_g00163.t1	CG11425	0.205747559189907	11
Hhon_g00163.t1	laza	0.0794856925617641	11
Hhon_g00173.t1	Klp59D	0.153396587865983	12
Hhon_g00173.t1	Klp10A	0.233839080613781	12
Hhon_g00173.t1	Klp59C	0.148130793857595	12
Hhon_g00191.t1	lute	0.036745545721721	13
Hhon_g00191.t1	CG17068	NA	13
Hhon_g00200.t1	CG7328	0.552526721084673	14
Hhon_g00200.t1	CG12289	0.379280800717077	14
Hhon_g00200.t1	CG7551	0.37990812978516	14
Hhon_g00200.t1	CG7335	0.377228026493409	14
Hhon_g00203.t1	CG10073	0.0542629293163062	15
Hhon_g00203.t1	CG30049	0.443672344765893	15
Hhon_g00203.t1	CG33012	0.477794764012842	15
Hhon_g00203.t1	CG30043	0.581290965233725	15
Hhon_g00203.t1	CG10081	0.136123107034123	15
Hhon_g00203.t1	CG30047	0.567915277953239	15
Hhon_g00203.t1	CG13160	0.592211831065573	15
Hhon_g00203.t1	CG9416	0.0432595282730067	15
Hhon_g00203.t1	CG11961	0.493280964438851	15
Hhon_g00203.t1	CG10062	NA	15
Hhon_g00203.t1	CG10051	0.452982833557544	15
Hhon_g00205.t1	fax	NA	16
Hhon_g07952.t1	fax	0.0603952404567168	16
Hhon_g02692.t1	fax	NA	16
Hhon_g00733.t1	fax	NA	16
Hhon_g02691.t1	fax	NA	16
Hhon_g02055.t1	fax	NA	16
Hhon_g04420.t1	fax	0.0476903464783336	16
Hhon_g01312.t1	fax	NA	16
Hhon_g07399.t1	fax	NA	16
Hhon_g07955.t1	fax	NA	16
Hhon_g02693.t1	fax	0.109914032814354	16
Hhon_g09275.t1	fax	0.0258835074519138	16
Hhon_g00700.t1	fax	NA	16
Hhon_g07954.t1	fax	0.0540934301976767	16
Hhon_g02056.t1	fax	NA	16
Hhon_g07953.t1	fax	0.0441856299169057	16
Hhon_g00701.t1	fax	NA	16
Hhon_g00699.t1	fax	NA	16
Hhon_g03217.t1	GstS1	0.194849435752323	17
Hhon_g04996.t1	GstS1	NA	17
Hhon_g04994.t1	GstS1	NA	17
Hhon_g06754.t1	GstS1	NA	17
Hhon_g08439.t1	GstS1	0.010385329639632	17
Hhon_g03216.t1	GstS1	0.411665426513207	17
Hhon_g03216.t1	GstD9	0.499405810765608	17
Hhon_g00210.t1	GstS1	0.395798960672583	17
Hhon_g00210.t1	GstD9	0.482534171721522	17
Hhon_g06750.t1	GstS1	0.0767974919160337	17
Hhon_g04995.t1	GstS1	NA	17
Hhon_g06748.t1	GstS1	0.439659196635021	17
Hhon_g00209.t1	GstS1	0.405494869558704	17
Hhon_g00208.t1	GstS1	0.148891290850352	17
Hhon_g00208.t1	GstE10	0.548688661333441	17
Hhon_g03241.t1	GstS1	0.419330445657385	17
Hhon_g06749.t1	GstS1	0.393925211187636	17
Hhon_g03275.t1	GstS1	0.433211794616356	17
Hhon_g06752.t1	GstS1	0.173484177562927	17
Hhon_g03240.t1	GstS1	0.246047471874024	17
Hhon_g00223.t1	Src42A	NA	18
Hhon_g00224.t1	Src42A	0.075816055427864	18
Hhon_g00224.t1	Socs44A	NA	18
Hhon_g00222.t1	Src42A	0.425496483634795	18
Hhon_g00222.t1	Socs44A	NA	18
Hhon_g00221.t1	Src42A	0.272429391100713	18
Hhon_g00236.t1	CG14767	0.328431653571707	19
Hhon_g00236.t1	CG43183	NA	19
Hhon_g07439.t1	Spn47C	NA	20
Hhon_g07439.t1	Spn42De	NA	20
Hhon_g07439.t1	Spn88Eb	NA	20
Hhon_g00257.t1	Spn47C	0.36961146682951	20
Hhon_g00257.t1	Spn42De	0.0873594496124302	20
Hhon_g00257.t1	Spn43Aa	0.369201562459484	20
Hhon_g00257.t1	Spn42Da	0.253249258808188	20
Hhon_g00257.t1	Spn42Dd	0.101361705257351	20
Hhon_g00257.t1	Spn55B	0.221148192426268	20
Hhon_g00257.t1	Spn88Eb	NA	20
Hhon_g00257.t1	Spn42Db	0.343252974914242	20
Hhon_g00257.t1	Spn28Db	0.0546765371729499	20
Hhon_g09471.t1	Spn47C	NA	20
Hhon_g09471.t1	Spn42De	NA	20
Hhon_g09471.t1	Spn43Aa	NA	20
Hhon_g09471.t1	Spn42Da	NA	20
Hhon_g09471.t1	Spn42Dc	NA	20
Hhon_g09471.t1	Spn88Eb	NA	20
Hhon_g08268.t1	Spn47C	NA	20
Hhon_g08268.t1	Spn42De	NA	20
Hhon_g08268.t1	Spn43Aa	NA	20
