gene	orthogroup	orthogroup_support	reference_ortholog	reference_support	species	is_largest_og	is_duplicated_in_og	dist_to_root	prot_length	closest_neighbours	closest_neighbours_freq	is_outlier_to_closest
Bralan_BLAG04000879_1	OG0	100	NA	NA	Bralan	FALSE	FALSE	2.958775	696	Skow	0.414960780562464	FALSE
Acagra_model.g15313.t1	OG0	100	NA	NA	Acagra	FALSE	FALSE	2.9290783	1020	Cgig	0.684659654693392	FALSE
Cgig_XM_011447820.3	OG0	100	NA	NA	Cgig	FALSE	FALSE	2.7985323	1017	Acagra	0.698916408668731	FALSE
Skow_XM_002732487.2	OG0	100	NA	NA	Skow	FALSE	FALSE	2.883077	1063	Bralan	0.320788177339902	FALSE
Plajan_Pjan_scaffold23778_01	OG1	81	NA	NA	Plajan	TRUE	FALSE	1.918312	1007	Opea	0.59010152284264	FALSE
TrH2_TrispH2_011741-RA	OG1	81	NA	NA	TrH2	TRUE	TRUE	2.27521443	134	Tadh	0.951310088714669	FALSE
Nemnom_g1344.t1	OG1	81	NA	NA	Nemnom	TRUE	FALSE	2.1305006	1042	Sanmal	0.0101194090265129	FALSE
Gasp_gasp1.m3.29748.m1	OG1	81	NA	NA	Gasp	TRUE	TRUE	2.1802278	387	Pocdam	0.0859344894026975	FALSE
Gasp_gasp1.m3.29106.m1	OG1	81	NA	NA	Gasp	TRUE	TRUE	2.1913146	286	Pocdam	0.0859344894026975	FALSE
Coeast_Cast_sb835256	OG1	81	NA	NA	Coeast	TRUE	TRUE	2.29901024	179	Coemet	0.834557402396598	FALSE
Xesp_006652-T1	OG1	81	NA	NA	Xesp	TRUE	TRUE	2.1406308	124	Dgig	0.95399216009903	FALSE
TrH2_TrispH2_000725-RA	OG1	81	NA	NA	TrH2	TRUE	TRUE	2.0343953917	1000	Tadh	0.951310088714669	FALSE
Coemet_Cmet_scaffold22287_01	OG1	81	NA	NA	Coemet	TRUE	FALSE	2.3135261136	1005	Coeast	0.553218774044627	FALSE
Morvir_scaffold17.g145.t1	OG1	81	NA	NA	Morvir	TRUE	FALSE	2.0751959	1019	Sanmal	0.284405496912966	FALSE
Sanmal_Sma_025665-T1	OG1	81	NA	NA	Sanmal	TRUE	FALSE	2.0969378	1115	Nemnom	0.156535881276682	FALSE
Hhon_g05007.t1	OG1	81	NA	NA	Hhon	TRUE	FALSE	2.04836724	1016	HoiH04	0.933318900194847	FALSE
Coeast_Cast_sb759968	OG1	81	NA	NA	Coeast	TRUE	TRUE	2.32751616	178	Coemet	0.834557402396598	FALSE
Lcom_lcpid104386	OG1	81	NA	NA	Lcom	TRUE	TRUE	2.5740672	317	Gracom	0.188830855765368	FALSE
Gracom_Gcom_scaffold1593_01	OG1	81	NA	NA	Gracom	TRUE	FALSE	2.6245396	767	Leuniv	0.368180780643689	FALSE
Chem_TCONS_00026417	OG1	81	NA	NA	Chem	TRUE	TRUE	2.1921307	302	Hvul	0.648217843701572	FALSE
Gfas_gfas1.m1.2991.m1	OG1	81	NA	NA	Gfas	TRUE	FALSE	2.2551326	910	Amil	0.223761217323449	FALSE
Lampan_Lpan_6430_01	OG1	81	NA	NA	Lampan	TRUE	FALSE	2.3038977081	636	Bolinf	0.193955907852366	FALSE
