sp1	sp2	ec_value	is_o2o
Tadh_TriadG25296	Spis_XP_022797254_1	0	1
Tadh_TriadG25488	Spis_XP_022785113_1	0	1
Tadh_TriadG57282	Spis_XP_022803091_1	0.170627570734852	1
Tadh_TriadG18345	Spis_XP_022783087_1	0.15568816196871	1
Tadh_TriadG56780	Spis_XP_022794011_1	0.311762811856458	1
Tadh_TriadG2795	Spis_XP_022800157_1	0.213898458370927	1
Tadh_hyp_clust4664	Spis_XP_022784057_1	0.589089792372276	1
Tadh_TriadG56817	Spis_XP_022801529_1	0	1
Tadh_TriadG19437	Spis_XP_022803279_1	0	1
Tadh_TriadG56831	Spis_XP_022807555_1	0	1
Tadh_TriadG22596	Spis_XP_022782626_1	0	1
Tadh_TriadG17057	Spis_XP_022789408_1	0	1
Tadh_TriadG23050	Spis_XP_022785897_1	0.198978133312199	1
Tadh_TriadG22540	Spis_XP_022782515_1	0.653273988676316	1
Tadh_TriadG55006	Spis_XP_022787332_1	0	1
Tadh_TriadG50105	Spis_XP_022787329_1	0	1
Tadh_TriadG22031	Spis_XP_022803480_1	0.295434496691683	1
Tadh_TriadG56912	Spis_XP_022792638_1	0	1
Tadh_TriadG25080	Spis_XP_022787975_1	0.261641810236536	1
Tadh_TriadG56918	Spis_XP_022790740_1	0	1
Tadh_TriadG49948	Spis_XP_022782523_1	0.195651845011246	1
Tadh_TriadG56920	Spis_XP_022801252_1	0.130886640155561	1
Tadh_TriadG54019	Spis_XP_022795037_1	0.478123378361815	1
Tadh_TriadG55538	Spis_XP_022799699_1	0.308386883869558	1
Tadh_TriadG25064	Spis_XP_022781353_1	0.0880222405908504	1
Tadh_TriadG58441	Spis_XP_022806566_1	0.168325651813523	1
Tadh_TriadG59186	Spis_XP_022794858_1	0	1
Tadh_TriadG30551	Spis_XP_022799020_1	0	1
Tadh_TriadG2319	Spis_XP_022781827_1	0.0458110444598712	1
Tadh_TriadG50347	Spis_XP_022785509_1	0	1
Tadh_wf_g5865	Spis_XP_022795856_1	0	1
Tadh_TriadG57913	Spis_XP_022789380_1	0.0478245114493547	1
Tadh_TriadG24324	Spis_XP_022794093_1	0.263788610859261	1
Tadh_TriadG52029	Spis_XP_022781736_1	0.00961670706597529	1
Tadh_TriadG55689	Spis_XP_022795985_1	0	1
Tadh_TriadG23944	Spis_XP_022806803_1	0.151632292510729	1
Tadh_TriadG23383	Spis_XP_022806804_1	0.00350586127304096	1
Tadh_TriadG24298	Spis_XP_022784065_1	0.60513491829628	1
Tadh_TriadG24211	Spis_XP_022804212_1	0.12427513702105	1
Tadh_TriadG55198	Spis_XP_022792539_1	0.442859848595201	1
Tadh_TriadG55283	Spis_XP_022798479_1	0.0718854411070158	1
Tadh_TriadG55298	Spis_XP_022797366_1	0	1
Tadh_TriadG23540	Spis_XP_022803562_1	0	1
Tadh_TriadG35784	Spis_XP_022806271_1	0.19069925942717	1
Tadh_TriadG23652	Spis_XP_022806920_1	0.703942225274809	1
Tadh_TriadG31139	Spis_XP_022780305_1	0.464433550499918	1
Tadh_TriadG31093	Spis_XP_022802656_1	0.234251061357622	1
Tadh_TriadG55341	Spis_XP_022798108_1	0	1
Tadh_TriadG55346	Spis_XP_022803845_1	0.348407370222864	1
Tadh_TriadG14382	Spis_XP_022801180_1	0	1
Tadh_TriadG5883	Spis_XP_022799611_1	0	1
Tadh_TriadG54404	Spis_XP_022798364_1	0.189309230221915	1
Tadh_wf_g1414	Spis_XP_022786240_1	0.543902512961953	1
Tadh_TriadG55391	Spis_XP_022806927_1	0	1
Tadh_TriadG24699	Spis_XP_022789413_1	0	1
Tadh_TriadG55397	Spis_XP_022797513_1	0.269220708224142	1
Tadh_TriadG64173	Spis_XP_022784362_1	0	1
Tadh_wf_g4201	Spis_XP_022799286_1	0	1
Tadh_TriadG22842	Spis_XP_022791656_1	0	1
Tadh_TriadG50159	Spis_XP_022797725_1	0.247644765555568	1
Tadh_TriadG55419	Spis_XP_022783477_1	0.0899002294866009	1
Tadh_TriadG23415	Spis_XP_022802751_1	0	1
Tadh_TriadG50164	Spis_XP_022801810_1	0.0105988064511395	1
Tadh_TriadG55441	Spis_XP_022805701_1	0.371647533910683	1
Tadh_TriadG24138	Spis_XP_022809355_1	0.447502456228638	1
Tadh_TriadG23466	Spis_XP_022801801_1	0.436033049676451	1
Tadh_TriadG55497	Spis_XP_022805103_1	0.0224165807065506	1
Tadh_TriadG55534	Spis_XP_022779590_1	0.510951981333334	1
Tadh_TriadG55545	Spis_XP_022790036_1	0	1
Tadh_TriadG23972	Spis_XP_022805795_1	0.348123885684378	1
Tadh_TriadG55562	Spis_XP_022800077_1	0	1
Tadh_wf_g4353	Spis_XP_022779659_1	0	1
Tadh_TriadG55573	Spis_XP_022794223_1	0	1
Tadh_TriadG24232	Spis_XP_022798987_1	0	1
Tadh_TriadG55599	Spis_XP_022779616_1	0	1
Tadh_TriadG23609	Spis_XP_022791333_1	0	1
Tadh_TriadG63276	Spis_XP_022806118_1	0.0101528433819088	1
Tadh_TriadG52275	Spis_XP_022787225_1	0	1
Tadh_TriadG23778	Spis_XP_022779650_1	0	1
Tadh_TriadG52740	Spis_XP_022791012_1	0	1
Tadh_TriadG24435	Spis_XP_022802243_1	0.345486223568098	1
Tadh_TriadG24329	Spis_XP_022794799_1	0	1
Tadh_TriadG24000	Spis_XP_022781081_1	0.589081308205174	1
Tadh_TriadG63279	Spis_XP_022790009_1	0.280610858299337	1
Tadh_TriadG23786	Spis_XP_022790013_1	0.022430876421077	1
Tadh_TriadG55673	Spis_XP_022806157_1	0.215156596837489	1
Tadh_TriadG55681	Spis_XP_022781073_1	0	1
Tadh_wf_g4499	Spis_XP_022794201_1	0.145716161898555	1
Tadh_TriadG55715	Spis_XP_022806667_1	0.101011996653311	1
Tadh_TriadG37572	Spis_XP_022805781_1	0.885981732159578	1
Tadh_TriadG55742	Spis_XP_022807126_1	0.222910899855646	1
Tadh_TriadG63108	Spis_XP_022809737_1	0.894115174136914	1
Tadh_TriadG29141	Spis_XP_022799184_1	0	1
Tadh_TriadG1807	Spis_XP_022796565_1	0	1
Tadh_wf_g5198	Spis_XP_022800309_1	0.668999316211539	1
Tadh_TriadG55781	Spis_XP_022786721_1	0	1
Tadh_TriadG55791	Spis_XP_022796359_1	0	1
Tadh_TriadG23436	Spis_XP_022799784_1	0	1
Tadh_TriadG24155	Spis_XP_022804848_1	0.167230234936009	1
Tadh_TriadG63891	Spis_XP_022794352_1	0.651738460913174	1
Tadh_TriadG55844	Spis_XP_022806770_1	0	1
Tadh_hyp_clust6640	Spis_XP_022805810_1	0	1
Tadh_TriadG55985	Spis_XP_022805416_1	0.434891639608219	1
Tadh_TriadG60969	Spis_XP_022795232_1	0	1
Tadh_wf_g10012	Spis_XP_022796766_1	0	1
Tadh_TriadG61592	Spis_XP_022785419_1	0.368492687748769	1
Tadh_TriadG60987	Spis_XP_022781363_1	0	1
Tadh_TriadG23924	Spis_XP_022785574_1	0.116726587712021	1
Tadh_TriadG37621	Spis_XP_022780719_1	0.810388592948227	1
Tadh_TriadG23841	Spis_XP_022789910_1	0.0348425820244832	1
Tadh_TriadG63946	Spis_XP_022803246_1	0	1
Tadh_TriadG28663	Spis_XP_022805319_1	0	1
Tadh_TriadG22637	Spis_XP_022791866_1	0	1
Tadh_TriadG24458	Spis_XP_022789874_1	0.626055848789237	1
Tadh_TriadG25744	Spis_XP_022782361_1	0.236595415233148	1
Tadh_TriadG55892	Spis_XP_022788118_1	0	1
Tadh_TriadG3592	Spis_XP_022797707_1	0	1
Tadh_TriadG26041	Spis_XP_022803221_1	0	1
Tadh_TriadG23688	Spis_XP_022788855_1	0	1
Tadh_TriadG50249	Spis_XP_022793197_1	0.51084504580412	1
Tadh_TriadG25159	Spis_XP_022788662_1	0.449466271486267	1
Tadh_TriadG24660	Spis_XP_022782099_1	0.42437411707791	1
Tadh_TriadG33711	Spis_XP_022787933_1	0.0887437342936554	1
Tadh_TriadG55955	Spis_XP_022779146_1	0	1
Tadh_TriadG55970	Spis_XP_022793196_1	0.22527986238556	1
Tadh_TriadG56002	Spis_XP_022802158_1	0.497209685791629	1
Tadh_TriadG63291	Spis_XP_022802144_1	0.161082221016532	1
Tadh_TriadG26600	Spis_XP_022790610_1	0.243129584125215	1
Tadh_wf_g11424	Spis_XP_022790149_1	0	1
Tadh_TriadG56047	Spis_XP_022800922_1	0	1
Tadh_TriadG56083	Spis_XP_022806538_1	0	1
Tadh_TriadG23488	Spis_XP_022779209_1	0	1
Tadh_TriadG32725	Spis_XP_022800186_1	0.193521031195047	1
Tadh_TriadG56103	Spis_XP_022788599_1	0.535891377315512	1
Tadh_TriadG57060	Spis_XP_022792809_1	0	1
Tadh_TriadG57067	Spis_XP_022787129_1	0	1
Tadh_TriadG26155	Spis_XP_022804235_1	0	1
Tadh_TriadG26861	Spis_XP_022808013_1	0	1
Tadh_TriadG26904	Spis_XP_022777650_1	0.314246828200823	1
Tadh_TriadG64300	Spis_XP_022799106_1	0.0150948833293247	1
Tadh_TriadG27148	Spis_XP_022789472_1	0.073539280333461	1
Tadh_TriadG57146	Spis_XP_022780624_1	0.166220078103605	1
Tadh_TriadG26979	Spis_XP_022788948_1	0.456900418353713	1
Tadh_TriadG57181	Spis_XP_022787520_1	0.236187823290823	1
Tadh_TriadG2707	Spis_XP_022800662_1	0	1
Tadh_TriadG54002	Spis_XP_022793444_1	0	1
Tadh_TriadG55714	Spis_XP_022784695_1	0	1
Tadh_TriadG61957	Spis_XP_022793188_1	0	1
Tadh_TriadG57191	Spis_XP_022805687_1	0	1
Tadh_TriadG55936	Spis_XP_022790693_1	0.425532915125607	1
Tadh_TriadG26650	Spis_XP_022786998_1	0	1
Tadh_TriadG57189	Spis_XP_022805677_1	0	1
Tadh_TriadG57203	Spis_XP_022802782_1	0	1
