sp1	sp2	ec_value	is_o2o
Tadh_TriadG64150	Spolac_c101229_g1	0.521704914723315	1
Tadh_TriadG25296	Spolac_c96755_g1	0.646272337124718	1
Tadh_TriadG25488	Spolac_c100694_g1	0	1
Tadh_TriadG57282	Spolac_c88113_g1	0.544470224685936	1
Tadh_TriadG18345	Spolac_c94394_g1	0.636896211449086	1
Tadh_TriadG50332	Spolac_c103196_g1	0.518194299074035	1
Tadh_TriadG52356	Spolac_c84310_g1	0.153106312916579	1
Tadh_wf_g1664	Spolac_c103338_g4	0.674568723150009	1
Tadh_TriadG56817	Spolac_c102887_g1	0.474236057388769	1
Tadh_TriadG19437	Spolac_c102637_g1	0.407045091004209	1
Tadh_TriadG56831	Spolac_c102220_g3	0.665235982572693	1
Tadh_TriadG22596	Spolac_c97999_g1	0	1
Tadh_TriadG17057	Spolac_c79413_g1	0.802388831048039	1
Tadh_TriadG23050	Spolac_c95173_g1	0.665457567221905	1
Tadh_TriadG22540	Spolac_c100345_g1	0.798393283140189	1
Tadh_TriadG55006	Spolac_c103774_g1	0.727106223340585	1
Tadh_TriadG60665	Spolac_c100168_g1	0	1
Tadh_TriadG58059	Spolac_c100804_g1	0	1
Tadh_TriadG50105	Spolac_c104481_g1	0.547333747986676	1
Tadh_TriadG21983	Spolac_c103066_g1	0.383645656361746	1
Tadh_TriadG56912	Spolac_c102784_g1	0.717054135607499	1
Tadh_TriadG25080	Spolac_c101036_g1	0.409316105090994	1
Tadh_TriadG56918	Spolac_c98291_g1	0.600665186291446	1
Tadh_TriadG49948	Spolac_c92709_g1	0	1
Tadh_TriadG56920	Spolac_c102935_g3	0.152367805383523	1
Tadh_TriadG54019	Spolac_c43074_g1	0.84268573062642	1
Tadh_TriadG25064	Spolac_c99358_g1	0.539438688616339	1
Tadh_TriadG59186	Spolac_c104175_g2	0	1
Tadh_TriadG50347	Spolac_c103101_g1	0.625344583793803	1
Tadh_wf_g5865	Spolac_c100900_g1	0.752852048626031	1
Tadh_TriadG25889	Spolac_c103951_g2	0.790627382913275	1
Tadh_TriadG24324	Spolac_c93695_g1	0.240221068859974	1
Tadh_TriadG52029	Spolac_c98078_g1	0	1
Tadh_TriadG23944	Spolac_c101433_g1	0.379404620302547	1
Tadh_TriadG24046	Spolac_c97538_g1	0.15520701797426	1
