sp1	sp2	ec_value	cluster
TrH2_hyp_clust10124	Nvec_v1g205886	NA	1
TrH2_hyp_clust10124	Nvec_NVE21773	0.122568567788769	1
TrH2_hyp_clust10124	Nvec_v1g209071	0.477448657511649	1
TrH2_hyp_clust5004	Nvec_v1g140593	0.194556372357591	2
TrH2_hyp_clust5004	Nvec_v1g248537	0.0405086382121864	2
TrH2_TrispH2_000003	Nvec_v1g200187	0.115940092430099	3
TrH2_TrispH2_000003	Nvec_v1g222742	0.567355505366823	3
TrH2_TrispH2_000018	Nvec_v1g248039	0.352967166975033	4
TrH2_TrispH2_000018	Nvec_NVE16662	0.0613223510676616	4
TrH2_TrispH2_000018	Nvec_v1g248010	NA	4
TrH2_TrispH2_000018	Nvec_v1g217300	0.0522480186385989	4
TrH2_TrispH2_000028	Nvec_v1g228721	NA	5
TrH2_TrispH2_000028	Nvec_v1g153772	NA	5
TrH2_TrispH2_006601	Nvec_v1g79235	NA	6
TrH2_TrispH2_000029	Nvec_v1g79235	NA	6
TrH2_TrispH2_000031	Nvec_v1g193084	NA	7
TrH2_TrispH2_000031	Nvec_v1g247149	NA	7
TrH2_TrispH2_000031	Nvec_NVE16032	0.312922505752616	7
TrH2_TrispH2_000041	Nvec_v1g3950	NA	8
TrH2_TrispH2_000041	Nvec_v1g240013	NA	8
TrH2_TrispH2_000042	Nvec_v1g247042	0.418200736504581	9
TrH2_TrispH2_000042	Nvec_v1g225460	0.287468906368764	9
TrH2_TrispH2_000042	Nvec_NVE7235	NA	9
TrH2_TrispH2_000044	Nvec_v1g192278	0.305971346577757	10
TrH2_TrispH2_000044	Nvec_NVE23221	NA	10
TrH2_TrispH2_000053	Nvec_v1g177191	0.879032918423608	11
TrH2_TrispH2_000053	Nvec_v1g187690	0.845688163889278	11
TrH2_TrispH2_000054	Nvec_v1g234402	0.552627638162325	12
TrH2_TrispH2_000054	Nvec_NVE23649	0.45297455052671	12
TrH2_TrispH2_000059	Nvec_v1g201793	0.100374839367314	13
TrH2_TrispH2_000059	Nvec_v1g201791	NA	13
TrH2_TrispH2_000060	Nvec_v1g93174	0.129529757524023	14
TrH2_TrispH2_000060	Nvec_v1g60007	0.726328476285084	14
TrH2_TrispH2_000070	Nvec_v1g114254	0.220819262946612	15
TrH2_TrispH2_000070	Nvec_v1g210584	0.311429810829224	15
TrH2_TrispH2_000072	Nvec_v1g106759	0.0184955223301239	16
TrH2_TrispH2_000072	Nvec_v1g219416	NA	16
TrH2_TrispH2_000075	Nvec_v1g205399	0.137478483199834	17
TrH2_TrispH2_007384	Nvec_v1g205399	0.503208022211092	17
TrH2_TrispH2_000076	Nvec_v1g238858	NA	18
TrH2_TrispH2_000076	Nvec_v1g19108	NA	18
TrH2_TrispH2_000078	Nvec_v1g242096	0.627045085462133	19
TrH2_TrispH2_000078	Nvec_v1g135676	0.195704060378881	19
TrH2_TrispH2_005675	Nvec_v1g241935	NA	20
TrH2_TrispH2_005672	Nvec_v1g241935	NA	20
TrH2_TrispH2_000093	Nvec_v1g241935	0.0644484045887561	20
TrH2_TrispH2_000104	Nvec_v1g221007	0.389253115364095	21
TrH2_TrispH2_000104	Nvec_v1g191988	NA	21
TrH2_TrispH2_000105	Nvec_v1g197962	0.724050894207694	22
TrH2_TrispH2_000105	Nvec_NVE8916	NA	22
TrH2_TrispH2_000106	Nvec_v1g238733	0.648684760558744	23
TrH2_TrispH2_000106	Nvec_v1g228132	0.246036548279364	23
TrH2_TrispH2_000109	Nvec_v1g191557	0.101018723641245	24
TrH2_TrispH2_000109	Nvec_NVE5982	NA	24
TrH2_TrispH2_000109	Nvec_NVE11992	-0.000275116751035783	24
TrH2_TrispH2_000117	Nvec_NVE2469	NA	25
TrH2_TrispH2_000117	Nvec_v1g246296	NA	25
TrH2_TrispH2_000122	Nvec_v1g246304	0.213840969637539	26
TrH2_TrispH2_000122	Nvec_v1g221925	NA	26
TrH2_TrispH2_000132	Nvec_NVE21340	0.461992083375415	27
TrH2_TrispH2_000132	Nvec_v1g46075	0.603641030000343	27
TrH2_TrispH2_000132	Nvec_v1g242697	0.863118391420475	27
TrH2_TrispH2_000133	Nvec_v1g117769	NA	28
TrH2_TrispH2_000133	Nvec_v1g117798	0.0774075884436524	28
TrH2_TrispH2_008155	Nvec_v1g117769	0.129030836235367	28
TrH2_TrispH2_008155	Nvec_v1g117798	NA	28
TrH2_TrispH2_000134	Nvec_v1g110276	NA	29
TrH2_TrispH2_000134	Nvec_v1g110259	0.171005099359402	29
TrH2_TrispH2_000139	Nvec_NVE19980	0.314847518843032	30
TrH2_TrispH2_011633	Nvec_NVE19980	NA	30
TrH2_TrispH2_010751	Nvec_NVE19980	NA	30
TrH2_TrispH2_000141	Nvec_NVE16538	NA	31
TrH2_TrispH2_000141	Nvec_NVE16537	0.287220852062176	31
TrH2_TrispH2_000144	Nvec_v1g195613	0.035061413180218	32
TrH2_TrispH2_000144	Nvec_v1g116808	NA	32
TrH2_TrispH2_010556	Nvec_v1g228651	NA	32
TrH2_TrispH2_010556	Nvec_v1g195613	0.0382599891356917	32
TrH2_TrispH2_010556	Nvec_v1g211618	NA	32
TrH2_TrispH2_010556	Nvec_v1g242584	0.118199331233695	32
TrH2_TrispH2_010556	Nvec_v1g241352	0.133206980274645	32
TrH2_TrispH2_010556	Nvec_v1g158342	NA	32
TrH2_TrispH2_010556	Nvec_v1g235248	0.313748289726865	32
TrH2_TrispH2_000150	Nvec_v1g103643	0.088083605656315	33
TrH2_TrispH2_000150	Nvec_v1g153157	NA	33
TrH2_TrispH2_000151	Nvec_v1g103590	NA	34
TrH2_TrispH2_000151	Nvec_v1g166171	0.0391244579578767	34
TrH2_TrispH2_000151	Nvec_v1g166166	NA	34
TrH2_TrispH2_000157	Nvec_v1g235501	NA	35
TrH2_TrispH2_000157	Nvec_v1g143846	0.490745536190179	35
TrH2_TrispH2_000165	Nvec_v1g128015	0.0389654991014198	36
TrH2_TrispH2_000165	Nvec_v1g128004	0.0404667911922852	36
TrH2_TrispH2_000176	Nvec_v1g89378	0.144374934402283	37
TrH2_TrispH2_000176	Nvec_v1g63583	NA	37
TrH2_TrispH2_000186	Nvec_NVE12393	0.778032389124562	38
TrH2_TrispH2_000185	Nvec_NVE12393	0.740629715879127	38
TrH2_TrispH2_000187	Nvec_NVE8836	0.509020970847433	39
TrH2_TrispH2_000187	Nvec_NVE8835	0.483983938681227	39
TrH2_TrispH2_000191	Nvec_v1g132896	NA	40
TrH2_TrispH2_000191	Nvec_v1g146474	NA	40
TrH2_TrispH2_000195	Nvec_v1g232915	NA	41
TrH2_TrispH2_000195	Nvec_v1g243820	0.167084882418161	41
TrH2_TrispH2_000200	Nvec_v1g119262	NA	42
TrH2_TrispH2_004844	Nvec_v1g119262	0.0466320347375966	42
TrH2_TrispH2_004844	Nvec_v1g17370	NA	42
TrH2_TrispH2_004844	Nvec_v1g127125	0.0492452216682081	42
TrH2_TrispH2_000216	Nvec_v1g212660	NA	43
TrH2_TrispH2_000216	Nvec_v1g245442	NA	43
TrH2_TrispH2_000220	Nvec_NVE16511	0.325512962353571	44
TrH2_TrispH2_000220	Nvec_v1g238279	0.558606318917007	44
TrH2_TrispH2_000229	Nvec_v1g89577	0.0529174747032305	45
TrH2_TrispH2_000229	Nvec_NVE8843	NA	45
TrH2_TrispH2_000241	Nvec_v1g169128	0.545191198286429	46
TrH2_TrispH2_000241	Nvec_v1g113783	0.206735715667571	46
TrH2_TrispH2_000242	Nvec_v1g113806	NA	47
TrH2_TrispH2_000242	Nvec_v1g220980	NA	47
TrH2_TrispH2_000242	Nvec_v1g231431	0.243199450813949	47
TrH2_TrispH2_000244	Nvec_NVE25946	0.34612808431118	48
TrH2_TrispH2_000244	Nvec_v1g224547	0.320796469013087	48
TrH2_TrispH2_000245	Nvec_v1g114126	0.527867059074778	49
TrH2_TrispH2_000245	Nvec_v1g114137	0.101335493132471	49
TrH2_TrispH2_000247	Nvec_v1g220432	0.160634694687845	50
TrH2_TrispH2_000247	Nvec_v1g157808	0.109901872968138	50
TrH2_TrispH2_000249	Nvec_v1g122332	NA	51
TrH2_TrispH2_000249	Nvec_v1g140391	NA	51
TrH2_TrispH2_000250	Nvec_v1g152710	0.642177769344341	52
TrH2_TrispH2_000250	Nvec_v1g203710	0.58681452828252	52
TrH2_TrispH2_000250	Nvec_v1g151557	0.629339364195161	52
TrH2_TrispH2_000252	Nvec_v1g195293	NA	53
TrH2_TrispH2_000252	Nvec_v1g220915	0.163980784046256	53
TrH2_TrispH2_006085	Nvec_v1g244035	0.355879345861959	54
TrH2_TrispH2_006085	Nvec_v1g233046	NA	54
TrH2_TrispH2_006084	Nvec_v1g244035	0.308662085619719	54
TrH2_TrispH2_006084	Nvec_v1g248018	0.373093215348389	54
TrH2_TrispH2_006084	Nvec_v1g233046	NA	54
TrH2_TrispH2_010046	Nvec_v1g27606	0.544947039194227	54
TrH2_TrispH2_010046	Nvec_v1g233046	NA	54
TrH2_TrispH2_006074	Nvec_v1g244035	0.389200521355992	54
TrH2_TrispH2_010045	Nvec_v1g233046	NA	54
TrH2_TrispH2_000263	Nvec_v1g244035	0.0303002916005933	54
TrH2_TrispH2_000263	Nvec_v1g27606	0.14517457070178	54
TrH2_TrispH2_000263	Nvec_NVE23332	NA	54
TrH2_TrispH2_000263	Nvec_v1g248018	0.126020406976271	54
TrH2_TrispH2_000263	Nvec_v1g233046	NA	54
TrH2_TrispH2_006086	Nvec_v1g233046	NA	54
TrH2_TrispH2_006086	Nvec_v1g244035	0.35314543896996	54
TrH2_TrispH2_011714	Nvec_v1g200576	NA	55
TrH2_TrispH2_011714	Nvec_v1g209028	NA	55
TrH2_TrispH2_011714	Nvec_v1g122333	0.339230855464457	55
TrH2_TrispH2_011714	Nvec_v1g1720	0.0401827129714834	55
TrH2_TrispH2_011714	Nvec_v1g34324	0.301253797010233	55
TrH2_TrispH2_011714	Nvec_v1g205366	NA	55
TrH2_TrispH2_011714	Nvec_v1g213211	0.322238808201607	55
TrH2_TrispH2_010619	Nvec_v1g1720	0.0676936996134231	55
TrH2_TrispH2_010619	Nvec_v1g196253	0.41729998197057	55
TrH2_TrispH2_010619	Nvec_v1g198963	0.356372119852958	55
TrH2_TrispH2_010619	Nvec_v1g202862	0.446852939031172	55
TrH2_TrispH2_010619	Nvec_v1g96584	0.290628701804011	55
TrH2_TrispH2_010619	Nvec_v1g87682	0.447613705878165	55
TrH2_TrispH2_009407	Nvec_v1g38219	0.314086241795005	55
TrH2_TrispH2_009407	Nvec_v1g100423	0.117420454168618	55
TrH2_TrispH2_009407	Nvec_v1g34333	NA	55
TrH2_TrispH2_009407	Nvec_v1g205246	0.344428407244174	55
TrH2_TrispH2_009407	Nvec_v1g100385	NA	55
TrH2_TrispH2_009407	Nvec_v1g99718	0.167789210278323	55
TrH2_TrispH2_009407	Nvec_v1g96584	0.246054615869474	55
TrH2_TrispH2_009407	Nvec_v1g209920	0.281784002279607	55
TrH2_TrispH2_009407	Nvec_v1g101252	0.164234248964274	55
TrH2_TrispH2_009407	Nvec_v1g24188	NA	55
TrH2_TrispH2_009407	Nvec_v1g130452	0.282635245369172	55
TrH2_TrispH2_009407	Nvec_v1g41512	NA	55
TrH2_TrispH2_009407	Nvec_v1g87682	0.371154046795105	55
TrH2_TrispH2_009407	Nvec_v1g66315	0.246259465160159	55
TrH2_TrispH2_009407	Nvec_v1g79242	0.358392551230959	55
TrH2_TrispH2_009407	Nvec_v1g97413	0.371356556865046	55
TrH2_TrispH2_009407	Nvec_v1g209028	NA	55
TrH2_TrispH2_009407	Nvec_v1g87719	0.204851291970515	55
TrH2_TrispH2_005071	Nvec_v1g245559	0.271483387527475	55
TrH2_TrispH2_005071	Nvec_v1g198963	0.293439088516886	55
TrH2_TrispH2_005071	Nvec_v1g33886	0.281645190418977	55
TrH2_TrispH2_005071	Nvec_v1g34692	0.253630567270113	55
TrH2_TrispH2_005071	Nvec_v1g196253	0.294138888213301	55
TrH2_TrispH2_005071	Nvec_v1g1919	0.302229552887658	55
