sp1	sp2	ec_value	is_o2o
Tadh_TriadG64150	Hvul_g26089_1	0.473179198679101	1
Tadh_wf_g5251	Hvul_g30433_1	0.3409977666416	1
Tadh_TriadG32551	Hvul_g29149_1	0.670877655932419	1
Tadh_TriadG56514	Hvul_g10982_1	0.0232088167581609	1
Tadh_TriadG25296	Hvul_g19908_1	0.654974694520332	1
Tadh_TriadG25488	Hvul_g14888_1	0	1
Tadh_TriadG18345	Hvul_g19524_1	0.119982935318466	1
Tadh_TriadG52356	Hvul_g17604_1	0.0849575689417006	1
Tadh_TriadG56817	Hvul_g5932_1	0	1
Tadh_TriadG19437	Hvul_g4109_1	0.488520434417631	1
Tadh_TriadG23050	Hvul_g9809_1	0.0383448419772048	1
Tadh_TriadG50105	Hvul_g7101_1	0.616930628125518	1
Tadh_TriadG22031	Hvul_g2914_1	0	1
Tadh_TriadG25080	Hvul_g407_1	0.710362284196522	1
Tadh_TriadG49948	Hvul_g5785_1	0	1
Tadh_TriadG54019	Hvul_g5563_1	0.823668763050438	1
Tadh_TriadG25064	Hvul_g467_1	0	1
Tadh_TriadG2319	Hvul_g8921_1	0.0338497001101974	1
Tadh_TriadG50347	Hvul_g2108_1	0.649354697837929	1
Tadh_TriadG24324	Hvul_g288_1	0.487219673914046	1
Tadh_TriadG52029	Hvul_g28113_1	0.0653106087463088	1
Tadh_TriadG55689	Hvul_g24650_1	0.294947526073897	1
Tadh_TriadG23944	Hvul_g3840_1	0.336321691251817	1
Tadh_TriadG23383	Hvul_g24214_1	0.0302560269068991	1
Tadh_TriadG24298	Hvul_g14874_1	0.683069012072026	1
Tadh_wf_g7100	Hvul_g11482_1	0.0431979507994065	1
Tadh_TriadG55220	Hvul_g30974_1	0.320804243441389	1
Tadh_wf_g4045	Hvul_g3924_1	0.220961946100783	1
Tadh_TriadG55283	Hvul_g877_1	0.474371319698608	1
Tadh_TriadG55298	Hvul_g12885_1	0.157695482559014	1
Tadh_TriadG23540	Hvul_g3044_1	0	1
Tadh_TriadG31093	Hvul_g21199_1	0	1
Tadh_TriadG55346	Hvul_g27172_1	0.315387552180389	1
Tadh_wf_g1414	Hvul_g16857_1	0.103468314829037	1
Tadh_TriadG55397	Hvul_g32689_1	0.730559134207637	1
Tadh_wf_g4201	Hvul_g24258_1	0.6397574603089	1
Tadh_TriadG22842	Hvul_g7801_1	0.309652754183683	1
Tadh_TriadG50159	Hvul_g22671_1	0	1
Tadh_TriadG23415	Hvul_g16213_1	0.797168440454533	1
Tadh_TriadG50164	Hvul_g3373_1	0	1
Tadh_TriadG55451	Hvul_g2515_1	0.00446891839358589	1
Tadh_TriadG23466	Hvul_g22450_1	0.601875024186351	1
Tadh_TriadG55497	Hvul_g27406_1	0.324519825819124	1
Tadh_TriadG55545	Hvul_g12578_1	0.250799339668589	1
Tadh_TriadG23972	Hvul_g16567_1	0.258493836020692	1
Tadh_wf_g4353	Hvul_g24251_1	0.743183059675812	1
Tadh_TriadG24232	Hvul_g20335_1	0	1
Tadh_TriadG23609	Hvul_g27449_1	0.496946196236279	1
Tadh_TriadG23778	Hvul_g4000_1	0.450892971185205	1
Tadh_TriadG24329	Hvul_g13634_1	0.429699888424712	1
Tadh_TriadG63279	Hvul_g1834_1	0.128998359868343	1
Tadh_TriadG23786	Hvul_g1642_1	0.00597447427138279	1
Tadh_TriadG55673	Hvul_g12569_1	0.148073981137633	1
Tadh_TriadG55681	Hvul_g7761_1	0.290196551473327	1
Tadh_TriadG55715	Hvul_g6207_1	0	1
Tadh_TriadG23568	Hvul_g6171_1	0.386865248326712	1
Tadh_TriadG63108	Hvul_g28890_1	0.832782108678813	1
Tadh_TriadG29141	Hvul_g12057_1	0	1
Tadh_wf_g5198	Hvul_g10316_1	0.789465010843394	1
Tadh_TriadG55781	Hvul_g28133_1	0	1
Tadh_TriadG55790	Hvul_g16634_1	0	1
Tadh_TriadG23436	Hvul_g8439_1	0.291967072961377	1
Tadh_TriadG25848	Hvul_g2090_1	0	1
Tadh_TriadG24155	Hvul_g16643_1	0	1
Tadh_hyp_clust10676	Hvul_g25358_1	0.220319926015572	1
Tadh_TriadG50	Hvul_g10236_1	0	1
Tadh_hyp_clust7915	Hvul_g23925_1	0.550175238719632	1
Tadh_TriadG60969	Hvul_g4818_1	0.253988525533292	1
Tadh_wf_g10012	Hvul_g23155_1	0.185453309704608	1
Tadh_TriadG61592	Hvul_g28517_1	0.355755992103938	1
Tadh_TriadG60987	Hvul_g20711_1	0.4170544515654	1
Tadh_TriadG23924	Hvul_g4967_1	0	1
Tadh_TriadG37621	Hvul_g3528_1	0.835647168492602	1
Tadh_TriadG23841	Hvul_g23140_1	0.162315459763998	1
Tadh_TriadG63946	Hvul_g13224_1	0.695108811989087	1
Tadh_TriadG28663	Hvul_g23058_1	0.471309279845571	1
Tadh_TriadG24458	Hvul_g33011_1	0.815445284941794	1
Tadh_TriadG55892	Hvul_g22056_1	0.448981491574829	1
Tadh_TriadG26041	Hvul_g13311_1	0.733993048749831	1
Tadh_TriadG23688	Hvul_g24236_1	0.666458822798696	1
Tadh_TriadG50249	Hvul_g32440_1	0.470776620792979	1
Tadh_TriadG25159	Hvul_g633_1	0	1
Tadh_TriadG24660	Hvul_g30767_1	0.53376796429529	1
Tadh_TriadG55955	Hvul_g27325_1	0.143626942223014	1
Tadh_TriadG55970	Hvul_g27307_1	0	1
Tadh_TriadG56002	Hvul_g18451_1	0.732233808158973	1
Tadh_TriadG56083	Hvul_g27335_1	0.13735354804356	1
Tadh_TriadG56103	Hvul_g32442_1	0.784999705812272	1
Tadh_TriadG26861	Hvul_g19310_1	0.245620986322689	1
Tadh_TriadG63987	Hvul_g16834_1	0.495774211967926	1
Tadh_TriadG57181	Hvul_g5265_1	0.328197249074298	1
Tadh_TriadG2707	Hvul_g15997_1	0	1
Tadh_TriadG61957	Hvul_g27315_1	0.624773291169824	1
Tadh_TriadG57191	Hvul_g25799_1	0.374489747739873	1
Tadh_TriadG26650	Hvul_g21007_1	0.715044694771321	1
Tadh_TriadG57203	Hvul_g33534_1	0.416393435499335	1
Tadh_TriadG57213	Hvul_g9013_1	0.313400340360004	1
Tadh_TriadG54641	Hvul_g30954_1	0.491885003074236	1
Tadh_TriadG26180	Hvul_g14426_1	0	1
Tadh_TriadG61988	Hvul_g3974_1	0	1
Tadh_TriadG57253	Hvul_g24940_1	0.820025833981625	1
Tadh_TriadG57259	Hvul_g14977_1	0	1
Tadh_TriadG54077	Hvul_g30372_1	0.272569450657562	1
Tadh_TriadG27169	Hvul_g22005_1	0.701471083801722	1
Tadh_TriadG25069	Hvul_g835_1	0.162824727066659	1
Tadh_TriadG57283	Hvul_g11270_1	0.47884928168326	1
Tadh_TriadG57313	Hvul_g32290_1	0	1
Tadh_TriadG17435	Hvul_g3138_1	0.632153318614666	1
Tadh_wf_g6190	Hvul_g14754_1	0.60814438767603	1
Tadh_TriadG57351	Hvul_g11852_1	0	1
Tadh_TriadG54062	Hvul_g8757_1	0.00363254682564816	1
Tadh_TriadG57353	Hvul_g20378_1	0.400297927469872	1
Tadh_TriadG55011	Hvul_g5879_1	0	1
Tadh_TriadG57380	Hvul_g1990_1	0	1
Tadh_TriadG22771	Hvul_g8351_1	0	1
Tadh_TriadG57390	Hvul_g24111_1	0.327098737434863	1
Tadh_TriadG49541	Hvul_g15857_1	0.321263751800848	1
Tadh_TriadG64011	Hvul_g21809_1	0	1
Tadh_TriadG50402	Hvul_g6985_1	0.372093318308524	1
Tadh_TriadG57530	Hvul_g10144_1	0.446277544805776	1
Tadh_TriadG57527	Hvul_g10796_1	0.494568814752639	1
Tadh_wf_g1045	Hvul_g16019_1	0	1
Tadh_wf_g6407	Hvul_g22459_1	0.458578597798409	1
Tadh_TriadG56121	Hvul_g3416_1	0.799784009764863	1
Tadh_TriadG60059	Hvul_g15991_1	0.10775550703064	1
Tadh_TriadG26899	Hvul_g24508_1	0.183056843951431	1
Tadh_TriadG27286	Hvul_g10093_1	0.132056416358638	1
Tadh_TriadG26114	Hvul_g18519_1	0	1
Tadh_TriadG27257	Hvul_g24118_1	0.839664866565332	1
Tadh_TriadG26280	Hvul_g3639_1	0.609065546652623	1
Tadh_TriadG28661	Hvul_g26394_1	0.464339250726333	1
Tadh_TriadG57697	Hvul_g4766_1	0.772824195761754	1
Tadh_TriadG64372	Hvul_g21883_1	0.7470598718777	1
Tadh_TriadG27056	Hvul_g26772_1	0	1
Tadh_TriadG28964	Hvul_g9912_1	0.0690921426366585	1
Tadh_TriadG27001	Hvul_g10084_1	0	1
Tadh_TriadG64054	Hvul_g9129_1	0	1
Tadh_TriadG64056	Hvul_g18566_1	0	1
Tadh_TriadG57828	Hvul_g15320_1	0.647277415831091	1
Tadh_TriadG50449	Hvul_g29640_1	0	1
Tadh_TriadG59526	Hvul_g27067_1	0.580859608119268	1
Tadh_TriadG27944	Hvul_g29483_1	0.0215527798362047	1
Tadh_TriadG57895	Hvul_g14149_1	0.623827822447182	1
Tadh_TriadG50465	Hvul_g895_1	0.553835977569708	1
Tadh_TriadG57918	Hvul_g6979_1	0.381802728136693	1
Tadh_TriadG57962	Hvul_g10042_1	0.150458657939828	1
Tadh_TriadG57967	Hvul_g28173_1	0.0844308439574021	1
Tadh_TriadG28071	Hvul_g21238_1	0	1
Tadh_TriadG58020	Hvul_g7601_1	0.758381100138663	1
Tadh_TriadG58043	Hvul_g15321_1	0	1
Tadh_TriadG58050	Hvul_g17051_1	0.605774923588567	1
Tadh_TriadG1535	Hvul_g24770_1	0	1
Tadh_TriadG58077	Hvul_g24299_1	0.72922077943726	1
Tadh_TriadG58109	Hvul_g28217_1	0.115529857618588	1
Tadh_TriadG58111	Hvul_g23860_1	0.771157958836744	1
Tadh_TriadG27830	Hvul_g30774_1	0.576252872112506	1
Tadh_wf_g8819	Hvul_g30465_1	0.634239169210395	1
Tadh_TriadG58173	Hvul_g24274_1	0.226717328433214	1
Tadh_TriadG36216	Hvul_g28831_1	0.37699675332395	1
Tadh_TriadG28263	Hvul_g27977_1	0.158929333594624	1
Tadh_TriadG37943	Hvul_g22825_1	0	1
Tadh_TriadG58202	Hvul_g19508_1	0.535038694470823	1
Tadh_TriadG27129	Hvul_g17091_1	0	1
Tadh_TriadG58231	Hvul_g24235_1	0.58673839791355	1
Tadh_TriadG27989	Hvul_g4468_1	0	1
Tadh_TriadG51106	Hvul_g27012_1	0	1
Tadh_TriadG27487	Hvul_g10720_1	0.397409896722719	1
Tadh_TriadG27419	Hvul_g14278_1	0.418805294467797	1
Tadh_TriadG50528	Hvul_g3372_1	0.203428894536528	1
Tadh_TriadG50530	Hvul_g11298_1	0.713421193926999	1
Tadh_TriadG58279	Hvul_g26864_1	0.64365843267767	1
