gene	orthogroup
Hvul_g10051_1	OG_2954
Hvul_g10209_1	OG_3744
Hvul_g1021_1	OG_6461
Hvul_g10296_1	OG_2401
Hvul_g10299_1	OG_2401
Hvul_g10380_1	OG_3426
Hvul_g10509_1	OG_1434
Hvul_g10581_1	OG_6637
Hvul_g10594_1	OG_3275
Hvul_g10649_1	OG_10545
Hvul_g10787_1	OG_5519
Hvul_g10876_1	OG_2493
Hvul_g11091_1	OG_9965
Hvul_g11236_1	OG_1383
Hvul_g1125_1	OG_6661
Hvul_g11266_1	OG_11486
Hvul_g11275_1	OG_2977
Hvul_g11395_1	OG_7972
Hvul_g11444_1	OG_8914
Hvul_g11464_1	OG_1757
Hvul_g11498_1	OG_10701
Hvul_g11578_1	OG_5769
Hvul_g11658_1	OG_10295
Hvul_g11669_1	OG_1664
Hvul_g11703_1	OG_910
Hvul_g11717_1	OG_10185
Hvul_g11736_1	OG_2563
Hvul_g11748_1	OG_2440
Hvul_g11780_1	OG_3132
Hvul_g11798_1	OG_8149
Hvul_g11925_1	OG_415
Hvul_g12000_1	OG_3406
Hvul_g12084_1	OG_7692
Hvul_g12223_1	OG_4554
Hvul_g12305_1	OG_2459
Hvul_g12459_1	OG_11297
Hvul_g12476_1	OG_2539
Hvul_g12499_1	OG_2440
Hvul_g12732_1	OG_2945
Hvul_g12738_1	OG_3695
Hvul_g12768_1	OG_3494
Hvul_g12787_1	OG_7549
Hvul_g12876_1	OG_4013
Hvul_g12898_1	OG_3537
Hvul_g12939_1	OG_2330
Hvul_g12999_1	OG_3635
Hvul_g13135_1	OG_9893
Hvul_g13384_1	OG_2575
Hvul_g13400_1	OG_6162
Hvul_g13513_1	OG_5423
Hvul_g13533_1	OG_2156
Hvul_g13547_1	OG_3489
Hvul_g13600_1	OG_2985
Hvul_g13602_1	OG_3181
Hvul_g13690_1	OG_2869
Hvul_g13730_1	OG_1275
Hvul_g1379_1	OG_4638
Hvul_g13918_1	OG_2503
Hvul_g13929_1	OG_897
Hvul_g13971_1	OG_11310
Hvul_g13998_1	OG_2873
Hvul_g14239_1	OG_10325
Hvul_g14685_1	OG_3100
Hvul_g14753_1	OG_3840
Hvul_g1477_1	OG_4954
Hvul_g15015_1	OG_3218
Hvul_g15062_1	OG_3138
Hvul_g15081_1	OG_8458
Hvul_g15147_1	OG_1809
Hvul_g15158_1	OG_7247
Hvul_g15173_1	OG_6635
Hvul_g15291_1	OG_3697
Hvul_g1536_1	OG_2214
Hvul_g15491_1	OG_1809
Hvul_g15493_1	OG_9958
Hvul_g15632_1	OG_3158
Hvul_g15636_1	OG_6404
Hvul_g15667_1	OG_6152
Hvul_g15690_1	OG_2440
Hvul_g15906_1	OG_1097
Hvul_g15907_1	OG_3298
Hvul_g15909_1	OG_6852
Hvul_g15913_1	OG_3739
Hvul_g15946_1	OG_1398
Hvul_g1603_1	OG_10742
Hvul_g1608_1	OG_870
Hvul_g16165_1	OG_3619
Hvul_g16168_1	OG_2857
Hvul_g16428_1	OG_3180
Hvul_g1644_1	OG_1696
Hvul_g16491_1	OG_9287
Hvul_g16574_1	OG_216
Hvul_g1667_1	OG_7305
Hvul_g16684_1	OG_2420
Hvul_g16714_1	OG_10477
Hvul_g16791_1	OG_6973
Hvul_g16854_1	OG_4204
Hvul_g16855_1	OG_4204
Hvul_g16859_1	OG_4204
Hvul_g1692_1	OG_700
Hvul_g17004_1	OG_3566
Hvul_g17058_1	OG_3468
Hvul_g17059_1	OG_5101
Hvul_g17177_1	OG_3406
Hvul_g17180_1	OG_3406
Hvul_g17298_1	OG_10715
Hvul_g17308_1	OG_3406
Hvul_g17313_1	OG_12716
Hvul_g17314_1	OG_12716
Hvul_g17355_1	OG_4843
Hvul_g17491_1	OG_3608
Hvul_g17578_1	OG_12222
Hvul_g17785_1	OG_2853
Hvul_g17988_1	OG_5787
Hvul_g18200_1	OG_612
Hvul_g18317_1	OG_2575
Hvul_g18336_1	OG_10320
Hvul_g18711_1	OG_8613
Hvul_g1872_1	OG_4625
Hvul_g18827_1	OG_3468
Hvul_g18872_1	OG_715
Hvul_g18882_1	OG_12394
Hvul_g19252_1	OG_6789
Hvul_g19261_1	OG_5268
Hvul_g19290_1	OG_1843
Hvul_g19291_1	OG_3137
Hvul_g19443_1	OG_4173
Hvul_g19454_1	OG_1165
Hvul_g19470_1	OG_10454
Hvul_g19480_1	OG_3405
Hvul_g19501_1	OG_6789
Hvul_g19508_1	OG_411
Hvul_g1965_1	OG_2440
Hvul_g19818_1	OG_4455
Hvul_g1988_1	OG_2934
Hvul_g20044_1	OG_9827
Hvul_g20339_1	OG_4625
Hvul_g20347_1	OG_10924
Hvul_g20391_1	OG_1550
Hvul_g20410_1	OG_2252
Hvul_g20465_1	OG_10247
Hvul_g20647_1	OG_1500
Hvul_g20653_1	OG_6806
Hvul_g20845_1	OG_1164
Hvul_g20846_1	OG_3304
Hvul_g20911_1	OG_8262
Hvul_g21085_1	OG_3323
Hvul_g21086_1	OG_3323
Hvul_g21100_1	OG_3324
Hvul_g21102_1	OG_3588
Hvul_g21111_1	OG_5163
Hvul_g21196_1	OG_4666
Hvul_g21201_1	OG_2540
Hvul_g2140_1	OG_2319
Hvul_g21409_1	OG_10337
Hvul_g21567_1	OG_4615
Hvul_g21670_1	OG_4779
Hvul_g21720_1	OG_10454
Hvul_g21756_1	OG_10298
Hvul_g21794_1	OG_11065
Hvul_g21902_1	OG_1018
Hvul_g2192_1	OG_4283
Hvul_g21976_1	OG_3278
Hvul_g21993_1	OG_6940
Hvul_g21994_1	OG_6940
Hvul_g22_1	OG_10896
Hvul_g22186_1	OG_2469
Hvul_g22365_1	OG_2609
Hvul_g22372_1	OG_4604
Hvul_g22381_1	OG_2600
Hvul_g22557_1	OG_5028
Hvul_g22626_1	OG_8709
Hvul_g22644_1	OG_962
Hvul_g22682_1	OG_3739
Hvul_g22718_1	OG_6864
Hvul_g22798_1	OG_2473
Hvul_g22804_1	OG_3739
Hvul_g23065_1	OG_4069
Hvul_g23194_1	OG_1693
Hvul_g23284_1	OG_9742
Hvul_g23344_1	OG_1769
Hvul_g23416_1	OG_3676
Hvul_g23541_1	OG_3052
Hvul_g23552_1	OG_1771
Hvul_g2356_1	OG_340
Hvul_g23574_1	OG_10147
Hvul_g236_1	OG_4504
Hvul_g2361_1	OG_4624
Hvul_g23948_1	OG_11620
Hvul_g24070_1	OG_4547
Hvul_g24126_1	OG_4704
Hvul_g2415_1	OG_4551
Hvul_g24191_1	OG_2844
Hvul_g24233_1	OG_6852
Hvul_g24271_1	OG_9815
Hvul_g24335_1	OG_11028
Hvul_g24374_1	OG_2469
Hvul_g24515_1	OG_1620
Hvul_g24607_1	OG_823
Hvul_g24621_1	OG_11255
Hvul_g24640_1	OG_12232
Hvul_g24657_1	OG_1567
Hvul_g24667_1	OG_3771
Hvul_g24768_1	OG_2528
Hvul_g24771_1	OG_1832
Hvul_g24822_1	OG_9880
Hvul_g24866_1	OG_11183
Hvul_g24939_1	OG_867
Hvul_g25022_1	OG_2229
Hvul_g25042_1	OG_2255
Hvul_g25127_1	OG_6575
Hvul_g25134_1	OG_5284
Hvul_g25137_1	OG_8200
Hvul_g25176_1	OG_1193
Hvul_g25247_1	OG_2755
Hvul_g25283_1	OG_1843
Hvul_g25365_1	OG_2313
Hvul_g25385_1	OG_3456
Hvul_g25494_1	OG_3297
Hvul_g25582_1	OG_3278
Hvul_g25647_1	OG_1266
Hvul_g25683_1	OG_6855
Hvul_g25739_1	OG_6073
Hvul_g25762_1	OG_1335
Hvul_g25774_1	OG_291
Hvul_g25867_1	OG_11007
Hvul_g25880_1	OG_2711
Hvul_g26087_1	OG_7248
Hvul_g26107_1	OG_3094
Hvul_g26212_1	OG_4681
Hvul_g26213_1	OG_2813
Hvul_g26279_1	OG_2061
Hvul_g26297_1	OG_7504
Hvul_g26388_1	OG_2512
Hvul_g26427_1	OG_1169
Hvul_g26469_1	OG_8535
Hvul_g26526_1	OG_10119
Hvul_g26575_1	OG_10003
Hvul_g26620_1	OG_10710
Hvul_g2666_1	OG_1449
Hvul_g26767_1	OG_1309
Hvul_g26815_1	OG_2549
Hvul_g26833_1	OG_3625
Hvul_g26886_1	OG_1821
Hvul_g26988_1	OG_1769
Hvul_g27078_1	OG_707
Hvul_g27140_1	OG_3278
Hvul_g27295_1	OG_1275
Hvul_g2764_1	OG_3304
Hvul_g27981_1	OG_1567
