in_gene	out_gene	branch_support	ev_type	sos
Mlei_ML0930.g45.i1	Gracom_Gcom_scaffold7228_01	1.0	S	0.0
Mlei_ML0930.g45.i1	Skow_XM_006825398.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Lcom_lcpid109936	1.0	S	0.0
Mlei_ML0930.g45.i1	Tadh_TriadT37708	1.0	S	0.0
Mlei_ML0930.g45.i1	HoiH06_mRNA468	1.0	S	0.0
Mlei_ML0930.g45.i1	Amil_Amillepora20175-RA	1.0	S	0.0
Mlei_ML0930.g45.i1	Fspp_ffun1.m4.51.m1	1.0	S	0.0
Mlei_ML0930.g45.i1	Leuniv_Lniv_C781609_01	1.0	S	0.0
Mlei_ML0930.g45.i1	HoiH23_PlH23_003142-RA	1.0	S	0.0
Mlei_ML0930.g45.i1	Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA208465	1.0	S	0.0
Mlei_ML0930.g45.i1	HoiH04_mRNA12922	1.0	S	0.0
Mlei_ML0930.g45.i1	Spur_XM_030995125.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Cgig_XM_034476597.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Hvul_g26221_1	1.0	S	0.0
Mlei_ML0930.g45.i1	Nvec_v1g188140	1.0	S	0.0
Mlei_ML0930.g45.i1	Chem_TCONS_00011040	1.0	S	0.0
Mlei_ML0930.g45.i1	Plespi_Pspi_scaffold16526_01	1.0	S	0.0
Mlei_ML0930.g45.i1	Cscu_XM_023375699.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Gracom_Gcom_scaffold7229_01	1.0	S	0.0
Mlei_ML0930.g45.i1	Emue_Em0023g483a.t1	1.0	S	0.0
Mlei_ML0930.g45.i1	Scil_scict005211.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Gracom_Gcom_scaffold7230_01	1.0	S	0.0
Mlei_ML0930.g45.i1	Adig_XM_015894491.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Rhoesc_Res_008200-T1	1.0	S	0.0
Mlei_ML0930.g45.i1	Clacor_Ccor_C533023_01	1.0	S	0.0
Mlei_ML0930.g45.i1	Exapal_XM_021048392.2	1.0	S	0.0
Mlei_ML0930.g45.i1	Dpul_mRNA17453	1.0	S	0.0
Mlei_ML0930.g45.i1	Morvir_scaffold180.g52.t1	1.0	S	0.0
Mlei_ML0930.g45.i1	Hsap_ENST00000361731	1.0	S	0.0
Mlei_ML0930.g45.i1	Gfas_gfas1.m1.11324.m1	1.0	S	0.0
Mlei_ML0930.g45.i1	Hsap_ENST00000271375	1.0	S	0.0
Mlei_ML0930.g45.i1	Opea_EP00118_Oscarella_pearsei_P025626	1.0	S	0.0
Mlei_ML0930.g45.i1	Hhon_g05097.t1	1.0	S	0.0
Mlei_ML0930.g45.i1	Spis_XP_022796642_1	1.0	S	0.0
Mlei_ML0930.g45.i1	Pocdam_XM_027188279.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Cscu_XM_023377328.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Scil_scict007259.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Cgig_XM_011441415.3	1.0	S	0.0
Mlei_ML0930.g45.i1	Spur_XM_030994898.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Xestes_maker-XT_scaffold129794-augustus-gene-0.1-mRNA-1	1.0	S	0.0
Mlei_ML0930.g45.i1	Sanmal_Sma_001744-T1	1.0	S	0.0
Mlei_ML0930.g45.i1	Tetwil_g9692.t2	1.0	S	0.0
Mlei_ML0930.g45.i1	Bralan_BLAG01000250_1	1.0	S	0.0
Mlei_ML0930.g45.i1	Plajan_Pjan_C541058_01	1.0	S	0.0
Mlei_ML0930.g45.i1	Lcom_lcpid91750	1.0	S	0.0
Mlei_ML0930.g45.i1	Adig_XM_015893150.1	1.0	S	0.0
Mlei_ML0930.g45.i1	Aque_Aqu2.1.33092_001	1.0	S	0.0
