sp1	sp2	ec_value	cluster
Hhon_g00019.t1	Hvul_g19915_1	0.540746015207731	1
Hhon_g00037.t1	Hvul_g19915_1	0.515181202974408	1
Hhon_g00022.t1	Hvul_g27366_1	0.352236550653466	2
Hhon_g00022.t1	Hvul_g27367_1	0.394794032296121	2
Hhon_g05229.t1	Hvul_g8314_1	0.580956691687541	3
Hhon_g05229.t1	Hvul_g3099_1	0.544330696878604	3
Hhon_g05664.t1	Hvul_g1407_1	0.223142768006156	3
Hhon_g05664.t1	Hvul_g30412_1	0.0836745752185649	3
Hhon_g05664.t1	Hvul_g33765_1	0.36709881527169	3
Hhon_g05664.t1	Hvul_g30413_1	0.109746711009008	3
Hhon_g05664.t1	Hvul_g33764_1	0.177698784597143	3
Hhon_g05664.t1	Hvul_g8314_1	0.324324337468991	3
Hhon_g05664.t1	Hvul_g30410_1	0.133597848940545	3
Hhon_g05664.t1	Hvul_g24222_1	0.330269279536612	3
Hhon_g03029.t1	Hvul_g30412_1	0.134775258965273	3
Hhon_g03029.t1	Hvul_g30414_1	0.090910401414881	3
Hhon_g03029.t1	Hvul_g33765_1	0.185005520558767	3
Hhon_g03029.t1	Hvul_g30413_1	0.122431216923655	3
Hhon_g03029.t1	Hvul_g18066_1	0.104535516077358	3
Hhon_g03029.t1	Hvul_g18302_1	0.237332092020986	3
Hhon_g03029.t1	Hvul_g30410_1	0.104671276021452	3
Hhon_g03029.t1	Hvul_g33764_1	0.0876047113474464	3
Hhon_g03029.t1	Hvul_g24222_1	0.144905522640244	3
Hhon_g03029.t1	Hvul_g33771_1	0.175959350139622	3
Hhon_g03029.t1	Hvul_g24225_1	0.224189096201164	3
Hhon_g10147.t1	Hvul_g13435_1	NA	3
Hhon_g10147.t1	Hvul_g17454_1	NA	3
Hhon_g10147.t1	Hvul_g5644_1	NA	3
Hhon_g10147.t1	Hvul_g28596_1	NA	3
Hhon_g10147.t1	Hvul_g28484_1	NA	3
Hhon_g10147.t1	Hvul_g17434_1	NA	3
Hhon_g10147.t1	Hvul_g17433_1	NA	3
Hhon_g10147.t1	Hvul_g19758_1	NA	3
Hhon_g10147.t1	Hvul_g30409_1	NA	3
Hhon_g10147.t1	Hvul_g30414_1	0.129728638772796	3
Hhon_g10147.t1	Hvul_g24222_1	NA	3
Hhon_g10147.t1	Hvul_g19914_1	NA	3
Hhon_g10141.t1	Hvul_g24319_1	0.302487220108715	3
Hhon_g10141.t1	Hvul_g33765_1	0.428172667023572	3
Hhon_g10141.t1	Hvul_g33771_1	0.42178365546203	3
Hhon_g10141.t1	Hvul_g6169_1	0.246726982450618	3
Hhon_g10141.t1	Hvul_g30412_1	0.151767048885889	3
Hhon_g10141.t1	Hvul_g30413_1	0.215831111949126	3
Hhon_g10141.t1	Hvul_g33764_1	0.0789355458683142	3
Hhon_g10141.t1	Hvul_g30414_1	0.2373011207501	3
Hhon_g10141.t1	Hvul_g24308_1	0.173274269112068	3
Hhon_g10141.t1	Hvul_g21902_1	0.440656403260428	3
Hhon_g10141.t1	Hvul_g29202_1	0.480406116519872	3
Hhon_g10141.t1	Hvul_g30410_1	0.0846231941597969	3
Hhon_g10141.t1	Hvul_g18066_1	0.0448999277661926	3
Hhon_g10141.t1	Hvul_g18302_1	0.210083364824597	3
Hhon_g10141.t1	Hvul_g24222_1	0.486087865617195	3
Hhon_g10141.t1	Hvul_g5644_1	0.494493117694115	3
Hhon_g10141.t1	Hvul_g28596_1	0.49171745104757	3
Hhon_g08398.t1	Hvul_g30412_1	0.151469209619551	3
Hhon_g08398.t1	Hvul_g30413_1	0.0881235075562157	3
Hhon_g08398.t1	Hvul_g30410_1	0.110941059676421	3
Hhon_g08398.t1	Hvul_g30414_1	0.0715654620124985	3
Hhon_g08398.t1	Hvul_g1407_1	0.202773882100666	3
Hhon_g08398.t1	Hvul_g33765_1	0.204800432799783	3
Hhon_g08398.t1	Hvul_g33764_1	NA	3
Hhon_g08398.t1	Hvul_g33771_1	0.180702208758406	3
Hhon_g05228.t1	Hvul_g30414_1	0.155895940601856	3
