gene_module	gene	membership_score	gene_name	pfam	ct_top	orthogroup	is_transcription_factor
Hhon.bisque4	Hhon_g10773.t1	0.955		7tm_1/	peptidergic	OG_6447	FALSE
Hhon.bisque4	Hhon_g01826.t1	0.95	neuropeptide_FF_receptor_2	7tm_1/	peptidergic	OG_5254	FALSE
Hhon.bisque4	Hhon_g04673.t1	0.935			peptidergic	OG_2895	FALSE
Hhon.bisque4	Hhon_g09143.t1	0.92	adrenoceptor_beta_2	7tm_1/	peptidergic	OG_9331	FALSE
Hhon.bisque4	Hhon_g10739.t1	0.919	gamma_aminobutyric_acid_type_B_receptor_subunit_2	ANF_receptor/7tm_3/	peptidergic	OG_5031	FALSE
Hhon.bisque4	Hhon_g08583.t1	0.905	5_hydroxytryptamine_receptor_4	7tm_1/	peptidergic	OG_4570	FALSE
Hhon.bisque4	Hhon_g04984.t1	0.902			peptidergic	OG_1414	FALSE
Hhon.bisque4	Hhon_g05999.t1	0.885	natriuretic_peptide_receptor_1	NIT/Guanylate_cyc/	peptidergic	OG_5914	FALSE
Hhon.bisque4	Hhon_g03288.t1	0.862	5_hydroxytryptamine_receptor_4	7tm_1/	peptidergic	OG_6397	FALSE
Hhon.bisque4	Hhon_g04138.t1	0.847	CTD_small_phosphatase_1	NIF/	peptidergic	OG_7797	FALSE
Hhon.bisque4	Hhon_g00845.t1	0.843	opsin_4	7tm_1/	peptidergic	OG_6263	FALSE
Hhon.bisque4	Hhon_g06410.t1	0.828		7tm_1/	peptidergic	OG_3786	FALSE
Hhon.bisque4	Hhon_g09054.t1	0.823	PDZ_domain_containing_ring_finger_3	zf-C3HC4/PDZ/	peptidergic	OG_7123	FALSE
Hhon.bisque4	Hhon_g09740.t1	0.798			peptidergic	OG_6166	FALSE
Hhon.bisque4	Hhon_g07590.t1	0.785	ring_finger_and_FYVE_like_domain_containing_E3_ubiquitin_protein_ligase	zf-C3HC4_3/	peptidergic	OG_3908	FALSE
Hhon.bisque4	Hhon_g09234.t1	0.782	HECT_domain_E3_ubiquitin_protein_ligase_2	HECT/	peptidergic	OG_6638	FALSE
Hhon.bisque4	Hhon_g10740.t1	0.773	gamma_aminobutyric_acid_type_B_receptor_subunit_2	ANF_receptor/7tm_3/	peptidergic	OG_5031	FALSE
Hhon.bisque4	Hhon_g11625.t1	0.772	trace_amine_associated_receptor_1	7tm_1/	peptidergic	OG_8603	FALSE
Hhon.bisque4	Hhon_g01094.t1	0.769	bZIP.HG2.0:CREBL2	bZIP_1/	peptidergic	OG_300	TRUE
Hhon.bisque4	Hhon_g08676.t1	0.761		7tm_1/	peptidergic	OG_5656	FALSE
Hhon.bisque4	Hhon_g08104.t1	0.759		7tm_1/	peptidergic	OG_9610	FALSE
Hhon.bisque4	Hhon_g04140.t1	0.751	neuropeptide_FF_receptor_2	7tm_1/	peptidergic	OG_4261	FALSE
Hhon.bisque4	Hhon_g05399.t1	0.748	HLH.HG1.45:AC019117.3/AHR/AHRR	HLH/PAS/PAS_11/	peptidergic	OG_7562	TRUE
Hhon.bisque4	Hhon_g03403.t1	0.748			peptidergic	OG_929	FALSE
Hhon.bisque4	Hhon_g09189.t1	0.747	bZIP.HG4.0:NA	bZIP_2/	peptidergic	OG_2451	TRUE
Hhon.bisque4	Hhon_g09776.t1	0.741	pleckstrin_homology_MyTH4_and_FERM_domain_containing_H2	PH/PH/MyTH4/FERM_M/	peptidergic	OG_4096	FALSE
Hhon.bisque4	Hhon_g02391.t1	0.733		Ammonium_transp/	peptidergic	OG_6605	FALSE
Hhon.bisque4	Hhon_g10392.t1	0.721		7tm_1/	peptidergic	OG_4774	FALSE
Hhon.bisque4	Hhon_g06380.t1	0.717	B_Raf_proto_oncogene_serine_threonine_kinase	RBD/C1_1/Pkinase_Tyr/	peptidergic	OG_3080	FALSE
Hhon.bisque4	Hhon_g05898.t1	0.706	HLH.HG1.0:ARNT/ARNT2/ARNTL/ARNTL2	HLH/PAS/PAS_11/	peptidergic	OG_10142	TRUE
Hhon.bisque4	Hhon_g02885.t1	0.705	protein_tyrosine_phosphatase_receptor_type_Z1	Y_phosphatase/Y_phosphatase/	peptidergic	OG_8999	FALSE
Hhon.bisque4	Hhon_g08279.t1	0.701	bombesin_receptor_subtype_3	7tm_1/	peptidergic	OG_6137	FALSE
Hhon.bisque4	Hhon_g07343.t1	0.685	Ets.HG1.3:GABPA	GABP-alpha/SAM_PNT/Ets/	peptidergic	OG_9759	TRUE
Hhon.bisque4	Hhon_g00961.t1	0.684			peptidergic	OG_2876	FALSE
Hhon.bisque4	Hhon_g02060.t1	0.637	interleukin_1_receptor_associated_kinase_1	Pkinase/	peptidergic	OG_8598	FALSE
Hhon.bisque4	Hhon_g07523.t1	0.621	NADPH_oxidase_5	EF-hand_5/EF-hand_7/Ferric_reduct/FAD_binding_8/NAD_binding_6/	peptidergic	OG_5720	FALSE
Hhon.bisque4	Hhon_g10698.t1	0.6			peptidergic	OG_4700	FALSE
Hhon.bisque4	Hhon_g05906.t1	0.585	MLLT3_super_elongation_complex_subunit	YEATS/AHD/	peptidergic	OG_10146	FALSE
Hhon.bisque4	Hhon_g07210.t1	0.583	mitogen_activated_protein_kinase_kinase_kinase_12	Pkinase_Tyr/	peptidergic	OG_8522	FALSE
Hhon.bisque4	Hhon_g01821.t1	0.532		PH/	peptidergic	OG_3194	FALSE
Hhon.bisque4	Hhon_g04204.t1	0.511	poly_ADP_ribose_polymerase_family_member_14	PARP/	peptidergic	OG_9626	FALSE
Hhon.black	Hhon_g04887.t1	0.613	signal_sequence_receptor_subunit_4	TRAP-delta/	epithelia_gland_like	OG_1387	FALSE
Hhon.black	Hhon_g01028.t1	0.614	GAR1_ribonucleoprotein	Gar1/	epithelia_gland_like	OG_279	FALSE
Hhon.black	Hhon_g07293.t1	0.609	actin_gamma_1	Actin/	epithelia_gland_like	OG_4638	FALSE
Hhon.black	Hhon_g06406.t1	0.608	retinol_dehydrogenase_5	adh_short/	epithelia_gland_like	OG_9454	FALSE
Hhon.black	Hhon_g07076.t1	0.607	FKBP_prolyl_isomerase_1A	FKBP_C/	epithelia_gland_like	OG_8107	FALSE
Hhon.black	Hhon_g04132.t1	0.605	death_associated_protein	DAP/	epithelia_gland_like	OG_1140	FALSE
Hhon.black	Hhon_g01015.t1	0.601	peptidylprolyl_isomerase_A	Pro_isomerase/	epithelia_gland_like	OG_5908	FALSE
Hhon.black	Hhon_g06478.t1	0.598	calponin_3	CH/Calponin/	epithelia_gland_like	OG_5011	FALSE
Hhon.black	Hhon_g04704.t1	0.598	cortactin	HS1_rep/HS1_rep/HS1_rep/HS1_rep/HS1_rep/HS1_rep/SH3_9/	epithelia_gland_like	OG_2896	FALSE
Hhon.black	Hhon_g07376.t1	0.596	eukaryotic_translation_elongation_factor_1_beta_2	EF-1_beta_acid/EF1_GNE/	epithelia_gland_like	OG_9433	FALSE
Hhon.black	Hhon_g02522.t1	0.596	6_phosphogluconolactonase	Glucosamine_iso/	epithelia_gland_like	OG_8058	FALSE
Hhon.black	Hhon_g02093.t1	0.588		HABP4_PAI-RBP1/	epithelia_gland_like	OG_550	FALSE
Hhon.black	Hhon_g10472.t1	0.612	epoxide_hydrolase_2	Abhydrolase_1/	epithelia_gland_like	OG_4657	FALSE
Hhon.black	Hhon_g01057.t1	0.61	t_complex_1	Cpn60_TCP1/	epithelia_gland_like	OG_9816	FALSE
Hhon.black	Hhon_g08339.t1	0.61	eukaryotic_translation_elongation_factor_2	GTP_EFTU/GTP_EFTU_D2/EFG_III/EFG_IV/EFG_C/	epithelia_gland_like	OG_6438	FALSE
Hhon.black	Hhon_g01204.t1	0.937	ribosomal_protein_S6	Ribosomal_S6e/	epithelia_gland_like	OG_326	FALSE
Hhon.black	Hhon_g05885.t1	0.931	ribosomal_protein_S4_X_linked	RS4NT/S4/Ribosomal_S4e/KOW/40S_S4_C/	epithelia_gland_like	OG_1636	FALSE
Hhon.black	Hhon_g01135.t1	0.929	ribosomal_protein_S8	Ribosomal_S8e/	epithelia_gland_like	OG_313	FALSE
Hhon.black	Hhon_g11077.t1	0.928	ribosomal_protein_L11	Ribosomal_L5/Ribosomal_L5_C/	epithelia_gland_like	OG_2811	FALSE
Hhon.black	Hhon_g03487.t1	0.922	ribosomal_protein_L6	Ribosomal_L6e_N/Ribosomal_L6e/	epithelia_gland_like	OG_946	FALSE
Hhon.black	Hhon_g03930.t1	0.922	ribosomal_protein_S27a	ubiquitin/Ribosomal_S27/	epithelia_gland_like	OG_4617	FALSE
Hhon.black	Hhon_g06111.t1	0.921	ribosomal_protein_S19	Ribosomal_S19e/	epithelia_gland_like	OG_1696	FALSE
Hhon.black	Hhon_g03687.t1	0.92	ribosomal_protein_L15	Ribosomal_L15e/	epithelia_gland_like	OG_1012	FALSE
Hhon.black	Hhon_g06813.t1	0.917	ribosomal_protein_S25	Ribosomal_S25/	epithelia_gland_like	OG_1888	FALSE
Hhon.black	Hhon_g04569.t1	0.916	ribosomal_protein_L37	Ribosomal_L37e/	epithelia_gland_like	OG_1275	FALSE
Hhon.black	Hhon_g09708.t1	0.914	ribosomal_protein_S11	Ribosomal_S17_N/Ribosomal_S17/	epithelia_gland_like	OG_2586	FALSE
Hhon.black	Hhon_g01492.t1	0.913	ribosomal_protein_S9	Ribosomal_S4/S4/	epithelia_gland_like	OG_3689	FALSE
Hhon.black	Hhon_g10282.t1	0.912	ribosomal_protein_L22	Ribosomal_L22e/	epithelia_gland_like	OG_2686	FALSE
Hhon.black	Hhon_g07620.t1	0.912	ribosomal_protein_L27a	Ribosomal_L27A/	epithelia_gland_like	OG_2111	FALSE
Hhon.black	Hhon_g09701.t1	0.911	ribosomal_protein_S5	Ribosomal_S7/	epithelia_gland_like	OG_5195	FALSE
Hhon.black	Hhon_g00651.t1	0.905	ribosomal_protein_L10a	Ribosomal_L1/Kringle/FXa_inhibition/EGF_CA/EGF_CA/Zona_pellucida/	epithelia_gland_like	OG_9388	FALSE
Hhon.black	Hhon_g07038.t1	0.905	ribosomal_protein_S24	Ribosomal_S24e/	epithelia_gland_like	OG_1948	FALSE
Hhon.black	Hhon_g03462.t1	0.903	ribosomal_protein_S26	Ribosomal_S26e/	epithelia_gland_like	OG_939	FALSE
Hhon.black	Hhon_g01679.t1	0.902	ribosomal_protein_L35	Ribosomal_L29/	epithelia_gland_like	OG_460	FALSE
Hhon.black	Hhon_g07307.t1	0.9	ribosomal_protein_L12	Ribosomal_L11_N/Ribosomal_L11/	epithelia_gland_like	OG_2031	FALSE
Hhon.black	Hhon_g07317.t1	0.9	ribosomal_protein_L32	Ribosomal_L32e/	epithelia_gland_like	OG_2037	FALSE
Hhon.black	Hhon_g04933.t1	0.898	ubiquitin_A_52_residue_ribosomal_protein_fusion_product_1	ubiquitin/Ribosomal_L40e/	epithelia_gland_like	OG_10727	FALSE
Hhon.black	Hhon_g00098.t1	0.897	ribosomal_protein_S12	Ribosomal_L7Ae/	epithelia_gland_like	OG_35	FALSE
Hhon.black	Hhon_g00325.t1	0.895	ribosomal_protein_L3	Ribosomal_L3/	epithelia_gland_like	OG_104	FALSE
Hhon.black	Hhon_g01025.t1	0.895	ribosomal_protein_L34	Ribosomal_L34e/	epithelia_gland_like	OG_277	FALSE
Hhon.black	Hhon_g05689.t1	0.894	ribosomal_protein_L30	Ribosomal_L7Ae/	epithelia_gland_like	OG_1573	FALSE
Hhon.black	Hhon_g11075.t1	0.893	ribosomal_protein_L19	Ribosomal_L19e/	epithelia_gland_like	OG_2810	FALSE
Hhon.black	Hhon_g05861.t1	0.892	ribosomal_protein_L13a	Ribosomal_L13/	epithelia_gland_like	OG_1631	FALSE
Hhon.black	Hhon_g06690.t1	0.892	ribosomal_protein_lateral_stalk_subunit_P1	Ribosomal_60s/	epithelia_gland_like	OG_1843	FALSE
Hhon.black	Hhon_g08493.t1	0.891	ribosomal_protein_L23	Ribosomal_L14/	epithelia_gland_like	OG_7628	FALSE
Hhon.black	Hhon_g03715.t1	0.887	ribosomal_protein_S16	Ribosomal_S9/	epithelia_gland_like	OG_7040	FALSE
Hhon.black	Hhon_g05358.t1	0.884	ribosomal_protein_L28	Ribosomal_L28e/	epithelia_gland_like	OG_1502	FALSE
Hhon.black	Hhon_g04441.t1	0.882	ribosomal_protein_L13	Ribosomal_L13e/	epithelia_gland_like	OG_1221	FALSE
Hhon.black	Hhon_g04020.t1	0.88	RPL17_C18orf32_readthrough	Ribosomal_L22/	epithelia_gland_like	OG_1112	FALSE
Hhon.black	Hhon_g07789.t1	0.877	ribosomal_protein_L18	Ribosomal_L18/	epithelia_gland_like	OG_2150	FALSE
Hhon.black	Hhon_g07695.t1	0.876	ribosomal_protein_lateral_stalk_subunit_P0	Ribosomal_L10/RL10P_insert/Ribosomal_60s/	epithelia_gland_like	OG_2127	FALSE
Hhon.black	Hhon_g08337.t1	0.875	ribosomal_protein_S15	Ribosomal_S19/	epithelia_gland_like	OG_2273	FALSE
Hhon.black	Hhon_g08423.t1	0.874	ribosomal_protein_S3	KH_2/Ribosomal_S3_C/	epithelia_gland_like	OG_5372	FALSE
Hhon.black	Hhon_g05010.t1	0.871	FAU_ubiquitin_like_and_ribosomal_protein_S30_fusion	ubiquitin/Ribosomal_S30/	epithelia_gland_like	OG_7176	FALSE
Hhon.black	Hhon_g01052.t1	0.861	ribosomal_protein_L14	KOW/Ribosomal_L14e/	epithelia_gland_like	OG_285	FALSE
Hhon.black	Hhon_g00119.t1	0.856	ribosomal_protein_S7	Ribosomal_S7e/	epithelia_gland_like	OG_8457	FALSE
Hhon.black	Hhon_g00351.t1	0.855	ribosomal_protein_L21	Ribosomal_L21e/	epithelia_gland_like	OG_9162	FALSE
Hhon.black	Hhon_g04177.t1	0.853	ribosomal_protein_L35a	Ribosomal_L35Ae/	epithelia_gland_like	OG_1151	FALSE
Hhon.black	Hhon_g00896.t1	0.851	receptor_for_activated_C_kinase_1	WD40/WD40/WD40/WD40/WD40/WD40/WD40/	epithelia_gland_like	OG_3209	FALSE
Hhon.black	Hhon_g08317.t1	0.847	ribosomal_protein_L36a	Ribosomal_L44/	epithelia_gland_like	OG_2265	FALSE
Hhon.black	Hhon_g03871.t1	0.847	ribosomal_protein_S15a	Ribosomal_S8/	epithelia_gland_like	OG_1060	FALSE
Hhon.black	Hhon_g02827.t1	0.846	ribosomal_protein_L27	Ribosomal_L27e/	epithelia_gland_like	OG_778	FALSE
Hhon.black	Hhon_g05849.t1	0.845	ribosomal_protein_L24	Ribosomal_L24e/	epithelia_gland_like	OG_7595	FALSE
Hhon.black	Hhon_g01074.t1	0.844	eukaryotic_translation_elongation_factor_1_delta	EF-1_beta_acid/EF1_GNE/	epithelia_gland_like	OG_7247	FALSE
Hhon.black	Hhon_g09202.t1	0.835	ribosomal_protein_L4	Ribosomal_L4/Ribos_L4_asso_C/	epithelia_gland_like	OG_3326	FALSE
Hhon.black	Hhon_g09336.t1	0.833	ribosomal_protein_L38	Ribosomal_L38e/	epithelia_gland_like	OG_2483	FALSE
Hhon.black	Hhon_g05026.t1	0.822	ribosomal_protein_lateral_stalk_subunit_P2	Ribosomal_60s/	epithelia_gland_like	OG_1425	FALSE
Hhon.black	Hhon_g01265.t1	0.819	ribosomal_protein_L5	Ribosomal_L5e/Ribosomal_L18_c/	epithelia_gland_like	OG_344	FALSE
Hhon.black	Hhon_g11107.t1	0.819	superoxide_dismutase_1	Sod_Cu/	epithelia_gland_like	OG_10559	FALSE
Hhon.black	Hhon_g08168.t1	0.819	ribosomal_protein_L7	Ribosomal_L30_N/Ribosomal_L30/	epithelia_gland_like	OG_2229	FALSE
Hhon.black	Hhon_g02396.t1	0.815	ribosomal_protein_S17	Ribosomal_S17e/	epithelia_gland_like	OG_635	FALSE
Hhon.black	Hhon_g01662.t1	0.811	ribosomal_protein_L7a	Ribosomal_L7Ae/	epithelia_gland_like	OG_3164	FALSE
Hhon.black	Hhon_g07214.t1	0.794	ribosomal_protein_S27	Ribosomal_S27e/	epithelia_gland_like	OG_2004	FALSE
Hhon.black	Hhon_g09893.t1	0.79	ribosomal_protein_S14	Ribosomal_S11/	epithelia_gland_like	OG_6891	FALSE
Hhon.black	Hhon_g09472.t1	0.79	ribosomal_protein_S20	Ribosomal_S10/	epithelia_gland_like	OG_2520	FALSE
Hhon.black	Hhon_g03509.t1	0.787	asparagine_synthetase_domain_containing_1	GATase_7/Asn_synthase/	epithelia_gland_like	OG_951	FALSE
Hhon.black	Hhon_g08588.t1	0.783	ribosomal_protein_L9	Ribosomal_L6/Ribosomal_L6/	epithelia_gland_like	OG_2333	FALSE
Hhon.black	Hhon_g03774.t1	0.77	ribosomal_protein_S18	Ribosomal_S13/	epithelia_gland_like	OG_1037	FALSE
Hhon.black	Hhon_g01466.t1	0.765	ribosomal_protein_S2	Ribosomal_S5/Ribosomal_S5_C/	epithelia_gland_like	OG_3690	FALSE
Hhon.black	Hhon_g07126.t1	0.753	ribosomal_protein_L37a	Ribosomal_L37ae/	epithelia_gland_like	OG_1971	FALSE
Hhon.black	Hhon_g09567.t1	0.736	ribosomal_protein_L36	Ribosomal_L36e/	epithelia_gland_like	OG_2545	FALSE
Hhon.black	Hhon_g08379.t1	0.733	diazepam_binding_inhibitor_acyl_CoA_binding_protein	ACBP/	epithelia_gland_like	OG_2285	FALSE
Hhon.black	Hhon_g00421.t1	0.729	prefoldin_subunit_5	Prefoldin/	epithelia_gland_like	OG_133	FALSE
