sp1	sp2	ec_value	is_o2o
Hhon_g00012.t1	HoiH23_PlH23_008531	0.610125206293878	1
Hhon_g00014.t1	HoiH23_PlH23_008528	0.781803885267932	1
Hhon_g00015.t1	HoiH23_PlH23_008527	0.800533658467035	1
Hhon_g00020.t1	HoiH23_PlH23_008521	0	1
Hhon_g00021.t1	HoiH23_PlH23_008520	0.733466514453597	1
Hhon_g00026.t1	HoiH23_PlH23_008515	0.933652422710111	1
Hhon_g00027.t1	HoiH23_PlH23_008514	0.930221506007735	1
Hhon_g00034.t1	HoiH23_PlH23_009604	0	1
Hhon_g00035.t1	HoiH23_PlH23_009603	0.919913867173012	1
Hhon_g00038.t1	HoiH23_PlH23_009600	0.619089250143557	1
Hhon_g00050.t1	HoiH23_PlH23_005222	0.803330498439358	1
Hhon_g00052.t1	HoiH23_PlH23_005224	0.937776279758246	1
Hhon_g00056.t1	HoiH23_PlH23_005227	0.902040180101237	1
Hhon_g00061.t1	HoiH23_PlH23_005232	0.640812930803567	1
Hhon_g00064.t1	HoiH23_PlH23_005234	0	1
Hhon_g00067.t1	HoiH23_PlH23_005237	0.698865209377431	1
Hhon_g00069.t1	HoiH23_PlH23_005239	0.581760842932334	1
Hhon_g00070.t1	HoiH23_PlH23_005240	0.782797160546285	1
Hhon_g00071.t1	HoiH23_PlH23_005241	0.923573358978086	1
Hhon_g00074.t1	HoiH23_PlH23_005244	0.672284626610266	1
Hhon_g00082.t1	HoiH23_PlH23_005255	0.721396899576612	1
Hhon_g00086.t1	HoiH23_PlH23_010769	0.0924617036360403	1
Hhon_g00091.t1	HoiH23_PlH23_002813	0.894058891063932	1
Hhon_g00092.t1	HoiH23_PlH23_002814	0.834769314800063	1
Hhon_g00094.t1	HoiH23_PlH23_002816	0.314857907415855	1
Hhon_g00095.t1	HoiH23_PlH23_002817	0.480066221042558	1
Hhon_g02599.t1	HoiH23_PlH23_003332	0.397967102240641	1
Hhon_g00096.t1	HoiH23_PlH23_002818	0.171131138911507	1
Hhon_g00098.t1	HoiH23_PlH23_002820	0.850805939472838	1
Hhon_g00103.t1	HoiH23_PlH23_002825	0.628558167488296	1
Hhon_g00106.t1	HoiH23_PlH23_002829	0.515392434596171	1
Hhon_g00111.t1	HoiH23_PlH23_002834	0.890786376572166	1
Hhon_g00125.t1	HoiH23_PlH23_002848	0.511940909282654	1
Hhon_g00132.t1	HoiH23_PlH23_008863	0.356959178200039	1
