sp1	sp2	ec_value	is_o2o
Hhon_g09096.t1	Mlei_ML0523.g7	0	1
Hhon_g03616.t1	Mlei_ML0359.g9	0	1
Hhon_g03055.t1	Mlei_ML3570.g5	0	1
Hhon_g10370.t1	Mlei_ML0438.g3	0	1
Hhon_g07935.t1	Mlei_ML0295.g19	0.0314616201811561	1
Hhon_g05511.t1	Mlei_ML1356.g8	0	1
Hhon_g01431.t1	Mlei_ML2044.g23	0	1
Hhon_g06382.t1	Mlei_ML3103.g20	0.347713551896763	1
Hhon_g06388.t1	Mlei_ML0173.g2	0	1
Hhon_g03986.t1	Mlei_ML1658.g2	0.204295930328055	1
Hhon_g06394.t1	Mlei_ML2769.g28	0.218142846317553	1
Hhon_g02808.t1	Mlei_ML0797.g12	0	1
Hhon_g06419.t1	Mlei_ML2345.g23	0.801540674785301	1
Hhon_g08401.t1	Mlei_ML0407.g30	0	1
Hhon_g11491.t1	Mlei_ML0508.g9	0	1
Hhon_g06308.t1	Mlei_ML3398.g3	0.155997364393277	1
Hhon_g10744.t1	Mlei_ML2395.g23	0	1
Hhon_g10233.t1	Mlei_ML0983.g7	0.268474088872291	1
Hhon_g05651.t1	Mlei_ML2091.g16	0.353690613407013	1
Hhon_g05655.t1	Mlei_ML1541.g8	0.10772748702503	1
Hhon_g02826.t1	Mlei_ML2180.g12	0.311841075398369	1
Hhon_g05657.t1	Mlei_ML2705.g17	0	1
Hhon_g06777.t1	Mlei_ML0596.g7	0.878574060239722	1
Hhon_g10947.t1	Mlei_ML1417.g20	0.244839218843693	1
Hhon_g01067.t1	Mlei_ML0992.g7	0.298292636241592	1
Hhon_g07842.t1	Mlei_ML1325.g10	0.0484043913424256	1
Hhon_g06451.t1	Mlei_ML0732.g1	0.147280709844159	1
Hhon_g06462.t1	Mlei_ML0428.g2	0.545398909762957	1
Hhon_g03562.t1	Mlei_ML0057.g18	0.358490644342374	1
Hhon_g06466.t1	Mlei_ML0861.g2	0.0467745285554312	1
Hhon_g08212.t1	Mlei_ML2582.g51	0.45500885668665	1
Hhon_g07229.t1	Mlei_ML0871.g16	0.888211835259291	1
Hhon_g07205.t1	Mlei_ML0028.g10	0	1
Hhon_g07200.t1	Mlei_ML0053.g41	0.916847498053077	1
Hhon_g08491.t1	Mlei_ML0702.g64	0.466285437828777	1
