sp1	sp2	ec_value	is_o2o
Tadh_TriadG25296	ste24a	0.584681831295717	1
Tadh_TriadG2986	CG7985	0.199822734994448	1
Tadh_TriadG25488	ScsbetaA	0.447662293159773	1
Tadh_TriadG57282	CIA30	0.718209583141316	1
Tadh_TriadG52356	Gasz	0.0139919818726304	1
Tadh_hyp_clust4917	N	0	1
Tadh_hyp_clust4566	plu	0	1
Tadh_TriadG56817	MAPk-Ak2	0	1
Tadh_TriadG56831	Xe7	0	1
Tadh_TriadG22596	CG9410	0.440627750930272	1
Tadh_TriadG23050	ORMDL	0.245607509180452	1
Tadh_TriadG22540	metl	0.611621741248624	1
Tadh_TriadG55006	CG17593	0.573536674855385	1
Tadh_TriadG58059	imd	0.572193129069454	1
Tadh_TriadG50105	CG10333	0.553983134385752	1
Tadh_TriadG22031	Rala	0	1
Tadh_TriadG21983	CG14231	0.301435231928973	1
Tadh_TriadG56912	CG11180	0.522253841427515	1
Tadh_TriadG25080	MAN1	0.605038663291901	1
Tadh_TriadG49948	Rab18	0	1
Tadh_TriadG55538	CG15923	0.458040102598046	1
Tadh_TriadG25064	Usp16-45	0.283336419815956	1
Tadh_TriadG58441	Sptr	0.67003677417658	1
Tadh_TriadG59186	Smg6	0	1
Tadh_TriadG30551	CG5044	0.606336911975505	1
Tadh_TriadG2319	Syp	0.036533169524093	1
Tadh_TriadG50347	CTPsyn	0.389307678506466	1
Tadh_wf_g5865	CG9149	0.695991762666855	1
Tadh_TriadG25889	Mys45A	0.688369483151288	1
Tadh_TriadG57913	CG31381	0.127826162477395	1
Tadh_TriadG52029	Taf11	0.0751792850481753	1
Tadh_TriadG55689	Asciz	0	1
Tadh_TriadG23383	CG10866	0.146452200869629	1
Tadh_TriadG24046	RabX1	0.0901059088554374	1
Tadh_TriadG24211	dUTPase	0.720113734753292	1
Tadh_wf_g4045	Magi	0	1
Tadh_TriadG55283	Cdk1	0.435770569573309	1
Tadh_TriadG55298	Alas	0	1
Tadh_TriadG23540	CG4743	0.615761406880273	1
Tadh_TriadG35784	Br140	0	1
Tadh_TriadG31139	fliI	0	1
Tadh_TriadG31093	l(2)gl	0.209108632411846	1
Tadh_TriadG55346	MED20	0.521538184663997	1
Tadh_TriadG23499	Strip	0	1
Tadh_TriadG55391	Mcm10	0.626211272564006	1
Tadh_TriadG64173	CG7706	0.551742099317562	1
Tadh_TriadG53974	PICK1	0.178411224688608	1
Tadh_TriadG22842	Noa36	0.665417979649434	1
Tadh_TriadG50159	twf	0.682072466190356	1
Tadh_TriadG23415	Ns1	0.757265913147435	1
Tadh_TriadG50164	Prp18	0.593907751845501	1
Tadh_TriadG55441	agt	0.557968046655169	1
Tadh_TriadG24138	Sec13	0.595259856375345	1
Tadh_TriadG23466	lid	0	1
Tadh_TriadG55534	Cep89	0	1
Tadh_TriadG55545	TH1	0.252570495907052	1
Tadh_TriadG23972	Su(dx)	0	1
Tadh_TriadG55562	nbs	0.0963225608664675	1
Tadh_wf_g4353	mRpL52	0.632455829858415	1
Tadh_TriadG55579	CG31076	0	1
Tadh_TriadG24232	CG17712	0	1
Tadh_TriadG55599	Rhp	0.526480283934898	1
Tadh_TriadG23609	CG17333	0.757479795875272	1
Tadh_TriadG57175	SerRS-m	0.45389281159279	1
Tadh_TriadG23778	Aprt	0	1
Tadh_TriadG52740	Nup133	0.166978449957328	1
Tadh_TriadG24329	CG17883	0	1
Tadh_TriadG24000	CG7028	0.210606511825913	1
Tadh_TriadG63279	DnaJ-H	0.151020177002178	1
Tadh_wf_g7394	cag	0.426241898420285	1
Tadh_TriadG55681	Jarid2	0.129449603752294	1
Tadh_wf_g4499	sl	0	1
Tadh_TriadG55715	CG14414	0.346227731049208	1
Tadh_TriadG23568	Dip-C	0.543935585491618	1
Tadh_TriadG37572	RpL14	0.873532278113906	1
Tadh_TriadG1344	Amt	0.185703572326426	1
Tadh_TriadG29141	glo	0.488197782154137	1
Tadh_wf_g5198	pix	0.751214474570301	1
Tadh_TriadG3973	mRpL3	0.564966432131154	1
Tadh_TriadG63891	Nurf-38	0.786377977850887	1
Tadh_TriadG55844	CG3764	0.234608914680465	1
Tadh_TriadG62272	dpy	0	1
Tadh_TriadG33760	mesh	0.183941776643414	1
Tadh_TriadG31674	fz3	0.0318961030816804	1
