sp1	sp2	ec_value	cluster
Tadh_hyp_clust10049b	Spolac_c104970_g2	0.631222922223022	1
Tadh_hyp_clust10049b	Spolac_c103455_g1	0.0610726380527886	1
Tadh_TriadG62072	Spolac_c103937_g1	NA	2
Tadh_TriadG62072	Spolac_c104953_g1	0.157046605103062	2
Tadh_TriadG62072	Spolac_c104207_g2	0.0326983312695812	2
Tadh_TriadG62072	Spolac_c104788_g3	NA	2
Tadh_TriadG62072	Spolac_c104822_g1	0.255352879816311	2
Tadh_TriadG62072	Spolac_c103221_g1	0.284337089316924	2
Tadh_TriadG62072	Spolac_c81406_g1	0.300229320025689	2
Tadh_TriadG62072	Spolac_c97603_g4	NA	2
Tadh_hyp_clust3081	Spolac_c104788_g3	0.0190494875863533	2
Tadh_hyp_clust3081	Spolac_c104953_g1	NA	2
Tadh_hyp_clust3081	Spolac_c101576_g1	0.0164455258864774	2
Tadh_hyp_clust3081	Spolac_c100112_g1	NA	2
Tadh_hyp_clust3081	Spolac_c103937_g1	NA	2
Tadh_hyp_clust3081	Spolac_c104752_g3	0.00460868206972702	2
Tadh_hyp_clust3081	Spolac_c81406_g1	0.0636461837593759	2
Tadh_hyp_clust3081	Spolac_c98745_g2	NA	2
Tadh_hyp_clust3081	Spolac_c104207_g2	0.0968417811906977	2
Tadh_TriadG62404	Spolac_c103937_g1	NA	2
Tadh_TriadG62404	Spolac_c104207_g2	0.0871744315945787	2
Tadh_TriadG62404	Spolac_c103221_g1	0.324468549016723	2
Tadh_TriadG62404	Spolac_c101576_g1	NA	2
Tadh_TriadG62404	Spolac_c81406_g1	0.353287114355205	2
Tadh_wf_g11863	Spolac_c91036_g1	0.209829657129167	2
Tadh_TriadG62498	Spolac_c104788_g3	NA	2
Tadh_TriadG62498	Spolac_c104752_g3	NA	2
Tadh_TriadG62498	Spolac_c100112_g1	NA	2
Tadh_TriadG62498	Spolac_c98745_g2	0.0203473839565112	2
Tadh_TriadG62498	Spolac_c103937_g1	NA	2
Tadh_TriadG63591	Spolac_c104788_g3	0.0305314762654685	2
Tadh_TriadG63591	Spolac_c104953_g1	0.0388759342323604	2
Tadh_TriadG63591	Spolac_c104752_g3	NA	2
Tadh_TriadG63591	Spolac_c81406_g1	NA	2
Tadh_TriadG63591	Spolac_c98745_g2	0.109655242839828	2
Tadh_TriadG63591	Spolac_c88712_g1	NA	2
Tadh_wf_g9038	Spolac_c91036_g1	0.354781938376868	2
Tadh_wf_g9038	Spolac_c103818_g2	0.286732587586046	2
Tadh_wf_g9038	Spolac_c103818_g3	0.220865584321094	2
Tadh_TriadG62406	Spolac_c104207_g2	0.0934091765140256	2
Tadh_TriadG62406	Spolac_c103221_g1	0.476577387333171	2
Tadh_TriadG62406	Spolac_c101576_g1	NA	2
Tadh_TriadG62406	Spolac_c81406_g1	0.467361829025369	2
Tadh_TriadG62406	Spolac_c104953_g1	0.168356559144638	2
Tadh_TriadG62406	Spolac_c97603_g4	NA	2
