sp1	sp2	ec_value	cluster
TrH2_TrispH2_000012	Aque_Aqu2.1.23385_001	0.705169824022747	1
TrH2_TrispH2_000012	Aque_Aqu2.1.23379_001	0.702407435784986	1
TrH2_TrispH2_000018	Aque_Aqu2.1.22302_001	NA	2
TrH2_TrispH2_000018	Aque_Aqu2.1.22304_001	NA	2
TrH2_TrispH2_000023	Aque_Aqu2.1.11603_001	0.63142194600046	3
TrH2_TrispH2_000023	Aque_Aqu2.1.15715_001	0.623808156069752	3
TrH2_TrispH2_000023	Aque_Aqu2.1.01840_001	0.599424092630487	3
TrH2_TrispH2_006601	Aque_Aqu2.1.19630_001	0.178022921391625	4
TrH2_TrispH2_000029	Aque_Aqu2.1.19630_001	0.391770951185876	4
TrH2_TrispH2_006601	Aque_Aqu2.1.43319_001	0.327366385299692	4
TrH2_TrispH2_000029	Aque_Aqu2.1.43319_001	0.438422065478356	4
TrH2_TrispH2_006601	Aque_Aqu2.1.00172_001	0.382249883395272	4
TrH2_TrispH2_000029	Aque_Aqu2.1.00172_001	0.634069700285996	4
TrH2_TrispH2_000036	Aque_Aqu2.1.33477_001	NA	5
TrH2_TrispH2_000036	Aque_Aqu2.1.38665_001	NA	5
TrH2_TrispH2_000048	Aque_Aqu2.1.28286_001	0.893369094597538	6
TrH2_TrispH2_000048	Aque_Aqu2.1.42517_001	0.906589095269557	6
TrH2_TrispH2_000049	Aque_Aqu2.1.12938_001	0.528098765465579	7
TrH2_TrispH2_000049	Aque_Aqu2.1.40947_001	0.636520765505192	7
TrH2_TrispH2_000050	Aque_Aqu2.1.42569_001	0.571608670701214	8
TrH2_TrispH2_000050	Aque_Aqu2.1.26609_001	NA	8
TrH2_TrispH2_000060	Aque_Aqu2.1.32907_001	NA	9
TrH2_TrispH2_000060	Aque_Aqu2.1.29710_001	NA	9
TrH2_TrispH2_000063	Aque_Aqu2.1.37486_001	0.545794656291554	10
TrH2_TrispH2_000063	Aque_Aqu2.1.18818_001	0.485199583469585	10
TrH2_TrispH2_000064	Aque_Aqu2.1.00389_001	0.619632433195228	11
TrH2_TrispH2_000064	Aque_Aqu2.1.03689_001	0.510246246862955	11
TrH2_TrispH2_000064	Aque_Aqu2.1.24517_001	0.507061682016191	11
TrH2_TrispH2_000075	Aque_Aqu2.1.38696_001	0.373437753913638	12
TrH2_TrispH2_007384	Aque_Aqu2.1.38696_001	0.630309859628949	12
TrH2_TrispH2_003425	Aque_Aqu2.1.42586_001	0.60216190720568	13
TrH2_TrispH2_000081	Aque_Aqu2.1.42586_001	0.647050396243543	13
TrH2_TrispH2_000088	Aque_Aqu2.1.20341_001	NA	14
TrH2_TrispH2_000119	Aque_Aqu2.1.20341_001	0.149663481833135	14
TrH2_TrispH2_005675	Aque_Aqu2.1.36465_001	0.377849600776903	15
TrH2_TrispH2_005672	Aque_Aqu2.1.36465_001	NA	15
TrH2_TrispH2_000093	Aque_Aqu2.1.36465_001	0.563339501157748	15
TrH2_TrispH2_011902	Aque_Aqu2.1.13755_001	0.606968161380259	16
TrH2_TrispH2_011902	Aque_Aqu2.1.09595_001	NA	16
TrH2_TrispH2_011902	Aque_Aqu2.1.08528_001	0.251704281989656	16
TrH2_TrispH2_010454	Aque_Aqu2.1.13755_001	0.70355046172045	16
TrH2_TrispH2_010454	Aque_Aqu2.1.09595_001	NA	16
TrH2_TrispH2_010454	Aque_Aqu2.1.08528_001	0.260422335023406	16
TrH2_TrispH2_010454	Aque_Aqu2.1.08608_001	0.581240873738891	16
TrH2_TrispH2_010454	Aque_Aqu2.1.36598_001	NA	16
TrH2_TrispH2_010454	Aque_Aqu2.1.36593_001	NA	16
TrH2_TrispH2_010454	Aque_Aqu2.1.34632_001	NA	16
TrH2_TrispH2_011729	Aque_Aqu2.1.43961_001	NA	16
TrH2_TrispH2_011729	Aque_Aqu2.1.09595_001	NA	16
TrH2_TrispH2_011729	Aque_Aqu2.1.36598_001	NA	16
TrH2_TrispH2_011729	Aque_Aqu2.1.36593_001	NA	16
TrH2_TrispH2_011729	Aque_Aqu2.1.14841_001	0.370336881146605	16
TrH2_TrispH2_003508	Aque_Aqu2.1.13755_001	0.738866129609641	16
TrH2_TrispH2_003508	Aque_Aqu2.1.09595_001	NA	16
TrH2_TrispH2_011880	Aque_Aqu2.1.27075_001	NA	16
TrH2_TrispH2_011112	Aque_Aqu2.1.13755_001	0.0167489903653924	16
TrH2_TrispH2_011112	Aque_Aqu2.1.09595_001	NA	16
TrH2_TrispH2_011112	Aque_Aqu2.1.08528_001	NA	16
TrH2_TrispH2_011112	Aque_Aqu2.1.44097_001	NA	16
TrH2_TrispH2_011112	Aque_Aqu2.1.34632_001	NA	16
TrH2_TrispH2_011112	Aque_Aqu2.1.36598_001	NA	16
TrH2_TrispH2_011112	Aque_Aqu2.1.36593_001	NA	16
TrH2_TrispH2_003511	Aque_Aqu2.1.05492_001	NA	16
TrH2_TrispH2_006445	Aque_Aqu2.1.05492_001	NA	16
TrH2_TrispH2_006445	Aque_Aqu2.1.12856_001	NA	16
TrH2_TrispH2_010522	Aque_Aqu2.1.08608_001	NA	16
TrH2_TrispH2_010522	Aque_Aqu2.1.13755_001	NA	16
TrH2_TrispH2_008487	Aque_Aqu2.1.05492_001	0.460849742694227	16
TrH2_TrispH2_011113	Aque_Aqu2.1.13755_001	0.676581622193537	16
TrH2_TrispH2_011113	Aque_Aqu2.1.09595_001	NA	16
TrH2_TrispH2_011113	Aque_Aqu2.1.08528_001	0.349655707411595	16
TrH2_TrispH2_011113	Aque_Aqu2.1.08608_001	0.623438519217824	16
TrH2_TrispH2_011113	Aque_Aqu2.1.44097_001	NA	16
TrH2_TrispH2_011113	Aque_Aqu2.1.36598_001	NA	16
TrH2_TrispH2_011113	Aque_Aqu2.1.36593_001	NA	16
TrH2_TrispH2_011113	Aque_Aqu2.1.34632_001	NA	16
TrH2_TrispH2_005344	Aque_Aqu2.1.13755_001	0.705959712141643	16
TrH2_TrispH2_009385	Aque_Aqu2.1.08608_001	0.550741581853472	16
TrH2_TrispH2_009385	Aque_Aqu2.1.08528_001	0.231317586881737	16
TrH2_TrispH2_009385	Aque_Aqu2.1.08249_001	0.568814714927686	16
TrH2_TrispH2_009385	Aque_Aqu2.1.36598_001	NA	16
TrH2_TrispH2_009385	Aque_Aqu2.1.39149_001	NA	16
TrH2_TrispH2_009385	Aque_Aqu2.1.36593_001	NA	16
TrH2_TrispH2_009385	Aque_Aqu2.1.14841_001	0.353744303226932	16
TrH2_TrispH2_009385	Aque_Aqu2.1.13755_001	0.663100947093288	16
TrH2_TrispH2_010521	Aque_Aqu2.1.13755_001	NA	16
TrH2_TrispH2_010521	Aque_Aqu2.1.36598_001	0.298505361495244	16
TrH2_TrispH2_010521	Aque_Aqu2.1.08528_001	NA	16
TrH2_TrispH2_004407	Aque_Aqu2.1.43961_001	NA	16
TrH2_TrispH2_004407	Aque_Aqu2.1.08528_001	0.184404650740936	16
TrH2_TrispH2_004407	Aque_Aqu2.1.36598_001	NA	16
TrH2_TrispH2_004407	Aque_Aqu2.1.34632_001	NA	16
TrH2_TrispH2_004407	Aque_Aqu2.1.36593_001	NA	16
TrH2_TrispH2_011585	Aque_Aqu2.1.27075_001	NA	16
TrH2_TrispH2_003507	Aque_Aqu2.1.36598_001	0.0389395695503891	16
TrH2_TrispH2_003507	Aque_Aqu2.1.36593_001	NA	16
TrH2_TrispH2_003507	Aque_Aqu2.1.13755_001	0.098176807981547	16
TrH2_TrispH2_003507	Aque_Aqu2.1.39149_001	NA	16
TrH2_TrispH2_003507	Aque_Aqu2.1.14841_001	NA	16
TrH2_TrispH2_008880	Aque_Aqu2.1.08528_001	NA	16
TrH2_TrispH2_008880	Aque_Aqu2.1.09595_001	NA	16
TrH2_TrispH2_008880	Aque_Aqu2.1.08249_001	0.472072782648907	16
TrH2_TrispH2_008880	Aque_Aqu2.1.08608_001	0.383550394184802	16
TrH2_TrispH2_010395	Aque_Aqu2.1.05492_001	0.518055560921296	16
TrH2_TrispH2_009285	Aque_Aqu2.1.27075_001	NA	16
TrH2_TrispH2_011881	Aque_Aqu2.1.08528_001	0.293098958624495	16
TrH2_TrispH2_011627	Aque_Aqu2.1.13755_001	0.379794170805517	16
TrH2_TrispH2_011627	Aque_Aqu2.1.09595_001	NA	16
TrH2_TrispH2_011627	Aque_Aqu2.1.08528_001	NA	16
TrH2_TrispH2_011627	Aque_Aqu2.1.08608_001	0.299044361929701	16
TrH2_TrispH2_011627	Aque_Aqu2.1.36598_001	NA	16
TrH2_TrispH2_011627	Aque_Aqu2.1.44097_001	NA	16
TrH2_TrispH2_011627	Aque_Aqu2.1.36593_001	NA	16
TrH2_TrispH2_011627	Aque_Aqu2.1.14841_001	0.108756600107826	16
TrH2_TrispH2_010191	Aque_Aqu2.1.08528_001	NA	16
TrH2_TrispH2_010191	Aque_Aqu2.1.13755_001	NA	16
TrH2_TrispH2_010191	Aque_Aqu2.1.36598_001	0.19858274792801	16
TrH2_TrispH2_010329	Aque_Aqu2.1.27075_001	0.165199863187538	16
TrH2_TrispH2_008486	Aque_Aqu2.1.08528_001	NA	16
TrH2_TrispH2_008486	Aque_Aqu2.1.43961_001	0.386363486158168	16
TrH2_TrispH2_008486	Aque_Aqu2.1.10719_001	NA	16
TrH2_TrispH2_011521	Aque_Aqu2.1.08608_001	0.106114073497634	16
TrH2_TrispH2_011521	Aque_Aqu2.1.13755_001	0.122036494080451	16
TrH2_TrispH2_011521	Aque_Aqu2.1.09595_001	NA	16
TrH2_TrispH2_011521	Aque_Aqu2.1.08528_001	NA	16
TrH2_TrispH2_011521	Aque_Aqu2.1.34632_001	NA	16
