#OG_name	Emue.fasta	Lcom.fasta	Aque.fasta	Bralan.fasta	Tetwil.fasta	Spur.fasta	Morvir.fasta	Spis.fasta	Gasp.fasta	Acagra.fasta	Fspp.fasta	Hsap.fasta	Cgig.fasta	Dgig.fasta	Hvul.fasta	Bolinf.fasta	Horcal.fasta	Amil.fasta	Pbac.fasta	Exapal.fasta	Cscu.fasta	Pocdam.fasta	Adig.fasta	Xesp.fasta	Nemnom.fasta	Skow.fasta	Opea.fasta	Spolac.fasta	Gfas.fasta	Nvec.fasta	Sanmal.fasta	Mertsp.fasta	Codhol.fasta	Coeast.fasta	Rhoesc.fasta	Stycar.fasta	Ctel.fasta	Xestes.fasta	Acaspe.fasta	Eupdun.fasta	Salurc.fasta	Stedip.fasta	Beraby.fasta	Plajan.fasta	Saldol.fasta	Chem.fasta	Helnan.fasta	Halamb.fasta	Gracom.fasta	Aaur.fasta	Tcas.fasta	HoiH23.fasta	TrH2.fasta	Salkve.fasta	Hhon.fasta	Drygla.fasta	Diagra.fasta	Didcos.fasta	Salmac.fasta	Dpul.fasta	Scil.fasta	HoiH04.fasta	Mylflu.fasta	Coemet.fasta	Leuniv.fasta	Salinf.fasta	Mlei.fasta	Microa.fasta	Sros.fasta	Chofle.fasta	Plespi.fasta	Choper.fasta	Vmul.fasta	Tadh.fasta	HoiH06.fasta	Lampan.fasta	Salpun.fasta	Mbre.fasta	Ocar.fasta	Clacor.fasta	HoiH11.fasta
OG_1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	10	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	0	1	0	1	0	1	4	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1
OG_2	2	0	1	1	0	0	0	1	1	3	1	1	1	1	0	0	2	1	3	1	0	1	1	1	1	0	1	3	1	1	1	1	0	2	1	0	1	0	0	37	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0
OG_3	4	4	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	3	2	1	1	2	0	1	2	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	6	1	1	2	1	1	1	1	1	3	1	1	2	1	1	2	1	2	1	1	1	1	1	2	2	1
OG_4	4	1	2	1	1	1	1	1	1	1	1	1	1	1	2	0	1	0	2	1	1	1	1	1	1	1	1	1	2	3	1	1	4	0	1	2	2	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	3	1	1	1	3	1	1	0	2	1	1	1	1	3	1	0	1	1
OG_5	1	6	2	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	2	1	3	1	2	1	1	1	0	1	1	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	0	2	1	1	1	4	1	2	2	1	1	1	1	1	1	0	1	2	1
OG_6	1	2	0	1	1	2	1	1	1	4	2	2	1	1	1	0	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0
OG_7	2	5	1	1	3	1	1	0	1	1	2	1	2	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	2	1	1	0	2	6	1	4	1	1	1	3	1	2	2	2	1	1	1	1	1	0	1	1	1	1	2	6	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	0
OG_8	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	4	1	3	1	0	1	2	1	2	1	1	1	1	0	2	0	1	1	1	0	1	0	1	1	1	1	2	1	2	1	1	1	0	1	1	1	1	1	3	1	1	0	1	1	3	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	2	1
OG_9	2	3	1	3	2	0	1	3	3	1	5	1	7	2	2	7	0	0	0	3	1	1	1	1	3	2	2	1	0	2	1	3	0	0	2	4	3	4	0	0	0	0	1	1	0	3	0	0	0	1	0	4	4	1	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	5	3	2	0	0	0	0	1
OG_10	4	1	6	1	1	1	1	1	1	2	1	1	1	1	3	4	1	1	1	1	2	1	1	2	1	1	2	2	1	1	0	2	2	1	1	2	1	0	1	0	4	1	1	1	2	1	1	1	1	1	1	1	1	2	1	9	1	1	3	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	2	1	0	0	1
