gene_module	gene	membership_score	gene_name	pfam	ct_top	orthogroup	is_transcription_factor
Tadh.bisque4	Tadh_TriadG63614	0.952		Ependymin/	epithelia	OG_6073	FALSE
Tadh.bisque4	Tadh_TriadG56030	0.946			epithelia	OG_8170	FALSE
Tadh.bisque4	Tadh_TriadG53036	0.925		Ependymin/	epithelia	OG_6074	FALSE
Tadh.bisque4	Tadh_TriadG55945	0.915			epithelia	OG_7677	FALSE
Tadh.bisque4	Tadh_TriadG64292	0.915			epithelia	OG_8172	FALSE
Tadh.bisque4	Tadh_TriadG60631	0.908			epithelia	OG_8172	FALSE
Tadh.bisque4	Tadh_TriadG63920	0.889			epithelia	OG_8171	FALSE
Tadh.bisque4	Tadh_TriadG53035	0.87			epithelia	OG_6075	FALSE
Tadh.bisque4	Tadh_TriadG64422	0.856			epithelia	OG_2933	FALSE
Tadh.bisque4	Tadh_TriadG63918	0.845			epithelia	OG_4156	FALSE
Tadh.bisque4	Tadh_TriadG58955	0.769	solute_carrier_family_18_member_B1	MFS_1/	epithelia	OG_10706	FALSE
Tadh.bisque4	Tadh_TriadG57370	0.755			epithelia	OG_1428	FALSE
Tadh.bisque4	Tadh_TriadG55318	0.75			epithelia	OG_10656	FALSE
Tadh.bisque4	Tadh_TriadG64234	0.744			epithelia	OG_4240	FALSE
Tadh.bisque4	Tadh_TriadG21255	0.74	noggin	Noggin/	epithelia	OG_947	FALSE
Tadh.bisque4	Tadh_TriadG63932	0.726			epithelia	OG_10834	FALSE
Tadh.bisque4	Tadh_TriadG58211	0.726			epithelia	OG_8222	FALSE
Tadh.bisque4	Tadh_TriadG57940	0.716			epithelia	OG_88	FALSE
Tadh.bisque4	Tadh_wf_g4839	0.713			epithelia	OG_8170	FALSE
Tadh.bisque4	Tadh_TriadG62293	0.702		DUF4735/	epithelia	OG_9605	FALSE
Tadh.bisque4	Tadh_TriadG54469	0.7	peptidylprolyl_isomerase_B	Pro_isomerase/	epithelia	OG_7778	FALSE
Tadh.bisque4	Tadh_TriadG57705	0.667		Death/	epithelia	OG_8675	FALSE
Tadh.bisque4	Tadh_TriadG31159	0.661	FAD_dependent_oxidoreductase_domain_containing_2	Pyr_redox_3/	epithelia	OG_4590	FALSE
Tadh.bisque4	Tadh_TriadG59369	0.622	tachykinin_receptor_3	7tm_1/	epithelia	OG_5726	FALSE
Tadh.bisque4	Tadh_TriadG3799	0.609	G_protein_coupled_receptor_1	7tm_1/	epithelia	OG_4854	FALSE
Tadh.bisque4	Tadh_wf_g2726	0.593			epithelia	OG_10806	FALSE
Tadh.bisque4	Tadh_TriadG58912	0.589			epithelia	OG_2133	FALSE
Tadh.bisque4	Tadh_TriadG55949	0.585			epithelia	OG_10616	FALSE
Tadh.bisque4	Tadh_TriadG59765	0.585	HLH.HG2.57:like:ATOH8/BHLHA9/NEUROD1/NEUROD2/NEUROD4/NEUROD6	HLH/	epithelia	OG_5943	TRUE
Tadh.bisque4	Tadh_TriadG63889	0.582		DUF4440/	epithelia	OG_8811	FALSE
Tadh.bisque4	Tadh_TriadG56111	0.582	actin_beta	Actin/	epithelia	OG_10418	FALSE
Tadh.bisque4	Tadh_TriadG54023	0.578			epithelia	OG_3702	FALSE
Tadh.bisque4	Tadh_wf_g2725	0.571			epithelia	OG_3699	FALSE
Tadh.bisque4	Tadh_TriadG61885	0.511	solute_carrier_family_6_member_13	SNF/	epithelia	OG_4510	FALSE
