sp1	sp2	ec_value	is_o2o
HoiH23_PlH23_008000	Spolac_c101229_g1	0.303690704761511	1
HoiH23_PlH23_006344	Spolac_c96755_g1	0.581699098841581	1
HoiH23_PlH23_006347	Spolac_c92181_g1	0.586921535176914	1
HoiH23_PlH23_005135	Spolac_c88113_g1	0.50831838240055	1
HoiH23_PlH23_010827	Spolac_c94394_g1	0.658033815494768	1
HoiH23_PlH23_006649	Spolac_c95848_g1	0.382578366038409	1
HoiH23_PlH23_006652	Spolac_c94173_g1	0.695299827368225	1
HoiH23_PlH23_008405	Spolac_c103196_g1	0.472647437438262	1
HoiH23_PlH23_003721	Spolac_c65099_g1	0	1
HoiH23_PlH23_001658	Spolac_c102838_g1	0.50120868811689	1
HoiH23_PlH23_003245	Spolac_c93382_g2	0	1
HoiH23_PlH23_008716	Spolac_c102887_g1	0	1
HoiH23_PlH23_011116	Spolac_c97201_g1	0	1
HoiH23_PlH23_004584	Spolac_c102637_g1	0.0418178106039245	1
HoiH23_PlH23_008696	Spolac_c92378_g2	0	1
HoiH23_PlH23_008692	Spolac_c102220_g3	0	1
HoiH23_PlH23_008168	Spolac_c97999_g1	0	1
HoiH23_PlH23_004348	Spolac_c102077_g1	0.0987425592725282	1
HoiH23_PlH23_004349	Spolac_c79413_g1	0.853785877786706	1
HoiH23_PlH23_005653	Spolac_c95173_g1	0.465566137433299	1
HoiH23_PlH23_011357	Spolac_c100345_g1	0.631394943195706	1
HoiH23_PlH23_001327	Spolac_c103774_g1	0.739632649502189	1
HoiH23_PlH23_011108	Spolac_c100168_g1	0	1
HoiH23_PlH23_004333	Spolac_c84869_g1	0.827606229057139	1
HoiH23_PlH23_004334	Spolac_c99094_g1	0.826674143862591	1
HoiH23_PlH23_001329	Spolac_c104481_g1	0	1
HoiH23_PlH23_008149	Spolac_c101231_g1	0.463435180370309	1
HoiH23_PlH23_005659	Spolac_c103066_g1	0.481918176553104	1
HoiH23_PlH23_011332	Spolac_c101036_g1	0.356850384318076	1
HoiH23_PlH23_006263	Spolac_c98291_g1	0.50627584836626	1
HoiH23_PlH23_003899	Spolac_c92709_g1	0.246909494554105	1
