sp1	sp2	ec_value	is_o2o
TrH2_TrispH2_005795	Mmus_ENSMUSG00000057715	0	1
TrH2_TrispH2_001179	Mmus_ENSMUSG00000020562	0.890980844050861	1
TrH2_TrispH2_003604	Mmus_ENSMUSG00000041180	0.494225292701771	1
TrH2_TrispH2_005841	Mmus_ENSMUSG00000043207	0	1
TrH2_TrispH2_005844	Mmus_ENSMUSG00000039307	0.0841895620347528	1
TrH2_TrispH2_005843	Mmus_ENSMUSG00000071324	0.681805860658725	1
TrH2_TrispH2_005850	Mmus_ENSMUSG00000022110	0	1
TrH2_TrispH2_006662	Mmus_ENSMUSG00000027305	0.294478023875049	1
TrH2_TrispH2_009678	Mmus_ENSMUSG00000022400	0.523215036713021	1
TrH2_TrispH2_011553	Mmus_ENSMUSG00000031379	0	1
TrH2_TrispH2_005268	Mmus_ENSMUSG00000051804	0	1
TrH2_TrispH2_005778	Mmus_ENSMUSG00000052593	0.125176331784427	1
TrH2_TrispH2_010802	Mmus_ENSMUSG00000013787	0.342338548489747	1
TrH2_TrispH2_010650	Mmus_ENSMUSG00000039483	0	1
TrH2_TrispH2_006138	Mmus_ENSMUSG00000037818	0	1
TrH2_TrispH2_006142	Mmus_ENSMUSG00000059708	0.0865172372597881	1
TrH2_TrispH2_003713	Mmus_ENSMUSG00000022911	0.150514166593015	1
TrH2_TrispH2_004870	Mmus_ENSMUSG00000078622	0	1
TrH2_TrispH2_004872	Mmus_ENSMUSG00000003360	0.197855393616307	1
TrH2_TrispH2_003739	Mmus_ENSMUSG00000023262	0	1
TrH2_TrispH2_008579	Mmus_ENSMUSG00000026096	0.114896785087129	1
TrH2_TrispH2_003757	Mmus_ENSMUSG00000021958	0.623064660139334	1
TrH2_TrispH2_004787	Mmus_ENSMUSG00000073639	0.269192588337151	1
TrH2_TrispH2_007803	Mmus_ENSMUSG00000036962	0.860049489277776	1
TrH2_TrispH2_003796	Mmus_ENSMUSG00000049488	0.800203335697546	1
TrH2_TrispH2_008561	Mmus_ENSMUSG00000033735	0.148657507706007	1
TrH2_TrispH2_001975	Mmus_ENSMUSG00000038290	0	1
TrH2_TrispH2_000708	Mmus_ENSMUSG00000041426	0.0180818148615712	1
TrH2_TrispH2_001454	Mmus_ENSMUSG00000028653	0.0271474456837332	1
TrH2_TrispH2_004296	Mmus_ENSMUSG00000029415	0.286434408806908	1
TrH2_TrispH2_001589	Mmus_ENSMUSG00000031951	0.740481831408724	1
TrH2_TrispH2_006457	Mmus_ENSMUSG00000024218	0.294668922955804	1
TrH2_TrispH2_001580	Mmus_ENSMUSG00000047388	0	1
TrH2_TrispH2_011099	Mmus_ENSMUSG00000021537	0.25313337394631	1
TrH2_TrispH2_010247	Mmus_ENSMUSG00000032221	0.799510839915922	1
TrH2_TrispH2_010255	Mmus_ENSMUSG00000027203	0.638109877237682	1
TrH2_TrispH2_001699	Mmus_ENSMUSG00000037971	0.645867529966761	1
TrH2_TrispH2_001721	Mmus_ENSMUSG00000032309	0.0926235901920605	1
TrH2_TrispH2_001782	Mmus_ENSMUSG00000019942	0.518074378162134	1
TrH2_TrispH2_004878	Mmus_ENSMUSG00000045100	0	1
TrH2_TrispH2_004889	Mmus_ENSMUSG00000089997	0.850182810719881	1
TrH2_TrispH2_006167	Mmus_ENSMUSG00000002812	0	1
TrH2_TrispH2_007856	Mmus_ENSMUSG00000020904	0.88916755270423	1
TrH2_TrispH2_004912	Mmus_ENSMUSG00000019080	0	1
TrH2_TrispH2_004924	Mmus_ENSMUSG00000030322	0.28979180289108	1
TrH2_TrispH2_007857	Mmus_ENSMUSG00000032905	0.0084860966856095	1
TrH2_TrispH2_008311	Mmus_ENSMUSG00000044847	0.10478569977452	1
TrH2_TrispH2_004042	Mmus_ENSMUSG00000044881	0	1
TrH2_TrispH2_006403	Mmus_ENSMUSG00000035311	0	1
TrH2_TrispH2_004700	Mmus_ENSMUSG00000026669	0.45378708073125	1
TrH2_TrispH2_004705	Mmus_ENSMUSG00000000673	0	1
TrH2_TrispH2_004706	Mmus_ENSMUSG00000062981	0.00999795079683553	1
TrH2_TrispH2_002011	Mmus_ENSMUSG00000029141	0.315977981738785	1
TrH2_TrispH2_009611	Mmus_ENSMUSG00000068206	0	1
TrH2_TrispH2_004721	Mmus_ENSMUSG00000022466	0	1
TrH2_TrispH2_001242	Mmus_ENSMUSG00000031711	0.704328893456303	1
TrH2_TrispH2_004726	Mmus_ENSMUSG00000002996	0	1
TrH2_TrispH2_010055	Mmus_ENSMUSG00000007610	0	1
TrH2_TrispH2_006258	Mmus_ENSMUSG00000030435	0.491403999427534	1
TrH2_TrispH2_004733	Mmus_ENSMUSG00000025266	0	1
TrH2_TrispH2_004738	Mmus_ENSMUSG00000039449	0	1
TrH2_TrispH2_004749	Mmus_ENSMUSG00000054612	0.416670655603205	1
TrH2_TrispH2_004751	Mmus_ENSMUSG00000030298	0.635107501310243	1
TrH2_TrispH2_003793	Mmus_ENSMUSG00000023072	0.73173356769108	1
TrH2_TrispH2_003803	Mmus_ENSMUSG00000016253	0	1
TrH2_TrispH2_003820	Mmus_ENSMUSG00000028224	0.142971411565778	1
TrH2_TrispH2_003824	Mmus_ENSMUSG00000010406	0.617804956349064	1
TrH2_TrispH2_003832	Mmus_ENSMUSG00000014846	0	1
TrH2_TrispH2_003856	Mmus_ENSMUSG00000023151	0	1
TrH2_TrispH2_003861	Mmus_ENSMUSG00000031807	0.681468274995372	1
TrH2_TrispH2_003258	Mmus_ENSMUSG00000070699	0.310909855017926	1
TrH2_TrispH2_001515	Mmus_ENSMUSG00000006589	0	1
TrH2_TrispH2_007392	Mmus_ENSMUSG00000039509	0	1
TrH2_TrispH2_001522	Mmus_ENSMUSG00000022550	0	1
TrH2_TrispH2_001539	Mmus_ENSMUSG00000021413	0.307870231173267	1
TrH2_TrispH2_001552	Mmus_ENSMUSG00000031701	0.22856414386453	1
TrH2_TrispH2_001557	Mmus_ENSMUSG00000001482	0.0511628628989036	1
TrH2_TrispH2_001559	Mmus_ENSMUSG00000039804	0	1
TrH2_TrispH2_001560	Mmus_ENSMUSG00000036810	0.0419497724724748	1
TrH2_TrispH2_001569	Mmus_ENSMUSG00000038518	0.292288707941748	1
TrH2_TrispH2_000828	Mmus_ENSMUSG00000038119	0.196918994457999	1
TrH2_TrispH2_001607	Mmus_ENSMUSG00000026889	0.402717742325782	1
TrH2_TrispH2_002351	Mmus_ENSMUSG00000031166	0.0970591227106825	1
TrH2_TrispH2_001612	Mmus_ENSMUSG00000063931	0.20594740832357	1
TrH2_TrispH2_001613	Mmus_ENSMUSG00000025794	0.785972720202113	1
TrH2_TrispH2_001633	Mmus_ENSMUSG00000071103	0.865963076211029	1
TrH2_TrispH2_002594	Mmus_ENSMUSG00000015335	0.118061028740037	1
TrH2_TrispH2_001635	Mmus_ENSMUSG00000062006	0	1
TrH2_TrispH2_001655	Mmus_ENSMUSG00000027324	0.589249440892355	1
TrH2_TrispH2_001125	Mmus_ENSMUSG00000058355	0.343472688286265	1
TrH2_TrispH2_005330	Mmus_ENSMUSG00000002781	0	1
TrH2_TrispH2_005341	Mmus_ENSMUSG00000001062	0.224060606863463	1
TrH2_TrispH2_005351	Mmus_ENSMUSG00000036779	0	1
TrH2_TrispH2_001067	Mmus_ENSMUSG00000041945	0	1
TrH2_TrispH2_005363	Mmus_ENSMUSG00000032563	0	1
TrH2_TrispH2_005379	Mmus_ENSMUSG00000031751	0	1
TrH2_TrispH2_007469	Mmus_ENSMUSG00000026921	0	1
TrH2_TrispH2_009200	Mmus_ENSMUSG00000006369	0.246275945055802	1
TrH2_TrispH2_006998	Mmus_ENSMUSG00000039428	0	1
TrH2_TrispH2_009002	Mmus_ENSMUSG00000028843	0	1
TrH2_TrispH2_009720	Mmus_ENSMUSG00000012126	0.816569744341411	1
TrH2_TrispH2_006668	Mmus_ENSMUSG00000024477	0.267575846403957	1
TrH2_TrispH2_001211	Mmus_ENSMUSG00000067873	0	1
TrH2_TrispH2_005783	Mmus_ENSMUSG00000032077	0	1
TrH2_TrispH2_005890	Mmus_ENSMUSG00000021193	0	1
TrH2_TrispH2_004401	Mmus_ENSMUSG00000036257	0	1
TrH2_TrispH2_001848	Mmus_ENSMUSG00000038446	0.130321258663785	1
TrH2_TrispH2_010317	Mmus_ENSMUSG00000040688	0.511060622570188	1
TrH2_TrispH2_011424	Mmus_ENSMUSG00000030603	0.674451317631883	1
TrH2_TrispH2_001908	Mmus_ENSMUSG00000022757	0.193459941311597	1
TrH2_TrispH2_007878	Mmus_ENSMUSG00000028719	0.593233276370091	1
TrH2_TrispH2_008356	Mmus_ENSMUSG00000031479	0.22095272816693	1
TrH2_TrispH2_004321	Mmus_ENSMUSG00000022131	0	1
TrH2_TrispH2_004336	Mmus_ENSMUSG00000003380	0.184309322364528	1
TrH2_TrispH2_004368	Mmus_ENSMUSG00000036850	0	1
TrH2_TrispH2_004366	Mmus_ENSMUSG00000032078	0.0976614583616358	1
TrH2_TrispH2_006632	Mmus_ENSMUSG00000020525	0.0176820304109717	1
TrH2_TrispH2_009106	Mmus_ENSMUSG00000031864	0.177937502056499	1
TrH2_TrispH2_010002	Mmus_ENSMUSG00000000759	0	1
TrH2_TrispH2_010848	Mmus_ENSMUSG00000025326	0.102164036223568	1
TrH2_TrispH2_010011	Mmus_ENSMUSG00000025038	0.846179793437948	1
TrH2_TrispH2_002397	Mmus_ENSMUSG00000020464	0.541988872531443	1
TrH2_TrispH2_002422	Mmus_ENSMUSG00000003438	0.5883666836713	1
TrH2_TrispH2_002432	Mmus_ENSMUSG00000020321	0.120410920000596	1
TrH2_TrispH2_002449	Mmus_ENSMUSG00000023966	0.832119039437805	1
TrH2_TrispH2_010495	Mmus_ENSMUSG00000024974	0.557357504423735	1
TrH2_TrispH2_003228	Mmus_ENSMUSG00000037089	0	1
TrH2_TrispH2_003229	Mmus_ENSMUSG00000021022	0.597511425032555	1
TrH2_TrispH2_003234	Mmus_ENSMUSG00000045374	0.132296326534189	1
TrH2_TrispH2_007859	Mmus_ENSMUSG00000068663	0.293085819189868	1
TrH2_TrispH2_003254	Mmus_ENSMUSG00000044968	0	1
TrH2_TrispH2_003261	Mmus_ENSMUSG00000024073	0	1
TrH2_TrispH2_003264	Mmus_ENSMUSG00000037259	0	1
TrH2_TrispH2_001606	Mmus_ENSMUSG00000020978	0.272778143873286	1
TrH2_TrispH2_006303	Mmus_ENSMUSG00000032096	0	1
TrH2_TrispH2_003273	Mmus_ENSMUSG00000042831	0.0580781840640974	1
TrH2_TrispH2_003276	Mmus_ENSMUSG00000006464	0.821676812279208	1
TrH2_TrispH2_003271	Mmus_ENSMUSG00000006021	0.154068038824629	1
TrH2_TrispH2_003284	Mmus_ENSMUSG00000041712	0.116719825911298	1
