sp1	sp2	ec_value	cluster
HoiH23_PlH23_008718	Hvul_g18986_1	0.649634691185384	1
HoiH23_hyp_clust4260	Hvul_g18986_1	0.615458740664468	1
HoiH23_PlH23_008718	Hvul_g18982_1	0.649854454673507	1
HoiH23_PlH23_003192	Hvul_g5704_1	NA	2
HoiH23_PlH23_003192	Hvul_g23866_1	NA	2
HoiH23_PlH23_003195	Hvul_g5704_1	0.154007208419674	2
HoiH23_PlH23_003195	Hvul_g23866_1	0.486106544243467	2
HoiH23_hyp_clust5206	Hvul_g23866_1	0.180089620370654	2
HoiH23_PlH23_000002	Hvul_g22339_1	0.160620424774515	3
HoiH23_PlH23_000002	Hvul_g2282_1	NA	3
HoiH23_PlH23_011762	Hvul_g10255_1	NA	4
HoiH23_PlH23_004854	Hvul_g853_1	0.239641339270383	4
HoiH23_PlH23_004854	Hvul_g10255_1	NA	4
HoiH23_PlH23_004854	Hvul_g8588_1	0.392962048092344	4
HoiH23_PlH23_003841	Hvul_g853_1	0.320173569522485	4
HoiH23_PlH23_003841	Hvul_g30487_1	0.539437512598428	4
HoiH23_PlH23_003984	Hvul_g853_1	0.312251159888841	4
HoiH23_PlH23_003984	Hvul_g10255_1	-0.00847377353662198	4
HoiH23_PlH23_004027	Hvul_g8588_1	0.47432832753155	4
HoiH23_PlH23_006171	Hvul_g30487_1	0.636713570016736	4
HoiH23_PlH23_006171	Hvul_g6155_1	0.442466568430057	4
HoiH23_PlH23_008392	Hvul_g15976_1	0.604188360552937	4
HoiH23_PlH23_008392	Hvul_g6155_1	0.475793453768161	4
HoiH23_PlH23_001275	Hvul_g853_1	0.321858921208475	4
HoiH23_PlH23_001275	Hvul_g10255_1	NA	4
HoiH23_PlH23_003565	Hvul_g853_1	0.304452749126547	4
HoiH23_PlH23_000005	Hvul_g30487_1	0.440964205252687	4
HoiH23_PlH23_010901	Hvul_g853_1	0.385014896788511	4
HoiH23_PlH23_010901	Hvul_g10255_1	0.0131295456188617	4
HoiH23_PlH23_007026	Hvul_g6155_1	0.498595805081613	4
HoiH23_PlH23_011145	Hvul_g853_1	0.313489933896965	4
HoiH23_PlH23_011145	Hvul_g10255_1	NA	4
HoiH23_PlH23_011145	Hvul_g8588_1	0.610876600447208	4
HoiH23_PlH23_005535	Hvul_g30487_1	0.476058117129414	4
HoiH23_PlH23_005535	Hvul_g6155_1	0.313513509871351	4
HoiH23_PlH23_005535	Hvul_g8588_1	0.564543464294305	4
HoiH23_PlH23_005535	Hvul_g15976_1	0.389604008593836	4
HoiH23_PlH23_009833	Hvul_g853_1	0.389491183087217	4
HoiH23_PlH23_009833	Hvul_g10255_1	-0.00272784942899479	4
HoiH23_PlH23_009277	Hvul_g6155_1	0.463464101852501	4
HoiH23_PlH23_000720	Hvul_g8588_1	0.575020111332653	4
HoiH23_PlH23_011312	Hvul_g853_1	0.291563013821268	4
HoiH23_PlH23_011312	Hvul_g10255_1	NA	4
HoiH23_PlH23_011312	Hvul_g8588_1	0.57946494240515	4
HoiH23_PlH23_009125	Hvul_g853_1	0.387624868051743	4
HoiH23_PlH23_009125	Hvul_g10255_1	0.059570977167215	4
HoiH23_PlH23_001277	Hvul_g853_1	0.180346214349484	4
HoiH23_PlH23_001277	Hvul_g10255_1	NA	4
HoiH23_PlH23_005536	Hvul_g6155_1	0.273098077424395	4
HoiH23_PlH23_005536	Hvul_g8588_1	0.543283740734255	4
HoiH23_PlH23_010698	Hvul_g6155_1	0.427060379884507	4
HoiH23_PlH23_011071	Hvul_g10255_1	-0.00950821037962171	4
HoiH23_PlH23_011071	Hvul_g853_1	0.325502778828542	4
HoiH23_PlH23_004242	Hvul_g8588_1	0.58642628650184	4
HoiH23_PlH23_004242	Hvul_g15976_1	0.551074172975419	4
HoiH23_PlH23_010039	Hvul_g8588_1	0.612935991387611	4
HoiH23_PlH23_010902	Hvul_g853_1	0.343665579780693	4
HoiH23_PlH23_010902	Hvul_g10255_1	0.00235586712647889	4
HoiH23_PlH23_000718	Hvul_g8588_1	0.539947181242804	4
