orthogroup	name
OG_1	zinc_finger_BED_type_containing_6
OG_2	
OG_3	
OG_4	
OG_5	
OG_6	
OG_7	
OG_8	
OG_9	N_6_adenine_specific_DNA_methyltransferase_1
OG_10	
OG_11	ATPase_H_transporting_V1_subunit_H
OG_12	LKAAEAR_motif_containing_1
OG_13	RAD52_motif_containing_1
OG_14	apolipoprotein_O,apolipoprotein_O_like
OG_15	
OG_16	cyclase_associated_actin_cytoskeleton_regulatory_protein_2
OG_17	MORN_repeat_containing_2
OG_18	
OG_19	glycine_decarboxylase
OG_20	COBW_domain_containing_1
OG_21	SAS_6_centriolar_assembly_protein
OG_22	arylformamidase
OG_23	
OG_24	NADH_ubiquinone_oxidoreductase_subunit_A11
OG_25	SSX_family_member_2_interacting_protein
OG_26	elongation_factor_1_homolog
OG_27	DDB1_and_CUL4_associated_factor_15
OG_28	heat_shock_protein_family_B_small_member_11
OG_29	bZIP.HG1.9:JUN/JUNB/JUND
OG_30	thyroid_hormone_receptor_interactor_4
OG_31	thioredoxin_domain_containing_15
OG_32	tonsoku_like_DNA_repair_protein
OG_33	NLR_family_pyrin_domain_containing_3
OG_34	NLR_family_pyrin_domain_containing_8
OG_35	ribosomal_protein_S12
OG_36	oxidative_stress_responsive_serine_rich_1
OG_37	family_with_sequence_similarity_135_member_A
OG_38	transmembrane_protein_14C
OG_39	EYA_transcriptional_coactivator_and_phosphatase_4
OG_40	replication_termination_factor_2
OG_41	
OG_42	transmembrane_protein_65
OG_43	NADH_ubiquinone_oxidoreductase_subunit_S5
OG_44	radial_spoke_head_10_homolog_B2
OG_45	
OG_46	LTV1_ribosome_biogenesis_factor
OG_47	NKAP_domain_containing_1
OG_48	PET100_cytochrome_c_oxidase_chaperone
OG_49	iron_sulfur_cluster_assembly_1
OG_50	nuclear_factor_I_B
OG_51	DOT1_like_histone_lysine_methyltransferase
OG_52	RIC1_homolog_RAB6A_GEF_complex_partner_1
OG_53	
OG_54	
OG_55	centromere_protein_C
OG_56	ATP_synthase_F1_subunit_delta
OG_57	
OG_58	
OG_59	RPTOR_independent_companion_of_MTOR_complex_2
OG_60	ketohexokinase
OG_61	trafficking_protein_particle_complex_5
OG_62	
OG_63	endoplasmic_reticulum_metallopeptidase_1
OG_64	
OG_65	general_transcription_factor_IIIC_subunit_3
OG_66	
OG_67	coiled_coil_domain_containing_178
OG_68	
OG_69	protein_phosphatase_1_regulatory_subunit_42
OG_70	coiled_coil_and_C2_domain_containing_1A
OG_71	NSE1_homolog_SMC5_SMC6_complex_component
OG_72	lysosomal_protein_transmembrane_4_beta
OG_73	CYFIP_related_Rac1_interactor_B
OG_74	family_with_sequence_similarity_91_member_A1
OG_75	transmembrane_protein_86A
OG_76	coiled_coil_and_C2_domain_containing_2A
OG_77	nudix_hydrolase_3
OG_78	EFR3_homolog_B
OG_79	Sad1_and_UNC84_domain_containing_1
OG_80	
OG_81	trafficking_protein_particle_complex_12
OG_82	POP1_homolog_ribonuclease_P_MRP_subunit
OG_83	
OG_84	mediator_complex_subunit_23
OG_85	cytochrome_c_oxidase_subunit_5B
OG_86	
OG_87	peroxisomal_biogenesis_factor_3
OG_88	
OG_89	eukaryotic_translation_initiation_factor_3_subunit_E
OG_90	
OG_91	ASXL_transcriptional_regulator_2,ASXL_transcriptional_regulator_1
OG_92	DNA_primase_subunit_2
OG_93	ribonuclease_H2_subunit_A
OG_94	mediator_complex_subunit_7
OG_95	trans_golgi_network_vesicle_protein_23_homolog_B,trans_golgi_network_vesicle_protein_23_homolog_A
OG_96	oxidoreductase_like_domain_containing_1
OG_97	
OG_98	N_acetyltransferase_9_putative
OG_99	IQ_motif_containing_K
OG_100	
OG_101	mitochondrial_ribosomal_protein_S22
OG_102	NADH_ubiquinone_oxidoreductase_subunit_B10
OG_103	
OG_104	ribosomal_protein_L3
OG_105	calcineurin_like_phosphoesterase_domain_containing_1
OG_106	cytochrome_c_oxidase_subunit_6B1
OG_107	leukocyte_receptor_cluster_member_8
OG_108	centriolar_coiled_coil_protein_110
OG_109	tRNA_splicing_endonuclease_subunit_54
OG_110	signal_transducer_and_activator_of_transcription_1,signal_transducer_and_activator_of_transcription_4
OG_111	chromosome_7_open_reading_frame_50
OG_112	FYVE_and_coiled_coil_domain_autophagy_adaptor_1,RUN_and_FYVE_domain_containing_4
OG_113	NPL4_homolog_ubiquitin_recognition_factor
OG_114	WW_domain_binding_protein_2
OG_115	
OG_116	mediator_complex_subunit_8
OG_117	
OG_118	ataxin_10
OG_119	aspartyl_aminopeptidase
OG_120	non_SMC_condensin_II_complex_subunit_G2
OG_121	TRAF3_interacting_protein_1
OG_122	NADH_ubiquinone_oxidoreductase_subunit_A8
OG_123	rhomboid_domain_containing_1
OG_124	phosphopantothenoylcysteine_synthetase
OG_125	formation_of_mitochondrial_complex_V_assembly_factor_1_homolog
OG_126	ATPase_H_transporting_V1_subunit_F
OG_127	HUS1_checkpoint_clamp_component
OG_128	VPS16_core_subunit_of_CORVET_and_HOPS_complexes
OG_129	ring_finger_protein_32
OG_130	translin
OG_131	sclerostin_domain_containing_1
OG_132	CDP_L_ribitol_pyrophosphorylase_A
OG_133	prefoldin_subunit_5
OG_134	
