gene	orthogroup
Dmel_FBtr0474126	OG_2575
Dmel_FBtr0330056	OG_2575
Dmel_FBtr0078855	OG_2575
Dmel_FBtr0330144	OG_2575
Dmel_FBtr0085746	OG_2575
Dmel_FBtr0087428	OG_3854
Dmel_FBtr0340444	OG_1842
Dmel_FBtr0071623	OG_2609
Dmel_FBtr0299757	OG_11486
Dmel_FBtr0300351	OG_3826
Dmel_FBtr0330133	OG_5210
Dmel_FBtr0332497	OG_3163
Dmel_FBtr0085897	OG_1620
Dmel_FBtr0304746	OG_1620
Dmel_FBtr0082780	OG_1022
Dmel_FBtr0081144	OG_4569
Dmel_FBtr0089209	OG_4735
Dmel_FBtr0339272	OG_5062
Dmel_FBtr0076018	OG_4069
Dmel_FBtr0073688	OG_4485
Dmel_FBtr0087118	OG_898
Dmel_FBtr0303125	OG_3018
Dmel_FBtr0081647	OG_2954
Dmel_FBtr0307291	OG_1335
Dmel_FBtr0300342	OG_868
Dmel_FBtr0070575	OG_2293
Dmel_FBtr0089510	OG_8643
Dmel_FBtr0308195	OG_4584
Dmel_FBtr0088202	OG_1404
Dmel_FBtr0300455	OG_2589
Dmel_FBtr0301670	OG_11241
Dmel_FBtr0329945	OG_10520
Dmel_FBtr0340367	OG_11985
Dmel_FBtr0080539	OG_2755
Dmel_FBtr0336695	OG_2979
Dmel_FBtr0071386	OG_2755
Dmel_FBtr0330368	OG_2829
Dmel_FBtr0076940	OG_9924
Dmel_FBtr0071661	OG_291
Dmel_FBtr0075820	OG_62
Dmel_FBtr0082687	OG_513
Dmel_FBtr0087408	OG_9596
Dmel_FBtr0342991	OG_10463
Dmel_FBtr0290312	OG_7211
Dmel_FBtr0114487	OG_6038
Dmel_FBtr0335201	OG_3746
Dmel_FBtr0081369	OG_11298
Dmel_FBtr0075942	OG_4220
Dmel_FBtr0089195	OG_3588
Dmel_FBtr0343159	OG_10298
Dmel_FBtr0089091	OG_2985
Dmel_FBtr0113132	OG_1955
Dmel_FBtr0088246	OG_3478
Dmel_FBtr0074788	OG_2310
Dmel_FBtr0073166	OG_4096
Dmel_FBtr0332061	OG_5785
Dmel_FBtr0070103	OG_3278
Dmel_FBtr0088948	OG_3215
Dmel_FBtr0088662	OG_3342
Dmel_FBtr0072747	OG_4224
Dmel_FBtr0300716	OG_4604
Dmel_FBtr0300347	OG_11999
Dmel_FBtr0074870	OG_5737
Dmel_FBtr0082819	OG_6678
Dmel_FBtr0079564	OG_4156
Dmel_FBtr0086025	OG_10111
Dmel_FBtr0078679	OG_3278
Dmel_FBtr0082960	OG_5788
Dmel_FBtr0086590	OG_766
Dmel_FBtr0088450	OG_10434
Dmel_FBtr0073376	OG_3456
Dmel_FBtr0080702	OG_8530
Dmel_FBtr0077384	OG_6664
Dmel_FBtr0070817	OG_2229
Dmel_FBtr0345256	OG_5315
Dmel_FBtr0334549	OG_1670
Dmel_FBtr0082125	OG_279
Dmel_FBtr0088495	OG_3739
Dmel_FBtr0332936	OG_11045
Dmel_FBtr0078142	OG_7167
Dmel_FBtr0079336	OG_6750
Dmel_FBtr0300103	OG_10298
Dmel_FBtr0333914	OG_544
Dmel_FBtr0087893	OG_2772
Dmel_FBtr0089079	OG_6489
Dmel_FBtr0300906	OG_1860
Dmel_FBtr0085673	OG_11146
Dmel_FBtr0331692	OG_684
Dmel_FBtr0070688	OG_3116
Dmel_FBtr0086720	OG_4459
Dmel_FBtr0346668	OG_4998
Dmel_FBtr0087010	OG_10075
Dmel_FBtr0110834	OG_8098
Dmel_FBtr0085494	OG_9510
Dmel_FBtr0330371	OG_2685
