homology_group	ancestral_linkage_group	chromosomes_in_ALG
HG001847	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG001945	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG002193	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG002372	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG002373	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG002382	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG002386	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG002657	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG002660	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG002671	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG003075	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG003079	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG003088	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG003092	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG003478	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG003679	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG003680	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG003683	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG003684	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG004179	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG004180	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG004181	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG004188	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG004198	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG004200	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG004201	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG004558	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG004806	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG004879	ALG001	Emue:scaffold_0001 Bralan:chr5 Amil:chr10
HG001334	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG001404	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG001848	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG002170	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG002332	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG002333	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG003000	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG003007	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG003581	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG003584	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG003586	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG003588	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG003589	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG003591	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG003849	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG004115	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG004307	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG004523	ALG002	Emue:scaffold_0003 Bralan:chr3 Amil:chr12
HG001821	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG001903	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG001982	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG002127	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG002269	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG002494	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG002814	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG002815	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG002820	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG002822	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG002823	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG002826	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG003344	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG003348	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
HG003352	ALG003	Emue:scaffold_0004 Bralan:chr10 Amil:chr7
