sp1	sp2	ec_value	cluster
Hhon_g00019.t1	Nvec_v1g92099	NA	1
Hhon_g00037.t1	Nvec_v1g92099	0.0727587616817647	1
Hhon_g05229.t1	Nvec_v1g204939	0.396992263454649	2
Hhon_g05229.t1	Nvec_v1g204466	0.47104747418458	2
Hhon_g05229.t1	Nvec_v1g105783	0.116171161164787	2
Hhon_g05229.t1	Nvec_v1g201378	NA	2
Hhon_g05229.t1	Nvec_v1g31331	0.521874548412521	2
Hhon_g05229.t1	Nvec_v1g244506	0.317515564276575	2
Hhon_g05229.t1	Nvec_v1g197524	0.211761862586904	2
Hhon_g05229.t1	Nvec_v1g216511	0.28737769939657	2
Hhon_g05664.t1	Nvec_v1g204939	0.248931458836851	2
Hhon_g05664.t1	Nvec_v1g204466	0.383325599734394	2
Hhon_g05664.t1	Nvec_v1g105783	0.0615111036655371	2
Hhon_g05664.t1	Nvec_v1g200922	0.351719996739928	2
Hhon_g05664.t1	Nvec_v1g201378	NA	2
Hhon_g05664.t1	Nvec_NVE11505	0.395465859674968	2
Hhon_g05664.t1	Nvec_v1g244506	0.150407555379848	2
Hhon_g05664.t1	Nvec_v1g129319	0.053137604095358	2
Hhon_g05664.t1	Nvec_v1g99689	0.278908892167553	2
Hhon_g05664.t1	Nvec_v1g31331	0.415028326543768	2
Hhon_g05664.t1	Nvec_v1g241281	NA	2
Hhon_g05664.t1	Nvec_v1g218792	NA	2
Hhon_g05664.t1	Nvec_v1g204940	0.278677358157613	2
Hhon_g05664.t1	Nvec_v1g30901	0.365481025750726	2
Hhon_g03029.t1	Nvec_v1g216511	0.259927602666861	2
Hhon_g03029.t1	Nvec_v1g105783	0.048867175944929	2
Hhon_g03029.t1	Nvec_v1g99689	0.348688101088704	2
Hhon_g03029.t1	Nvec_v1g129319	0.0377255350862232	2
Hhon_g03029.t1	Nvec_v1g200922	0.332749315553379	2
Hhon_g03029.t1	Nvec_v1g114044	0.194107058751702	2
Hhon_g03029.t1	Nvec_v1g31331	0.339582546866321	2
Hhon_g03029.t1	Nvec_v1g204466	0.306566310568784	2
Hhon_g03029.t1	Nvec_v1g198894	0.368632656343697	2
Hhon_g10147.t1	Nvec_v1g114044	NA	2
Hhon_g10147.t1	Nvec_v1g241281	0.0761391187830918	2
Hhon_g10147.t1	Nvec_v1g31331	0.0291146484208558	2
Hhon_g10141.t1	Nvec_v1g105783	0.100012828102509	2
Hhon_g10141.t1	Nvec_v1g216511	0.109119194227282	2
Hhon_g10141.t1	Nvec_v1g229374	0.145774132718026	2
Hhon_g10141.t1	Nvec_v1g198894	0.357958663549911	2
Hhon_g10141.t1	Nvec_v1g197524	0.00140499477243722	2
Hhon_g10141.t1	Nvec_v1g88728	0.342232111886376	2
Hhon_g10141.t1	Nvec_v1g201378	0.0705286552161093	2
Hhon_g10141.t1	Nvec_v1g99689	0.174826726394041	2
Hhon_g10141.t1	Nvec_v1g200922	0.26245904531271	2
Hhon_g10141.t1	Nvec_v1g241281	NA	2
Hhon_g10141.t1	Nvec_v1g129319	0.0728083421939802	2
Hhon_g10141.t1	Nvec_v1g31331	0.425530373348668	2
Hhon_g10141.t1	Nvec_v1g60580	0.378160445993114	2
Hhon_g10141.t1	Nvec_v1g204466	0.380301816247161	2
Hhon_g08398.t1	Nvec_v1g129319	0.065598972808429	2
Hhon_g08398.t1	Nvec_v1g204939	0.161585630823532	2
Hhon_g08398.t1	Nvec_v1g204466	0.346450524609273	2
Hhon_g08398.t1	Nvec_v1g105783	0.10800191673743	2
Hhon_g08398.t1	Nvec_v1g200922	0.26795140963917	2
Hhon_g08398.t1	Nvec_NVE11505	0.415487053026775	2
Hhon_g08398.t1	Nvec_v1g201378	NA	2
Hhon_g08398.t1	Nvec_v1g244506	0.144401435669255	2
Hhon_g08398.t1	Nvec_v1g114044	0.222667091741102	2
