sp1	sp2	ec_value	cluster
TrH2_TrispH2_000009	Mlei_ML0504.g9	0.531127806494345	1
TrH2_TrispH2_005022	Mlei_ML0504.g9	NA	1
TrH2_TrispH2_000027	Mlei_ML0249.g1	0.312716794880228	2
TrH2_TrispH2_000027	Mlei_ML0427.g23	0.765221020105232	2
TrH2_TrispH2_000032	Mlei_ML1498.g4	0.856729246426337	3
TrH2_TrispH2_000032	Mlei_ML1498.g3	0.530367854760669	3
TrH2_TrispH2_006716	Mlei_ML0028.g12	NA	4
TrH2_TrispH2_000038	Mlei_ML0028.g12	NA	4
TrH2_TrispH2_009107	Mlei_ML2835.g2	NA	5
TrH2_TrispH2_000044	Mlei_ML2835.g2	-0.00409096507991288	5
TrH2_TrispH2_000053	Mlei_ML0177.g6	NA	6
TrH2_TrispH2_000053	Mlei_ML1163.g6	NA	6
TrH2_TrispH2_005675	Mlei_ML0984.g4	NA	7
TrH2_TrispH2_005675	Mlei_ML0984.g2	0.601438393145329	7
TrH2_TrispH2_005672	Mlei_ML0984.g4	NA	7
TrH2_TrispH2_005672	Mlei_ML0984.g2	NA	7
TrH2_TrispH2_000093	Mlei_ML0984.g4	NA	7
TrH2_TrispH2_000093	Mlei_ML0984.g2	0.615594028698842	7
TrH2_TrispH2_000116	Mlei_ML0106.g5	0.525715163233233	8
TrH2_TrispH2_000116	Mlei_ML0106.g1	0.281277016310922	8
TrH2_TrispH2_000139	Mlei_ML1476.g10	NA	9
TrH2_TrispH2_011633	Mlei_ML1476.g10	NA	9
TrH2_TrispH2_010751	Mlei_ML1476.g10	NA	9
TrH2_TrispH2_000141	Mlei_ML0008.g6	NA	10
TrH2_TrispH2_000141	Mlei_ML0452.g51	0.480301194537228	10
TrH2_TrispH2_000145	Mlei_ML0347.g4	0.592993314990995	11
TrH2_TrispH2_000145	Mlei_ML0177.g4	NA	11
TrH2_TrispH2_000150	Mlei_ML0052.g6	0.0427251020996458	12
TrH2_TrispH2_000150	Mlei_ML0786.g2	0.655586202903433	12
TrH2_TrispH2_000157	Mlei_ML1442.g8	NA	13
TrH2_TrispH2_000157	Mlei_ML0008.g7	0.156562888354111	13
TrH2_TrispH2_000166	Mlei_ML3061.g16	0.112296180798438	14
TrH2_TrispH2_000166	Mlei_ML1146.g6	0.476163664548967	14
TrH2_TrispH2_000166	Mlei_ML1597.g7	NA	14
TrH2_TrispH2_000186	Mlei_ML0091.g1	NA	15
TrH2_TrispH2_000185	Mlei_ML0091.g1	NA	15
TrH2_TrispH2_000190	Mlei_ML2345.g2	NA	16
TrH2_TrispH2_000190	Mlei_ML0737.g6	0.414423347031223	16
TrH2_TrispH2_000190	Mlei_ML0517.g9	0.316086012798999	16
TrH2_TrispH2_000199	Mlei_ML3463.g9	NA	17
TrH2_TrispH2_000199	Mlei_ML0464.g31	0.308011344299133	17
TrH2_TrispH2_000199	Mlei_ML0011.g18	NA	17
TrH2_TrispH2_000199	Mlei_ML1658.g10	NA	17
TrH2_TrispH2_000199	Mlei_ML0403.g3	0.297578327044202	17
TrH2_TrispH2_000199	Mlei_ML0057.g4	NA	17
TrH2_TrispH2_000200	Mlei_ML0174.g12	NA	18
TrH2_TrispH2_004844	Mlei_ML0174.g12	NA	18
TrH2_TrispH2_000211	Mlei_ML2089.g4	0.102680574765445	19
TrH2_TrispH2_000211	Mlei_ML2140.g2	0.066517666415355	19
TrH2_TrispH2_000578	Mlei_ML0852.g6	0.170659527012532	20
TrH2_TrispH2_000218	Mlei_ML0852.g6	0.631187181107169	20
TrH2_TrispH2_000221	Mlei_ML0500.g3	NA	21
TrH2_TrispH2_000221	Mlei_ML5018.g1	NA	21
TrH2_TrispH2_000226	Mlei_ML1249.g14	NA	22
TrH2_TrispH2_000226	Mlei_ML0022.g7	NA	22
TrH2_TrispH2_000242	Mlei_ML0032.g42	0.362012105601965	23
TrH2_TrispH2_000242	Mlei_ML2100.g9	0.211277707515238	23
TrH2_TrispH2_000245	Mlei_ML3689.g25	NA	24
TrH2_TrispH2_009055	Mlei_ML3689.g25	NA	24
TrH2_TrispH2_006085	Mlei_ML0273.g5	NA	25
TrH2_TrispH2_006085	Mlei_ML1148.g1	NA	25
TrH2_TrispH2_006084	Mlei_ML0273.g5	NA	25
TrH2_TrispH2_006074	Mlei_ML0398.g1	0.618936670549799	25
TrH2_TrispH2_006074	Mlei_ML0273.g5	NA	25
TrH2_TrispH2_010045	Mlei_ML0273.g5	NA	25
TrH2_TrispH2_000263	Mlei_ML0398.g1	0.200565091050745	25
TrH2_TrispH2_000263	Mlei_ML0273.g5	NA	25
TrH2_TrispH2_000263	Mlei_ML0850.g19	NA	25
TrH2_TrispH2_000263	Mlei_ML1148.g1	NA	25
TrH2_TrispH2_006086	Mlei_ML0398.g1	0.588162202617603	25
TrH2_TrispH2_006086	Mlei_ML2607.g2	0.7267162836764	25
TrH2_TrispH2_006086	Mlei_ML0273.g5	NA	25
TrH2_TrispH2_000266	Mlei_ML0490.g24	0.242620820870971	26
TrH2_TrispH2_000266	Mlei_ML3055.g20	0.0921448748011394	26
TrH2_TrispH2_000275	Mlei_ML0032.g61	NA	27
TrH2_TrispH2_000275	Mlei_ML0926.g7	NA	27
TrH2_TrispH2_000276	Mlei_ML1730.g1	0.538644491951825	28
TrH2_TrispH2_000276	Mlei_ML1730.g3	0.693320840409868	28
TrH2_TrispH2_000279	Mlei_ML0917.g9	0.752872365741021	29
TrH2_TrispH2_000820	Mlei_ML0917.g9	0.063858285695929	29
TrH2_TrispH2_003861	Mlei_ML2189.g40	NA	30
TrH2_TrispH2_000294	Mlei_ML2189.g40	NA	30
TrH2_TrispH2_000295	Mlei_ML3055.g3	0.496837354577277	31
TrH2_TrispH2_000295	Mlei_ML3055.g2	NA	31
TrH2_TrispH2_000298	Mlei_ML0441.g34	0.649541813475664	32
TrH2_TrispH2_000298	Mlei_ML0117.g39	0.865919540889801	32
TrH2_TrispH2_000318	Mlei_ML2856.g10	NA	33
TrH2_TrispH2_004816	Mlei_ML2856.g10	NA	33
TrH2_TrispH2_000333	Mlei_ML0339.g5	NA	34
TrH2_TrispH2_000333	Mlei_ML1320.g6	NA	34
TrH2_TrispH2_000349	Mlei_ML1397.g8	0.11596601254873	35
TrH2_TrispH2_000349	Mlei_ML3259.g6	NA	35
TrH2_TrispH2_010424	Mlei_ML0230.g14	0.229471070479128	36
TrH2_TrispH2_010424	Mlei_ML0573.g16	NA	36
TrH2_TrispH2_010431	Mlei_ML0230.g14	NA	36
TrH2_TrispH2_010431	Mlei_ML0573.g16	NA	36
TrH2_TrispH2_010432	Mlei_ML0230.g14	0.206952520740851	36
TrH2_TrispH2_010432	Mlei_ML0573.g16	NA	36
TrH2_TrispH2_009058	Mlei_ML0230.g14	0.0386346583146188	36
TrH2_TrispH2_009058	Mlei_ML0573.g16	NA	36
TrH2_TrispH2_010429	Mlei_ML0230.g14	NA	36
TrH2_TrispH2_010429	Mlei_ML0573.g16	NA	36
TrH2_TrispH2_000351	Mlei_ML0573.g16	NA	36
TrH2_TrispH2_010430	Mlei_ML0230.g14	NA	36
TrH2_TrispH2_010430	Mlei_ML0573.g16	NA	36
TrH2_TrispH2_010428	Mlei_ML0230.g14	NA	36
TrH2_TrispH2_010428	Mlei_ML0573.g16	NA	36
TrH2_TrispH2_009780	Mlei_ML0230.g14	NA	36
TrH2_TrispH2_009780	Mlei_ML0573.g16	0.120258260157931	36
TrH2_TrispH2_010028	Mlei_ML0573.g16	NA	36
TrH2_TrispH2_010028	Mlei_ML0230.g14	0.0998975259512613	36
TrH2_TrispH2_000824	Mlei_ML1545.g24	0.312497852865155	37
TrH2_TrispH2_000355	Mlei_ML1545.g24	0.419141071153227	37
TrH2_TrispH2_005399	Mlei_ML0280.g6	0.641908519656647	38
TrH2_TrispH2_000363	Mlei_ML0730.g9	0.152994897775307	38
TrH2_TrispH2_000363	Mlei_ML0280.g6	NA	38
TrH2_TrispH2_000363	Mlei_ML2798.g25	NA	38
TrH2_TrispH2_000376	Mlei_ML0029.g3	0.0281542332821763	39
TrH2_TrispH2_002932	Mlei_ML0029.g3	0.413294922112597	39
TrH2_TrispH2_000377	Mlei_ML0973.g5	NA	40
TrH2_TrispH2_000377	Mlei_ML0358.g2	NA	40
TrH2_TrispH2_008632	Mlei_ML0576.g4	0.472332387370854	41
TrH2_TrispH2_008632	Mlei_ML0305.g7	0.292038433017416	41
TrH2_TrispH2_008632	Mlei_ML1705.g18	NA	41
TrH2_TrispH2_000379	Mlei_ML1721.g4	0.13837834455853	41
TrH2_TrispH2_000379	Mlei_ML1721.g5	0.14602096881285	41
TrH2_TrispH2_000379	Mlei_ML1721.g3	0.22037687013045	41
TrH2_TrispH2_000379	Mlei_ML1383.g4	NA	41
TrH2_TrispH2_000379	Mlei_ML4029.g3	NA	41
TrH2_TrispH2_000379	Mlei_ML0576.g4	0.330579517660481	41
TrH2_TrispH2_000379	Mlei_ML0305.g7	0.207370107445272	41
TrH2_TrispH2_008276	Mlei_ML0305.g7	NA	41
TrH2_TrispH2_008276	Mlei_ML1721.g3	NA	41
TrH2_TrispH2_008276	Mlei_ML0576.g4	NA	41
TrH2_TrispH2_005910	Mlei_ML0305.g7	NA	41
TrH2_TrispH2_005910	Mlei_ML1721.g3	NA	41
TrH2_TrispH2_005910	Mlei_ML0576.g4	NA	41
TrH2_TrispH2_009366	Mlei_ML0576.g4	NA	41
TrH2_TrispH2_009366	Mlei_ML0305.g7	NA	41
TrH2_TrispH2_001642	Mlei_ML0576.g4	0.592586013696729	41
TrH2_TrispH2_000403	Mlei_ML0803.g1	NA	42
TrH2_TrispH2_000403	Mlei_ML0052.g11	NA	42
TrH2_TrispH2_000403	Mlei_ML0803.g4	NA	42
TrH2_TrispH2_006659	Mlei_ML0888.g15	0.191791519519227	43
TrH2_TrispH2_000404	Mlei_ML0888.g15	0.334443054163801	43
TrH2_TrispH2_000413	Mlei_ML0908.g3	NA	44
TrH2_TrispH2_000413	Mlei_ML1967.g9	0.696282909778146	44
TrH2_TrispH2_000413	Mlei_ML2188.g32	0.665940579766767	44
TrH2_TrispH2_000416	Mlei_ML0657.g22	NA	45
TrH2_TrispH2_000416	Mlei_ML0220.g5	0.716396772380907	45
TrH2_TrispH2_010779	Mlei_ML0633.g10	NA	46
TrH2_TrispH2_010779	Mlei_ML0633.g9	NA	46
TrH2_TrispH2_010779	Mlei_ML0633.g8	0.271641592175964	46
TrH2_TrispH2_010779	Mlei_ML0633.g7	NA	46
TrH2_TrispH2_010778	Mlei_ML0633.g10	NA	46
TrH2_TrispH2_010778	Mlei_ML0633.g9	NA	46
TrH2_TrispH2_010778	Mlei_ML0633.g8	0.0648001466935895	46
TrH2_TrispH2_010778	Mlei_ML0633.g7	0.0490364792006652	46
TrH2_TrispH2_006782	Mlei_ML0633.g10	NA	46
TrH2_TrispH2_006782	Mlei_ML0633.g9	NA	46
TrH2_TrispH2_006782	Mlei_ML0633.g8	0.381052789855379	46
TrH2_TrispH2_006782	Mlei_ML0633.g7	NA	46
TrH2_TrispH2_000418	Mlei_ML0633.g10	NA	46
TrH2_TrispH2_000418	Mlei_ML0633.g9	NA	46
TrH2_TrispH2_000418	Mlei_ML0633.g8	0.298222797743954	46
TrH2_TrispH2_000418	Mlei_ML0633.g7	NA	46
TrH2_TrispH2_007693	Mlei_ML0633.g10	NA	46
TrH2_TrispH2_007693	Mlei_ML0633.g9	NA	46
TrH2_TrispH2_007693	Mlei_ML0633.g8	0.390700911393947	46
TrH2_TrispH2_007693	Mlei_ML0633.g7	NA	46
TrH2_TrispH2_007692	Mlei_ML0633.g10	NA	46
TrH2_TrispH2_007692	Mlei_ML0633.g9	NA	46
TrH2_TrispH2_007692	Mlei_ML0633.g8	0.184513935851148	46
TrH2_TrispH2_007692	Mlei_ML0633.g7	NA	46
TrH2_TrispH2_000420	Mlei_ML0670.g7	0.329030509957891	47
TrH2_TrispH2_000420	Mlei_ML0728.g15	0.151215115465686	47
TrH2_TrispH2_000431	Mlei_ML3763.g2	NA	48
TrH2_TrispH2_000431	Mlei_ML4920.g1	NA	48
TrH2_TrispH2_000435	Mlei_ML1325.g20	NA	49
TrH2_TrispH2_000433	Mlei_ML1325.g20	NA	49
TrH2_TrispH2_000434	Mlei_ML1325.g20	0.105638159267887	49
TrH2_TrispH2_000473	Mlei_ML2796.g22	0.386683949840224	50
TrH2_TrispH2_000473	Mlei_ML0025.g8	0.0750396499581713	50
TrH2_TrispH2_000493	Mlei_ML0745.g5	NA	51
TrH2_TrispH2_005729	Mlei_ML0087.g1	NA	51
TrH2_TrispH2_005729	Mlei_ML0745.g5	NA	51
TrH2_TrispH2_009505	Mlei_ML0745.g5	NA	51
TrH2_TrispH2_009505	Mlei_ML0087.g1	NA	51
TrH2_TrispH2_005731	Mlei_ML0087.g1	0.320955772565274	51
TrH2_TrispH2_005731	Mlei_ML0745.g5	0.504693467215594	51
TrH2_TrispH2_000497	Mlei_ML1737.g1	0.876487013043215	52
TrH2_TrispH2_000497	Mlei_ML1439.g1	NA	52
TrH2_TrispH2_000499	Mlei_ML0732.g17	NA	53
TrH2_TrispH2_000503	Mlei_ML0732.g17	NA	53
TrH2_TrispH2_009564	Mlei_ML0872.g7	NA	54
TrH2_TrispH2_001993	Mlei_ML0872.g7	NA	54
TrH2_TrispH2_000513	Mlei_ML0872.g7	NA	54
TrH2_TrispH2_005438	Mlei_ML0872.g7	NA	54
TrH2_TrispH2_001992	Mlei_ML0872.g7	NA	54
TrH2_TrispH2_006923	Mlei_ML0872.g7	0.757323201887502	54
TrH2_TrispH2_001994	Mlei_ML0872.g7	NA	54
TrH2_TrispH2_010123	Mlei_ML1391.g1	NA	55
TrH2_TrispH2_010123	Mlei_ML1774.g4	NA	55
TrH2_TrispH2_010123	Mlei_ML1207.g29	NA	55
TrH2_TrispH2_010123	Mlei_ML3055.g5	NA	55
TrH2_TrispH2_010123	Mlei_ML0192.g38	0.237438545221795	55
TrH2_TrispH2_010123	Mlei_ML1799.g5	0.282323736475395	55
TrH2_TrispH2_010123	Mlei_ML0713.g13	NA	55
TrH2_TrispH2_010123	Mlei_ML1541.g16	NA	55
TrH2_TrispH2_008575	Mlei_ML0192.g38	NA	55
TrH2_TrispH2_008575	Mlei_ML1774.g4	NA	55
TrH2_TrispH2_000517	Mlei_ML1774.g4	0.0206065809848715	55
TrH2_TrispH2_003773	Mlei_ML3055.g5	NA	55
TrH2_TrispH2_003773	Mlei_ML0713.g13	NA	55
TrH2_TrispH2_003773	Mlei_ML1774.g4	NA	55
TrH2_TrispH2_010119	Mlei_ML1391.g1	0.0683913962469983	55
TrH2_TrispH2_010119	Mlei_ML1774.g4	NA	55
TrH2_TrispH2_010119	Mlei_ML1799.g5	NA	55
TrH2_TrispH2_010119	Mlei_ML1541.g16	NA	55
TrH2_TrispH2_010119	Mlei_ML1207.g29	NA	55
TrH2_TrispH2_010119	Mlei_ML3055.g5	NA	55
TrH2_TrispH2_010119	Mlei_ML0713.g13	NA	55
TrH2_TrispH2_010129	Mlei_ML0192.g38	0.293676332658243	55
TrH2_TrispH2_011339	Mlei_ML0192.g38	0.200624284982328	55
TrH2_TrispH2_011339	Mlei_ML1799.g5	0.172278880938055	55
TrH2_TrispH2_011339	Mlei_ML3055.g5	NA	55
TrH2_TrispH2_010125	Mlei_ML1799.g5	NA	55
TrH2_TrispH2_010125	Mlei_ML1391.g1	0.0214974743567726	55
TrH2_TrispH2_010125	Mlei_ML0192.g38	NA	55
TrH2_TrispH2_010125	Mlei_ML1774.g4	0.172867061595753	55
TrH2_TrispH2_010125	Mlei_ML3055.g5	0.408805492176976	55
TrH2_TrispH2_010125	Mlei_ML1541.g16	0.126614065818697	55
TrH2_TrispH2_011337	Mlei_ML0192.g38	NA	55
TrH2_TrispH2_011337	Mlei_ML1391.g1	NA	55
TrH2_TrispH2_011337	Mlei_ML0713.g13	0.30804218940213	55
TrH2_TrispH2_011780	Mlei_ML0192.g38	NA	55
TrH2_TrispH2_011780	Mlei_ML1774.g4	0.0833828759694777	55
TrH2_TrispH2_011780	Mlei_ML1541.g16	0.0494286521323559	55
TrH2_TrispH2_008001	Mlei_ML1391.g1	0.0594054206195498	55
TrH2_TrispH2_008001	Mlei_ML3055.g5	0.106880688523923	55
TrH2_TrispH2_008001	Mlei_ML1541.g16	0.00354287683544195	55
TrH2_TrispH2_011885	Mlei_ML1774.g4	0.0682497247238819	55
TrH2_TrispH2_011885	Mlei_ML0192.g38	NA	55
TrH2_TrispH2_011885	Mlei_ML1799.g5	NA	55
TrH2_TrispH2_011885	Mlei_ML0713.g13	0.272942288853594	55
TrH2_TrispH2_011885	Mlei_ML1541.g16	0.0591437938269062	55
TrH2_TrispH2_011333	Mlei_ML0192.g38	0.0686589889277393	55
TrH2_TrispH2_011333	Mlei_ML1391.g1	NA	55
TrH2_TrispH2_011333	Mlei_ML1541.g16	0.0485053398291708	55
TrH2_TrispH2_010126	Mlei_ML1391.g1	NA	55
TrH2_TrispH2_010126	Mlei_ML1774.g4	NA	55
TrH2_TrispH2_010126	Mlei_ML1207.g29	NA	55
TrH2_TrispH2_010126	Mlei_ML3055.g5	NA	55
TrH2_TrispH2_010126	Mlei_ML0192.g38	0.24504353175529	55
TrH2_TrispH2_010126	Mlei_ML1799.g5	NA	55
