orthogroup	genes_input	genes_output	species_input	species_output	occupancy_output	kept_orthogroup	occupancy_in_interest_clades	n_species_in_interest_clades	check_global_completeness	check_seq_length	check_taxon_wise_completeness	compositional_homogeneity_test	compositional_homogeneity_test_pass
OG_10	60	40	54	40	0.634920634920635	OG1	0.634920634920635	40	FALSE	TRUE	FALSE	0.975	TRUE
OG_10000	68	41	43	41	0.650793650793651	OG0	0.650793650793651	41	FALSE	TRUE	FALSE	0	FALSE
OG_10003	79	58	58	58	0.920634920634921	OG0	0.920634920634921	58	TRUE	TRUE	TRUE	0.403	TRUE
OG_10004	71	62	62	62	0.984126984126984	OG0	0.984126984126984	62	TRUE	TRUE	TRUE	0.108	TRUE
OG_10008	35	32	33	32	0.507936507936508	OG1	0.507936507936508	32	FALSE	TRUE	FALSE	0.251	TRUE
OG_10009	73	58	63	58	0.920634920634921	OG1	0.920634920634921	58	TRUE	TRUE	TRUE	0.179	TRUE
OG_1001	69	61	61	61	0.968253968253968	OG0	0.968253968253968	61	TRUE	TRUE	TRUE	0	FALSE
OG_10011	66	48	53	48	0.761904761904762	OG2	0.761904761904762	48	TRUE	TRUE	TRUE	0	FALSE
OG_10013	106	39	39	39	0.619047619047619	OG0	0.619047619047619	39	FALSE	TRUE	FALSE	0.402	TRUE
OG_1002	52	47	48	47	0.746031746031746	OG0	0.746031746031746	47	TRUE	TRUE	FALSE	0.01	TRUE
OG_10020	100	51	62	51	0.80952380952381	OG1	0.80952380952381	51	TRUE	TRUE	TRUE	0	FALSE
OG_10022	70	54	58	54	0.857142857142857	OG0	0.857142857142857	54	TRUE	TRUE	TRUE	0.033	TRUE
OG_10027	69	51	57	51	0.80952380952381	OG0	0.793650793650794	50	TRUE	TRUE	TRUE	0	FALSE
OG_10030	81	58	58	58	0.920634920634921	OG0	0.920634920634921	58	TRUE	TRUE	TRUE	0	FALSE
OG_1004	64	30	32	30	0.476190476190476	OG0	0.476190476190476	30	FALSE	TRUE	FALSE	0	FALSE
OG_10042	58	36	40	36	0.571428571428571	OG1	0.571428571428571	36	FALSE	TRUE	FALSE	0	FALSE
OG_10045	85	43	49	43	0.682539682539683	OG2	0.682539682539683	43	FALSE	TRUE	FALSE	0.169	TRUE
OG_1005	81	53	55	53	0.841269841269841	OG0	0.825396825396825	52	TRUE	TRUE	TRUE	0.014	TRUE
OG_1006	55	47	47	47	0.746031746031746	OG0	0.746031746031746	47	TRUE	TRUE	FALSE	0	FALSE
OG_10067	67	29	32	29	0.46031746031746	OG0	0.46031746031746	29	FALSE	TRUE	FALSE	0.007	FALSE
OG_1007	64	53	56	53	0.841269841269841	OG0	0.841269841269841	53	TRUE	TRUE	TRUE	0.061	TRUE
OG_10072	93	31	58	31	0.492063492063492	OG2	0.492063492063492	31	FALSE	TRUE	FALSE	0.001	FALSE
OG_1008	49	49	49	49	0.777777777777778	OG0	0.777777777777778	49	TRUE	TRUE	TRUE	0.749	TRUE
