gene	transcript	orthogroup	species	gene_module
TrH2_TrispH2_008999	TrH2_TrispH2_008999-RA	OG_7564	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_002714	TrH2_TrispH2_002714-RA	OG_9867	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_001822	TrH2_TrispH2_001822-RA	OG_7583	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_001057	TrH2_TrispH2_001057-RA	OG_813	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_002083	TrH2_TrispH2_002083-RA	OG_8734	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_006924	TrH2_TrispH2_006924-RA	OG_7390	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_003294	TrH2_TrispH2_003294-RA	OG_1298	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_001248	TrH2_TrispH2_001248-RA	OG_8127	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_001491	TrH2_TrispH2_001491-RA	OG_86	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_000584	TrH2_TrispH2_000584-RA	OG_8447	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_004951	TrH2_TrispH2_004951-RA	OG_4505	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_007358	TrH2_TrispH2_007358-RA	OG_7938	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_004095	TrH2_TrispH2_004095-RA	OG_4321	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_005394	TrH2_TrispH2_005394-RA	OG_8811	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_008223	TrH2_TrispH2_008223-RA	OG_7598	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_000565	TrH2_TrispH2_000565-RA	OG_8461	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_006568	TrH2_TrispH2_006568-RA	OG_10674	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_010484	TrH2_TrispH2_010484-RA	OG_6836	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_005862	TrH2_TrispH2_005862-RA	OG_4176	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_008010	TrH2_TrispH2_008010-RA	OG_9403	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_002925	TrH2_TrispH2_002925-RA	OG_3302	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_006226	TrH2_TrispH2_006226-RA	OG_9504	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_009740	TrH2_TrispH2_009740-RA	OG_5559	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_001293	TrH2_TrispH2_001293-RA	OG_10153	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_008214	TrH2_TrispH2_008214-RA	OG_4812	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_009133	TrH2_TrispH2_009133-RA	OG_3185	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_006301	TrH2_TrispH2_006301-RA	OG_1400	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_007170	TrH2_TrispH2_007170-RA	OG_7224	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_011192	TrH2_TrispH2_011192-RA	OG_5754	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_006369	TrH2_TrispH2_006369-RA	OG_10256	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_010904	TrH2_TrispH2_010904-RA	OG_4892	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_002705	TrH2_TrispH2_002705-RA	OG_3695	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_001541	TrH2_TrispH2_001541-RA	OG_696	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_008668	TrH2_TrispH2_008668-RA	OG_3012	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_011780	TrH2_TrispH2_011780-RA	OG_7989	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_001705	TrH2_TrispH2_001705-RA	OG_10346	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_006784	TrH2_TrispH2_006784-RA	OG_5719	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_006809	TrH2_TrispH2_006809-RA	OG_7691	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_010137	TrH2_TrispH2_010137-RA	OG_7001	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_005321	TrH2_TrispH2_005321-RA	OG_4462	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_011408	TrH2_TrispH2_011408-RA	OG_8767	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_002533	TrH2_TrispH2_002533-RA	OG_3568	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_003378	TrH2_TrispH2_003378-RA	OG_2028	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_006930	TrH2_TrispH2_006930-RA	OG_4818	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_004289	TrH2_TrispH2_004289-RA	OG_10615	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_009058	TrH2_TrispH2_009058-RA	OG_4698	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_002213	TrH2_TrispH2_002213-RA	OG_2728	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_001074	TrH2_TrispH2_001074-RA	OG_6339	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_006333	TrH2_TrispH2_006333-RA	OG_8920	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_001794	TrH2_TrispH2_001794-RA	OG_560	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_007553	TrH2_TrispH2_007553-RA	OG_8485	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_007050	TrH2_TrispH2_007050-RA	OG_4242	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_004221	TrH2_TrispH2_004221-RA	OG_9854	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_006364	TrH2_TrispH2_006364-RA	OG_10259	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_002503	TrH2_TrispH2_002503-RA	OG_5545	TrH2	TrH2.darkseagreen4
TrH2_TrispH2_009454	TrH2_TrispH2_009454-RA	OG_9135	TrH2	TrH2.darkseagreen4
Hhon_g02578.t1	Hhon_g02578.t1	OG_696	Hhon	Hhon.navajowhite2
Hhon_g09436.t1	Hhon_g09436.t1	OG_5478	Hhon	Hhon.navajowhite2
Hhon_g01145.t1	Hhon_g01145.t1	OG_9149	Hhon	Hhon.navajowhite2
Hhon_g02686.t1	Hhon_g02686.t1	OG_742	Hhon	Hhon.navajowhite2
Hhon_g00083.t1	Hhon_g00083.t1	OG_7847	Hhon	Hhon.navajowhite2
Hhon_g10144.t1	Hhon_g10144.t1	OG_4956	Hhon	Hhon.navajowhite2
Hhon_g02635.t1	Hhon_g02635.t1	OG_6921	Hhon	Hhon.navajowhite2
Hhon_g10815.t1	Hhon_g10815.t1	OG_8151	Hhon	Hhon.navajowhite2
Hhon_g08979.t1	Hhon_g08979.t1	OG_4925	Hhon	Hhon.navajowhite2
Hhon_g09034.t1	Hhon_g09034.t1	OG_7938	Hhon	Hhon.navajowhite2
Hhon_g05086.t1	Hhon_g05086.t1	OG_8872	Hhon	Hhon.navajowhite2
Hhon_g09259.t1	Hhon_g09259.t1	OG_8734	Hhon	Hhon.navajowhite2
Hhon_g05397.t1	Hhon_g05397.t1	OG_7564	Hhon	Hhon.navajowhite2
Hhon_g01631.t1	Hhon_g01631.t1	OG_7598	Hhon	Hhon.navajowhite2
Hhon_g07706.t1	Hhon_g07706.t1	OG_3937	Hhon	Hhon.navajowhite2
Hhon_g00484.t1	Hhon_g00484.t1	OG_9867	Hhon	Hhon.navajowhite2
Hhon_g10367.t1	Hhon_g10367.t1	OG_8884	Hhon	Hhon.navajowhite2
Hhon_g00124.t1	Hhon_g00124.t1	OG_8461	Hhon	Hhon.navajowhite2
Hhon_g05396.t1	Hhon_g05396.t1	OG_7565	Hhon	Hhon.navajowhite2
Hhon_g10767.t1	Hhon_g10767.t1	OG_9544	Hhon	Hhon.navajowhite2
Hhon_g04940.t1	Hhon_g04940.t1	OG_1400	Hhon	Hhon.navajowhite2
Hhon_g05345.t1	Hhon_g05345.t1	OG_9264	Hhon	Hhon.navajowhite2
Hhon_g10653.t1	Hhon_g10653.t1	OG_7583	Hhon	Hhon.navajowhite2
Hhon_g02089.t1	Hhon_g02089.t1	OG_7693	Hhon	Hhon.navajowhite2
Hhon_g01392.t1	Hhon_g01392.t1	OG_4321	Hhon	Hhon.navajowhite2
Hhon_g09101.t1	Hhon_g09101.t1	OG_813	Hhon	Hhon.navajowhite2
Hhon_g08657.t1	Hhon_g08657.t1	OG_3565	Hhon	Hhon.navajowhite2
Hhon_g00813.t1	Hhon_g00813.t1	OG_225	Hhon	Hhon.navajowhite2
Hhon_g05918.t1	Hhon_g05918.t1	OG_10153	Hhon	Hhon.navajowhite2
Hhon_g08982.t1	Hhon_g08982.t1	OG_4928	Hhon	Hhon.navajowhite2
Hhon_g00902.t1	Hhon_g00902.t1	OG_3824	Hhon	Hhon.navajowhite2
Hhon_g00441.t1	Hhon_g00441.t1	OG_5597	Hhon	Hhon.navajowhite2
Hhon_g02222.t1	Hhon_g02222.t1	OG_10674	Hhon	Hhon.navajowhite2
Hhon_g10581.t1	Hhon_g10581.t1	OG_9035	Hhon	Hhon.navajowhite2
Hhon_g05391.t1	Hhon_g05391.t1	OG_3569	Hhon	Hhon.navajowhite2
Hhon_g05545.t1	Hhon_g05545.t1	OG_1541	Hhon	Hhon.navajowhite2
Hhon_g00262.t1	Hhon_g00262.t1	OG_86	Hhon	Hhon.navajowhite2
Hhon_g05549.t1	Hhon_g05549.t1	OG_3225	Hhon	Hhon.navajowhite2
Hhon_g03511.t1	Hhon_g03511.t1	OG_5250	Hhon	Hhon.navajowhite2
Hhon_g01927.t1	Hhon_g01927.t1	OG_3185	Hhon	Hhon.navajowhite2
Hhon_g05687.t1	Hhon_g05687.t1	OG_5509	Hhon	Hhon.navajowhite2
Hhon_g02960.t1	Hhon_g02960.t1	OG_4663	Hhon	Hhon.navajowhite2
Hhon_g06278.t1	Hhon_g06278.t1	OG_6364	Hhon	Hhon.navajowhite2
Hhon_g04648.t1	Hhon_g04648.t1	OG_1298	Hhon	Hhon.navajowhite2
Hhon_g05121.t1	Hhon_g05121.t1	OG_1455	Hhon	Hhon.navajowhite2
Hhon_g08057.t1	Hhon_g08057.t1	OG_7967	Hhon	Hhon.navajowhite2
Hhon_g05642.t1	Hhon_g05642.t1	OG_10861	Hhon	Hhon.navajowhite2
Hhon_g10110.t1	Hhon_g10110.t1	OG_7583	Hhon	Hhon.navajowhite2
Hhon_g10072.t1	Hhon_g10072.t1	OG_2651	Hhon	Hhon.navajowhite2
Hhon_g10529.t1	Hhon_g10529.t1	OG_4701	Hhon	Hhon.navajowhite2
Hhon_g05225.t1	Hhon_g05225.t1	OG_5820	Hhon	Hhon.navajowhite2
Hhon_g06588.t1	Hhon_g06588.t1	OG_3225	Hhon	Hhon.navajowhite2
Hhon_g10555.t1	Hhon_g10555.t1	OG_5112	Hhon	Hhon.navajowhite2
Hhon_g06730.t1	Hhon_g06730.t1	OG_1857	Hhon	Hhon.navajowhite2
Hhon_g02941.t1	Hhon_g02941.t1	OG_814	Hhon	Hhon.navajowhite2
Hhon_g11585.t1	Hhon_g11585.t1	OG_8783	Hhon	Hhon.navajowhite2
Hhon_g05461.t1	Hhon_g05461.t1	OG_8178	Hhon	Hhon.navajowhite2
Hhon_g06187.t1	Hhon_g06187.t1	OG_10226	Hhon	Hhon.navajowhite2
Hhon_g07202.t1	Hhon_g07202.t1	OG_8516	Hhon	Hhon.navajowhite2
Hhon_g10071.t1	Hhon_g10071.t1	OG_2651	Hhon	Hhon.navajowhite2
Hhon_g07920.t1	Hhon_g07920.t1	OG_2964	Hhon	Hhon.navajowhite2
Hhon_g08473.t1	Hhon_g08473.t1	OG_2314	Hhon	Hhon.navajowhite2
Hhon_g09568.t1	Hhon_g09568.t1	OG_8127	Hhon	Hhon.navajowhite2
Hhon_g00352.t1	Hhon_g00352.t1	OG_114	Hhon	Hhon.navajowhite2
Hhon_g00084.t1	Hhon_g00084.t1	OG_7848	Hhon	Hhon.navajowhite2
Hhon_g05641.t1	Hhon_g05641.t1	OG_8036	Hhon	Hhon.navajowhite2
Hhon_g07897.t1	Hhon_g07897.t1	OG_5323	Hhon	Hhon.navajowhite2
Hhon_g00992.t1	Hhon_g00992.t1	OG_2975	Hhon	Hhon.navajowhite2
Hhon_g11605.t1	Hhon_g11605.t1	OG_5175	Hhon	Hhon.navajowhite2
Hhon_g07873.t1	Hhon_g07873.t1	OG_5127	Hhon	Hhon.navajowhite2
Hhon_g01035.t1	Hhon_g01035.t1	OG_7458	Hhon	Hhon.navajowhite2
Hhon_g01626.t1	Hhon_g01626.t1	OG_4812	Hhon	Hhon.navajowhite2
Hhon_g05329.t1	Hhon_g05329.t1	OG_6988	Hhon	Hhon.navajowhite2
Hhon_g03033.t1	Hhon_g03033.t1	OG_5443	Hhon	Hhon.navajowhite2
Hhon_g10590.t1	Hhon_g10590.t1	OG_9040	Hhon	Hhon.navajowhite2
Hhon_g00670.t1	Hhon_g00670.t1	OG_9403	Hhon	Hhon.navajowhite2
Hhon_g10541.t1	Hhon_g10541.t1	OG_8718	Hhon	Hhon.navajowhite2
Hhon_g10530.t1	Hhon_g10530.t1	OG_4701	Hhon	Hhon.navajowhite2
Hhon_g06884.t1	Hhon_g06884.t1	OG_9742	Hhon	Hhon.navajowhite2
Hhon_g07573.t1	Hhon_g07573.t1	OG_4176	Hhon	Hhon.navajowhite2
Hhon_g01014.t1	Hhon_g01014.t1	OG_5909	Hhon	Hhon.navajowhite2
Hhon_g02543.t1	Hhon_g02543.t1	OG_8044	Hhon	Hhon.navajowhite2
Hhon_g04281.t1	Hhon_g04281.t1	OG_4220	Hhon	Hhon.navajowhite2
Hhon_g07265.t1	Hhon_g07265.t1	OG_7500	Hhon	Hhon.navajowhite2
Hhon_g01242.t1	Hhon_g01242.t1	OG_6016	Hhon	Hhon.navajowhite2
Hhon_g06251.t1	Hhon_g06251.t1	OG_1735	Hhon	Hhon.navajowhite2
Hhon_g09115.t1	Hhon_g09115.t1	OG_6339	Hhon	Hhon.navajowhite2
Hhon_g03707.t1	Hhon_g03707.t1	OG_7036	Hhon	Hhon.navajowhite2
Hhon_g11719.t1	Hhon_g11719.t1	OG_7825	Hhon	Hhon.navajowhite2
Hhon_g05769.t1	Hhon_g05769.t1	OG_5976	Hhon	Hhon.navajowhite2
Hhon_g11502.t1	Hhon_g11502.t1	OG_3302	Hhon	Hhon.navajowhite2
Hhon_g06764.t1	Hhon_g06764.t1	OG_5865	Hhon	Hhon.navajowhite2
Hhon_g03555.t1	Hhon_g03555.t1	OG_5047	Hhon	Hhon.navajowhite2
Hhon_g07572.t1	Hhon_g07572.t1	OG_3565	Hhon	Hhon.navajowhite2
Hhon_g07397.t1	Hhon_g07397.t1	OG_9419	Hhon	Hhon.navajowhite2
Hhon_g01146.t1	Hhon_g01146.t1	OG_4634	Hhon	Hhon.navajowhite2
Hhon_g03512.t1	Hhon_g03512.t1	OG_953	Hhon	Hhon.navajowhite2
Hhon_g06541.t1	Hhon_g06541.t1	OG_5753	Hhon	Hhon.navajowhite2
HoiH23_PlH23_006577	HoiH23_PlH23_006577-RA	OG_9867	HoiH23	HoiH23.bisque4
HoiH23_PlH23_000317	HoiH23_PlH23_000317-RA	OG_7583	HoiH23	HoiH23.bisque4
HoiH23_PlH23_001491	HoiH23_PlH23_001491-RA	OG_3185	HoiH23	HoiH23.bisque4
HoiH23_PlH23_005012	HoiH23_PlH23_005012-RA	OG_1400	HoiH23	HoiH23.bisque4
HoiH23_PlH23_006587	HoiH23_PlH23_006587-RA	OG_3695	HoiH23	HoiH23.bisque4
