gene_module	gene	membership_score	gene_name	pfam	ct_top	orthogroup	is_transcription_factor
HoiH23.bisque4	HoiH23_PlH23_003470	0.927			lipophil	OG_4434	FALSE
HoiH23.bisque4	HoiH23_PlH23_003734	0.725	WW_domain_binding_protein_2		lipophil	OG_114	FALSE
HoiH23.bisque4	HoiH23_PlH23_002455	0.895	cytochrome_b561	Cytochrom_B561/	lipophil	OG_5478	FALSE
HoiH23.bisque4	HoiH23_PlH23_002827	0.895	FAT_atypical_cadherin_1	Cadherin/Cadherin/	lipophil	OG_8447	FALSE
HoiH23.bisque4	HoiH23_PlH23_004214	0.894	ring_finger_protein_220	RNF220/zf-C3HC4_2/	lipophil	OG_2651	FALSE
HoiH23.bisque4	HoiH23_PlH23_006406	0.892	beta_secretase_1	Asp/Asp/	lipophil	OG_3794	FALSE
HoiH23.bisque4	HoiH23_PlH23_000288	0.924	EH_domain_containing_3	EHD_N/Dynamin_N/DUF5600/EF-hand_4/	lipophil	OG_7564	FALSE
HoiH23.bisque4	HoiH23_PlH23_008215	0.924	vesicle_associated_membrane_protein_7	Longin/Synaptobrevin/	lipophil	OG_6611	FALSE
HoiH23.bisque4	HoiH23_PlH23_000062	0.922	BRO1_domain_and_CAAX_motif_containing	BRO1/	lipophil	OG_1030	FALSE
HoiH23.bisque4	HoiH23_PlH23_010981	0.918			lipophil	OG_2728	FALSE
HoiH23.bisque4	HoiH23_PlH23_006916	0.917	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/	lipophil	OG_4242	FALSE
HoiH23.bisque4	HoiH23_PlH23_001672	0.916	15_hydroxyprostaglandin_dehydrogenase	adh_short/	lipophil	OG_5648	FALSE
HoiH23.bisque4	HoiH23_PlH23_009413	0.902	HLH.HG2.53:BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3	HLH/	lipophil	OG_3824	TRUE
HoiH23.bisque4	HoiH23_PlH23_005429	0.899	tetraspanin_11	Tetraspanin/	lipophil	OG_9987	FALSE
HoiH23.bisque4	HoiH23_PlH23_010729	0.895			lipophil	OG_814	FALSE
HoiH23.bisque4	HoiH23_PlH23_007667	0.866	lipopolysaccharide_induced_TNF_factor	zf-LITAF-like/	lipophil	OG_7938	FALSE
HoiH23.bisque4	HoiH23_PlH23_003113	0.851	myosin_IXB	RhoGAP/	lipophil	OG_4694	FALSE
HoiH23.bisque4	HoiH23_PlH23_007881	0.85	FAT_atypical_cadherin_1	Laminin_G_3/Cadherin/Recep_L_domain/	lipophil	OG_8178	FALSE
HoiH23.bisque4	HoiH23_PlH23_009880	0.848	family_with_sequence_similarity_78_member_A		lipophil	OG_174	FALSE
HoiH23.bisque4	HoiH23_PlH23_007525	0.848	transmembrane_and_coiled_coil_domains_4	DUF726/	lipophil	OG_5453	FALSE
HoiH23.bisque4	HoiH23_PlH23_000612	0.846	syntaxin_1B	Syntaxin/SNARE/	lipophil	OG_6900	FALSE
HoiH23.bisque4	HoiH23_PlH23_002593	0.846	transmembrane_protein_243	DUF2678/	lipophil	OG_565	FALSE
HoiH23.bisque4	HoiH23_PlH23_005881	0.846			lipophil	OG_225	FALSE
HoiH23.bisque4	HoiH23_PlH23_009291	0.846	sorting_nexin_25	PXA/RGS/PX/Nexin_C/	lipophil	OG_4176	FALSE
HoiH23.bisque4	HoiH23_PlH23_004803	0.843	aldehyde_dehydrogenase_2_family_member	Aldedh/	lipophil	OG_6431	FALSE
HoiH23.bisque4	HoiH23_PlH23_011402	0.843			lipophil	OG_1527	FALSE
HoiH23.bisque4	HoiH23_PlH23_007795	0.841	ubiquilin_1	ubiquitin/UBA/	lipophil	OG_8127	FALSE
HoiH23.bisque4	HoiH23_PlH23_001809	0.837	solute_carrier_family_45_member_2	MFS_1/	lipophil	OG_5597	FALSE
HoiH23.bisque4	HoiH23_PlH23_008268	0.833	cubilin	CUB/	lipophil	OG_8495	FALSE
HoiH23.bisque4	HoiH23_PlH23_009233	0.83	growth_arrest_specific_2	CH/GAS2/	lipophil	OG_9500	FALSE
HoiH23.bisque4	HoiH23_PlH23_000819	0.828	ankyrin_repeat_domain_13C	Ank_2/Ank/Ank/Ank_2/Ank_5/Ank_2/Death/	lipophil	OG_3012	FALSE
HoiH23.bisque4	HoiH23_PlH23_011578	0.825	flavin_containing_dimethylaniline_monoxygenase_5	FMO-like/	lipophil	OG_8258	FALSE
HoiH23.bisque4	HoiH23_PlH23_005184	0.823	leucine_rich_repeat_containing_7	LRR_8/LRR_8/LRR_5/LRR_5/LRR_8/	lipophil	OG_10861	FALSE
HoiH23.bisque4	HoiH23_PlH23_007096	0.817	UDP_GlcNAc_betaGal_beta_1_3_N_acetylglucosaminyltransferase_5	Galactosyl_T/	lipophil	OG_4663	FALSE
HoiH23.bisque4	HoiH23_PlH23_008562	0.816	nipsnap_homolog_2	NIPSNAP/NIPSNAP/	lipophil	OG_3398	FALSE
HoiH23.bisque4	HoiH23_PlH23_008012	0.81	sperm_associated_antigen_9	WD40_2/	lipophil	OG_6339	FALSE
HoiH23.bisque4	HoiH23_PlH23_000069	0.805	plexin_domain_containing_2	Lectin_C/	lipophil	OG_3665	FALSE
HoiH23.bisque4	HoiH23_PlH23_007065	0.787	cytochrome_P450_family_24_subfamily_A_member_1	p450/	lipophil	OG_4994	FALSE
HoiH23.bisque4	HoiH23_PlH23_009412	0.787	HLH.HG2.53:BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3	HLH/	lipophil	OG_6836	TRUE
HoiH23.bisque4	HoiH23_PlH23_005273	0.783	acid_sensing_ion_channel_subunit_1	ASC/	lipophil	OG_5719	FALSE
HoiH23.bisque4	HoiH23_PlH23_009395	0.776	RAP2B_member_of_RAS_oncogene_family	Ras/	lipophil	OG_6877	FALSE
HoiH23.bisque4	HoiH23_PlH23_006448	0.772	cytochrome_P450_family_4_subfamily_X_member_1	p450/	lipophil	OG_5322	FALSE
HoiH23.bisque4	HoiH23_PlH23_000013	0.772		TIR_2/SAM_2/	lipophil	OG_6016	FALSE
HoiH23.bisque4	HoiH23_PlH23_011031	0.89	vesicle_amine_transport_1	ADH_N/ADH_zinc_N_2/	lipophil	OG_7390	FALSE
HoiH23.bisque4	HoiH23_PlH23_006061	0.888	acid_phosphatase_2_lysosomal	His_Phos_2/	lipophil	OG_5223	FALSE
HoiH23.bisque4	HoiH23_PlH23_005722	0.887	ataxin_1_like	AXH/	lipophil	OG_3812	FALSE
HoiH23.bisque4	HoiH23_PlH23_002847	0.887	RAB10_member_RAS_oncogene_family	Ras/	lipophil	OG_8461	FALSE
HoiH23.bisque4	HoiH23_PlH23_006991	0.884	thymosin_beta_10	Thymosin/Thymosin/	lipophil	OG_5067	FALSE
HoiH23.bisque4	HoiH23_PlH23_000295	0.877	relaxin_family_peptide_receptor_1	LRR_8/LRR_5/LRR_8/LRR_5/LRR_8/LRR_8/LRR_8/LRR_8/7tm_1/	lipophil	OG_3569	FALSE
