sp1	sp2	ec_value	cluster
TrH2_hyp_clust5004	CG5355	0.291714173073667	1
TrH2_hyp_clust5004	CG2528	0.207050834659636	1
TrH2_TrispH2_000004	red	0.125667119601099	2
TrH2_TrispH2_000004	CG15471	0.42145395029205	2
TrH2_TrispH2_000006	Apc	0.287400559176358	3
TrH2_TrispH2_000006	Apc2	NA	3
TrH2_TrispH2_000011	CG33474	0.40884367082147	4
TrH2_TrispH2_000011	CG13827	0.350208092629231	4
TrH2_TrispH2_000025	CG16824	0.300013094825906	5
TrH2_TrispH2_000025	CG13364	0.511383157357232	5
TrH2_TrispH2_006716	CG11333	0.157436647443379	6
TrH2_TrispH2_006716	CG3663	0.464400207533034	6
TrH2_TrispH2_000038	CG11333	0.382357428139258	6
TrH2_TrispH2_000038	CG3663	0.507195528434738	6
TrH2_TrispH2_000050	Mpcp1	0.352666260286865	7
TrH2_TrispH2_000050	Mpcp2	0.633271050636591	7
TrH2_TrispH2_000075	nac	0.212774679951921	8
TrH2_TrispH2_007384	nac	0.184390293708572	8
TrH2_TrispH2_005675	Stat92E	0.226395528365357	9
TrH2_TrispH2_005672	Stat92E	NA	9
TrH2_TrispH2_000093	Stat92E	0.221109825237703	9
TrH2_TrispH2_000111	Bgb	NA	10
TrH2_TrispH2_000111	Bro	NA	10
TrH2_TrispH2_000123	CG1503	0.211006542460425	11
TrH2_TrispH2_000123	Den1	0.294227952300187	11
TrH2_TrispH2_001781	CG13978	0.337380392902115	12
TrH2_TrispH2_001781	CG5342	0.364009805380175	12
TrH2_TrispH2_001781	CG6790	0.347229765534244	12
TrH2_TrispH2_001781	PIG-N	0.53461041613236	12
TrH2_TrispH2_001781	CG4907	0.352661328853882	12
TrH2_TrispH2_000136	CG13978	NA	12
TrH2_TrispH2_000136	CG5342	NA	12
TrH2_TrispH2_000136	CG6790	NA	12
TrH2_TrispH2_000136	PIG-N	0.1682656679944	12
TrH2_TrispH2_000136	CG4907	NA	12
TrH2_TrispH2_000137	e(y)2	0.48464163944668	13
TrH2_TrispH2_000137	e(y)2b	0.518554713238918	13
TrH2_TrispH2_000139	Desat1	NA	14
TrH2_TrispH2_000139	Desat2	NA	14
TrH2_TrispH2_000139	Fad2	NA	14
TrH2_TrispH2_000139	CG8630	-0.00200513992320273	14
TrH2_TrispH2_000139	CG9747	NA	14
TrH2_TrispH2_000139	CG9743	NA	14
TrH2_TrispH2_011633	Desat1	0.118714537141775	14
TrH2_TrispH2_011633	Desat2	0.146826480908247	14
TrH2_TrispH2_011633	Fad2	0.135887207511027	14
TrH2_TrispH2_011633	CG8630	NA	14
TrH2_TrispH2_011633	CG9747	0.163855313170862	14
TrH2_TrispH2_011633	CG9743	0.240356443411035	14
