orthogroup	orthogroup_name	pres_expression	gain_expression	loss_expression	num_expressed	pres_conserved	gain_conserved	loss_conserved	is_tfs	is_neu	is_ion	is_sig	is_siggpcr	is_flag	genes_in_og_Tadh	genes_in_og_TrH2	genes_in_og_Hhon	genes_in_og_HoiH23	genes_in_og_and_community_Tadh	genes_in_og_and_community_TrH2	genes_in_og_and_community_Hhon	genes_in_og_and_community_HoiH23	ogs_tfs	ogs_neu	ogs_ion	ogs_sig	ogs_siggpcr	ogs_flag	pfam_architectures
OG_6981	Homeodomains.HG2.63:ARX	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT9389	TrH2_TrispH2_001732-RA	Hhon_g05245.t1	HoiH23_PlH23_010820-RA		TrH2_TrispH2_001732-RA	Hhon_g05245.t1	HoiH23_PlH23_010820-RA	Homeodomains.HG2.63:ARX	NA	NA	NA	NA	NA	Homeodomain/
OG_8591	Homeodomains.Unclassified	HoiH23,TrH2	Placozoa	Hhon,Tadh	2	HoiH23,TrH2	Placozoa	Hhon,Tadh	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_009338-RA		HoiH23_PlH23_006561-RA		TrH2_TrispH2_009338-RA		HoiH23_PlH23_006561-RA	Homeodomains.Unclassified	NA	NA	NA	NA	NA	LIM/LIM/Homeodomain/
OG_10324	Myb.HG1.4:MYSM1,Myb_like_SWIRM_and_MPN_domains_1	Hhon	Hhon		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT27365	TrH2_TrispH2_001391-RA	Hhon_g10138.t1	HoiH23_PlH23_001528-RA			Hhon_g10138.t1		Myb.HG1.4:MYSM1	NA	NA	NA	NA	NA	JAB/,Myb_DNA-binding/SWIRM/JAB/
OG_3186	Doublesex_DM.HG1.15:like:DMRTA1/DMRTA2	HoiH23	HoiH23		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT58834,Tadh_TriadT9565	TrH2_TrispH2_010792-RA	Hhon_g10838.t1	HoiH23_PlH23_009668-RA,HoiH23_PlH23_009669-RA					Doublesex_DM.HG1.15:like:DMRTA1/DMRTA2	NA	NA	NA	NA	NA	DM/
OG_3606	LAG1_CSL.HG1.0:RBPJ/RBPJL	TrH2	TrH2		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	Tadh_TriadT49676,Tadh_TriadT51997	TrH2_TrispH2_009810-RA	Hhon_g05183.t1	HoiH23_PlH23_001259-RA		TrH2_TrispH2_009810-RA			LAG1_CSL.HG1.0:RBPJ/RBPJL	NA	NA	LAG1-DNAbind.HG1.0:RBPJ/RBPJL	NA	NA	LAG1-DNAbind/BTD/
OG_4640	Homeodomains.HG1.39:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8	TrH2	TrH2		1	HoiH23,Tadh,TrH2	Placozoa	Hhon	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT9531	TrH2_TrispH2_003384-RA		HoiH23_PlH23_010044-RA		TrH2_TrispH2_003384-RA			Homeodomains.HG1.39:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8	NA	NA	NA	NA	NA	Homeodomain/
OG_5274	HMGbox_Sox.HG1.23:AC105001.2/SOX4/SOX7/SOX8/SOX9/SOX10/SOX11/SOX12/SOX17/SOX18	HoiH23	HoiH23		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT21755	TrH2_TrispH2_011376-RA	Hhon_g07787.t1	HoiH23_PlH23_010696-RA				HoiH23_PlH23_010696-RA	HMGbox_Sox.HG1.23:AC105001.2/SOX4/SOX7/SOX8/SOX9/SOX10/SOX11/SOX12/SOX17/SOX18	NA	NA	NA	NA	NA	HMG_box/,Sox_N/HMG_box/
OG_737	bZIP.HG2.5:XBP1	TrH2	TrH2		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT64159	TrH2_TrispH2_005934-RA	Hhon_g02674.t1	HoiH23_PlH23_000692-RA		TrH2_TrispH2_005934-RA			bZIP.HG2.5:XBP1	NA	NA	NA	NA	NA	bZIP_1/
OG_10097	Wnt_family_member_2,Wnt_family_member_7A	Hhon,HoiH23,Tadh,TrH2	Placozoa		4	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Tadh_TriadT30370	TrH2_TrispH2_010556-RA	Hhon_g09670.t1	HoiH23_PlH23_006076-RA	Tadh_TriadT30370	TrH2_TrispH2_010556-RA	Hhon_g09670.t1	HoiH23_PlH23_006076-RA	NA	NA	NA	wnt.HG1.9:like:WNT16	NA	NA	wnt/
OG_3319	Wnt_family_member_8A,Wnt_family_member_2,Wnt_family_member_8B	Hhon,HoiH23,Tadh,TrH2	Placozoa		4	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Tadh_TriadT52489	TrH2_TrispH2_000144-RA	Hhon_g06184.t1	HoiH23_PlH23_001871-RA	Tadh_TriadT52489	TrH2_TrispH2_000144-RA	Hhon_g06184.t1	HoiH23_PlH23_001871-RA	NA	NA	NA	wnt.HG1.9:like:WNT16	NA	NA	wnt/
OG_7146	opsin_3,adrenoceptor_alpha_1B,G_protein_coupled_receptor_50,5_hydroxytryptamine_receptor_4	Hhon,HoiH23,Tadh,TrH2	Placozoa		4	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	Tadh_TriadT4346	TrH2_TrispH2_009546-RA	Hhon_g03120.t1	HoiH23_PlH23_007547-RA	Tadh_TriadT4346	TrH2_TrispH2_009546-RA	Hhon_g03120.t1	HoiH23_PlH23_007547-RA	NA	NA	NA	GPCRrhod.HG41.3:NA	GPCRrhod.HG41.3:NA	NA	7tm_1/
OG_8473	nidogen_1	Hhon,HoiH23,Tadh,TrH2	Placozoa		4	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT62270	TrH2_TrispH2_007469-RA	Hhon_g04219.t1	HoiH23_PlH23_003992-RA	Tadh_TriadT62270	TrH2_TrispH2_007469-RA	Hhon_g04219.t1	HoiH23_PlH23_003992-RA	NA	NA	NA	NA	NA	NA	EGF_CA/
OG_4039		Hhon,HoiH23,Tadh,TrH2	Placozoa		4	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_wf_g10367.t1	TrH2_TrispH2_008647-RA,TrH2_TrispH2_008648-RA	Hhon_g08955.t1	HoiH23_PlH23_005807-RA	Tadh_wf_g10367.t1		Hhon_g08955.t1	HoiH23_PlH23_005807-RA	NA	NA	NA	NA	NA	NA	
OG_5408		Hhon,HoiH23,Tadh,TrH2	Placozoa		4	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT62489	TrH2_TrispH2_008513-RA	Hhon_g04182.t1	HoiH23_PlH23_010476-RA	Tadh_TriadT62489	TrH2_TrispH2_008513-RA	Hhon_g04182.t1	HoiH23_PlH23_010476-RA	NA	NA	NA	NA	NA	NA	
OG_2734	protein_kinase_C_and_casein_kinase_substrate_in_neurons_1,protein_kinase_C_and_casein_kinase_substrate_in_neurons_2	Hhon,HoiH23,TrH2	Placozoa	Tadh	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT60020	TrH2_TrispH2_011438-RA	Hhon_g10512.t1	HoiH23_PlH23_005346-RA		TrH2_TrispH2_011438-RA	Hhon_g10512.t1	HoiH23_PlH23_005346-RA	NA	NA	NA	NA	NA	NA	SH3_1/
