sp1	sp2	ec_value	cluster
Tadh_hyp_clust10676	Cubn	0.0404009290611899	1
Tadh_TriadG51365	Cubn	0.258571077794796	1
Tadh_TriadG54443	Cubn	0.100931107477448	1
Tadh_TriadG62718	Megf8	0.08176853702811	1
Tadh_hyp_clust7915	Cubn	0.11129535816662	1
Tadh_hyp_clust7915	Megf8	NA	1
Tadh_TriadG33832	pea	0.313798364884308	2
Tadh_hyp_clust3501	pea	NA	2
Tadh_TriadG58766	Tnks	NA	3
Tadh_TriadG58763	Tnks	NA	3
Tadh_TriadG61289	Tnks	-0.00268023354943057	3
Tadh_TriadG58773	Tnks	NA	3
Tadh_TriadG61287	Tnks	0.0770837928616461	3
Tadh_TriadG58759	Tnks	NA	3
Tadh_hyp_clust4946	Tnks	NA	3
Tadh_TriadG25061	form3	0.226605182580399	4
Tadh_hyp_clust5067	form3	NA	4
Tadh_TriadG55944	Dh44-R1	NA	5
Tadh_TriadG55944	hec	NA	5
Tadh_TriadG55944	Pdfr	NA	5
Tadh_TriadG60120	hec	0.607963898417817	5
Tadh_TriadG60120	Pdfr	0.446604620248788	5
Tadh_TriadG60120	Dh44-R1	0.612494875165054	5
Tadh_TriadG60120	Dh31-R	0.397176911978816	5
Tadh_TriadG60120	Dh44-R2	0.20049669986026	5
Tadh_hyp_clust5210	CG15556	NA	5
Tadh_hyp_clust5210	CG11318	0.218691416988375	5
Tadh_hyp_clust5210	Dh44-R1	0.317692137363351	5
Tadh_TriadG59344	Dh44-R1	0.569438124996759	5
Tadh_TriadG59344	Cirl	0.484636782110735	5
Tadh_TriadG59344	stan	0.631204820401245	5
Tadh_TriadG59344	Dh31-R	0.398947574503428	5
Tadh_TriadG60119	CG11318	0.124941948214988	5
Tadh_TriadG60119	CG15556	NA	5
Tadh_TriadG60119	hec	0.625586481957435	5
Tadh_TriadG60119	Pdfr	0.449957072715554	5
Tadh_TriadG60119	Dh31-R	0.475770415760839	5
Tadh_TriadG17345	Dh44-R2	0.410053870038166	5
Tadh_TriadG17345	Pdfr	0.2296247163971	5
Tadh_TriadG17345	Dh44-R1	0.35417220264023	5
Tadh_TriadG24251	Dh31-R	0.463191312029442	5
Tadh_TriadG61852	Cirl	0.518710702848478	5
Tadh_TriadG61852	stan	0.68964066748646	5
Tadh_TriadG59938	CG11318	0.0870454820549551	5
Tadh_TriadG59938	CG15556	NA	5
Tadh_TriadG59938	hec	0.558903973415374	5
Tadh_TriadG59938	Dh31-R	0.417036429930499	5
Tadh_TriadG60117	hec	0.552978622014743	5
Tadh_TriadG60117	Pdfr	0.399099476222397	5
Tadh_TriadG60117	Dh44-R1	0.48564192076169	5
Tadh_TriadG60117	Dh31-R	0.405743854309602	5
Tadh_TriadG60117	Dh44-R2	0.218478142282878	5
Tadh_hyp_clust6751	CG11318	NA	5
Tadh_TriadG62264	hec	NA	5
Tadh_TriadG55995	Dh44-R2	0.427636258703174	5
Tadh_TriadG30558	CG15556	NA	5
Tadh_TriadG30558	Dh44-R1	0.628690883194594	5
Tadh_TriadG59352	Dh44-R1	0.529647326306764	5
Tadh_TriadG59352	Cirl	0.471017186198478	5
Tadh_TriadG59352	stan	0.525575029431172	5
Tadh_TriadG59341	Cirl	0.291401475573731	5
Tadh_TriadG59341	stan	0.336935935955225	5
Tadh_TriadG59341	Dh44-R1	0.332284123037602	5
Tadh_TriadG59341	Dh44-R2	0.414902454729039	5
Tadh_TriadG59341	Pdfr	0.216052126138688	5
Tadh_TriadG59341	hec	0.250417387465247	5
Tadh_TriadG59341	Dh31-R	0.143838185064899	5
Tadh_TriadG55942	hec	0.283850107047662	5
Tadh_TriadG59354	Dh44-R2	0.234107978330903	5
Tadh_TriadG59354	Cirl	0.426477121592751	5
Tadh_TriadG59354	Dh44-R1	0.472081522689752	5
Tadh_TriadG59354	stan	0.441604482232149	5
Tadh_TriadG59354	Pdfr	0.401804608208995	5
Tadh_TriadG58102	Pdfr	0.459637060164925	5
Tadh_TriadG58102	hec	0.616601418477633	5
