sp1	sp2	ec_value	is_o2o
HoiH23_PlH23_008000	Hvul_g26089_1	0.106532234467529	1
HoiH23_PlH23_000244	Hvul_g30433_1	0.424173213098766	1
HoiH23_PlH23_002677	Hvul_g10982_1	0.217018798133464	1
HoiH23_PlH23_010248	Hvul_g29149_1	0.674193691560429	1
HoiH23_PlH23_006344	Hvul_g19908_1	0.58831060413967	1
HoiH23_PlH23_010827	Hvul_g19524_1	0.229341462974225	1
HoiH23_PlH23_006649	Hvul_g13847_1	0	1
HoiH23_PlH23_006652	Hvul_g249_1	0.0838595642910827	1
HoiH23_PlH23_000161	Hvul_g17212_1	0	1
HoiH23_PlH23_000981	Hvul_g17637_1	0	1
HoiH23_PlH23_008716	Hvul_g5932_1	0	1
HoiH23_PlH23_011116	Hvul_g16038_1	0.125910291264322	1
HoiH23_PlH23_004584	Hvul_g4109_1	0.218747046294773	1
HoiH23_PlH23_004348	Hvul_g7498_1	0.379046013015514	1
HoiH23_PlH23_005653	Hvul_g9809_1	0.298320356878298	1
HoiH23_PlH23_001329	Hvul_g7101_1	0	1
HoiH23_PlH23_008442	Hvul_g2914_1	0.553639290462092	1
HoiH23_PlH23_011332	Hvul_g407_1	0.553094902399873	1
HoiH23_PlH23_003899	Hvul_g5785_1	0.374674496125727	1
HoiH23_PlH23_009777	Hvul_g9597_1	0.0823063455069053	1
HoiH23_PlH23_005069	Hvul_g5563_1	0.83834348256563	1
HoiH23_PlH23_007063	Hvul_g467_1	0.0969646006579911	1
HoiH23_PlH23_003907	Hvul_g8921_1	0	1
HoiH23_PlH23_003922	Hvul_g2108_1	0	1
HoiH23_PlH23_002795	Hvul_g288_1	0.548979042846004	1
HoiH23_PlH23_001226	Hvul_g28113_1	0	1
HoiH23_PlH23_002803	Hvul_g24650_1	0.218036473125422	1
HoiH23_PlH23_004410	Hvul_g3840_1	0	1
HoiH23_PlH23_004407	Hvul_g24214_1	0.27807602434232	1
HoiH23_PlH23_004402	Hvul_g14874_1	0.760940646385527	1
HoiH23_PlH23_008538	Hvul_g30974_1	0	1
HoiH23_PlH23_007923	Hvul_g3924_1	0.314766807579589	1
HoiH23_PlH23_005470	Hvul_g877_1	0.208358641873287	1
HoiH23_PlH23_005483	Hvul_g12885_1	0.339188694439779	1
HoiH23_PlH23_002581	Hvul_g3044_1	0	1
HoiH23_PlH23_002561	Hvul_g27172_1	0	1
HoiH23_PlH23_006195	Hvul_g11974_1	0.51644091757608	1
HoiH23_PlH23_005400	Hvul_g16857_1	0.0825939880168645	1
HoiH23_PlH23_007015	Hvul_g32689_1	0.788949066096671	1
HoiH23_PlH23_007596	Hvul_g24258_1	0.461081502339525	1
HoiH23_PlH23_007801	Hvul_g7801_1	0	1
HoiH23_PlH23_007597	Hvul_g22671_1	0	1
HoiH23_PlH23_007585	Hvul_g16213_1	0.443512437388392	1
HoiH23_PlH23_008909	Hvul_g3373_1	0.185654587472295	1
HoiH23_PlH23_008990	Hvul_g2515_1	0.316930385618303	1
HoiH23_PlH23_004228	Hvul_g22450_1	0.669067359836665	1
HoiH23_PlH23_001706	Hvul_g12578_1	0.223016590494827	1
HoiH23_PlH23_001666	Hvul_g16567_1	0	1
HoiH23_PlH23_007046	Hvul_g20335_1	0	1
HoiH23_PlH23_005733	Hvul_g27449_1	0.370221810147071	1
HoiH23_PlH23_003285	Hvul_g4000_1	0	1
HoiH23_PlH23_003307	Hvul_g13634_1	0.411981107066097	1
HoiH23_PlH23_003319	Hvul_g1834_1	0	1
HoiH23_PlH23_003324	Hvul_g1642_1	0	1
HoiH23_PlH23_003334	Hvul_g7761_1	0	1
HoiH23_PlH23_001959	Hvul_g105_1	0.190405320790209	1
HoiH23_PlH23_002774	Hvul_g6171_1	0.0676187105559735	1
HoiH23_PlH23_008650	Hvul_g21927_1	0.371030128034259	1
HoiH23_PlH23_002751	Hvul_g28890_1	0.84208686428416	1
HoiH23_PlH23_005931	Hvul_g12057_1	0	1
HoiH23_PlH23_000198	Hvul_g10316_1	0.586639272530876	1
HoiH23_PlH23_001633	Hvul_g28133_1	0	1
HoiH23_PlH23_001643	Hvul_g16634_1	0	1
HoiH23_PlH23_001651	Hvul_g8439_1	0.184750141616421	1
HoiH23_PlH23_008005	Hvul_g2090_1	0	1
HoiH23_PlH23_001677	Hvul_g16643_1	0.573069017963932	1
HoiH23_PlH23_007875	Hvul_g4818_1	0.268328538924994	1
HoiH23_PlH23_008271	Hvul_g28517_1	0.449404072387669	1
HoiH23_PlH23_010225	Hvul_g20711_1	0.43411386039138	1
HoiH23_PlH23_009415	Hvul_g4967_1	0	1
HoiH23_PlH23_009418	Hvul_g3528_1	0.822360735489726	1
HoiH23_PlH23_009417	Hvul_g23140_1	0.246956225930073	1
HoiH23_PlH23_000285	Hvul_g13224_1	0.612856975611849	1
HoiH23_PlH23_003566	Hvul_g23058_1	0.359507138087497	1
HoiH23_PlH23_002055	Hvul_g33011_1	0.799336472651634	1
HoiH23_PlH23_002048	Hvul_g22056_1	0.49189419410891	1
HoiH23_PlH23_002653	Hvul_g13311_1	0.672077496600989	1
HoiH23_PlH23_002035	Hvul_g24236_1	0.572568920992693	1
HoiH23_PlH23_002021	Hvul_g32440_1	0.503560817609567	1
HoiH23_PlH23_004675	Hvul_g633_1	0	1
HoiH23_PlH23_000853	Hvul_g12409_1	0.765107780956966	1
HoiH23_PlH23_008796	Hvul_g27325_1	0.0156074640477271	1
HoiH23_PlH23_010773	Hvul_g27307_1	0.176897357867755	1
HoiH23_PlH23_006144	Hvul_g18451_1	0.794512066841454	1
HoiH23_PlH23_009908	Hvul_g27335_1	0.149205027630548	1
HoiH23_PlH23_009039	Hvul_g32442_1	0.797512821723111	1
HoiH23_PlH23_003246	Hvul_g19310_1	0.432050019882514	1
HoiH23_PlH23_003235	Hvul_g11219_1	0.701747336995806	1
HoiH23_PlH23_003227	Hvul_g16834_1	0.583650226358968	1
HoiH23_PlH23_001591	Hvul_g17278_1	0.33220804804841	1
HoiH23_PlH23_004445	Hvul_g5265_1	0.25296006704017	1
HoiH23_PlH23_000237	Hvul_g15997_1	0	1
HoiH23_PlH23_002779	Hvul_g9640_1	0.63727675067761	1
HoiH23_PlH23_005014	Hvul_g27315_1	0.512024306927325	1
HoiH23_PlH23_010700	Hvul_g25799_1	0.228483511381925	1
HoiH23_PlH23_005532	Hvul_g21007_1	0.724910543184257	1
HoiH23_PlH23_005524	Hvul_g33534_1	0.230424753050854	1
HoiH23_PlH23_005515	Hvul_g9013_1	0	1
HoiH23_PlH23_009345	Hvul_g27435_1	0.258319096415369	1
HoiH23_PlH23_000483	Hvul_g30954_1	0	1
HoiH23_PlH23_010580	Hvul_g14426_1	0.170344005692495	1
HoiH23_PlH23_008084	Hvul_g3974_1	0.0998540087899078	1
HoiH23_PlH23_005162	Hvul_g24940_1	0.538205669276327	1
HoiH23_PlH23_005156	Hvul_g14977_1	0	1
HoiH23_PlH23_008171	Hvul_g30372_1	0	1
HoiH23_PlH23_010288	Hvul_g22005_1	0.704474945744789	1
HoiH23_PlH23_000203	Hvul_g835_1	0	1
HoiH23_PlH23_005134	Hvul_g11270_1	0.101972927982427	1
HoiH23_PlH23_001413	Hvul_g32290_1	0	1
HoiH23_PlH23_009398	Hvul_g3138_1	0.722011643699575	1
HoiH23_PlH23_001403	Hvul_g32197_1	0.236343329867473	1
HoiH23_PlH23_001396	Hvul_g14754_1	0.61850131731405	1
HoiH23_PlH23_001378	Hvul_g11852_1	0	1
HoiH23_PlH23_009900	Hvul_g8757_1	0.222134483358891	1
HoiH23_PlH23_001376	Hvul_g20378_1	0.387614015784962	1
HoiH23_PlH23_001331	Hvul_g5879_1	0.575677576777195	1
HoiH23_PlH23_001348	Hvul_g1990_1	0	1
HoiH23_PlH23_003891	Hvul_g8351_1	0	1
HoiH23_PlH23_001338	Hvul_g24111_1	0.329763255205083	1
HoiH23_PlH23_008506	Hvul_g15857_1	0.263211891379641	1
HoiH23_PlH23_001483	Hvul_g21809_1	0.525425822419539	1
HoiH23_PlH23_001481	Hvul_g6985_1	0.285185531339068	1
HoiH23_PlH23_005784	Hvul_g10144_1	0.494069786594539	1
HoiH23_PlH23_005788	Hvul_g10796_1	0.470432683184301	1
HoiH23_PlH23_000811	Hvul_g16019_1	0	1
HoiH23_PlH23_005780	Hvul_g22459_1	0.721206572404304	1
HoiH23_PlH23_004781	Hvul_g3416_1	0.839711856154608	1
HoiH23_PlH23_009274	Hvul_g15991_1	0	1
HoiH23_PlH23_006842	Hvul_g10093_1	0.254616915291951	1
HoiH23_PlH23_006839	Hvul_g18519_1	0.289494029329806	1
HoiH23_PlH23_006838	Hvul_g24118_1	0.83161135509456	1
HoiH23_PlH23_006785	Hvul_g3639_1	0.499455016922655	1
HoiH23_PlH23_004124	Hvul_g21689_1	0	1
HoiH23_PlH23_003828	Hvul_g26394_1	0.325299478365833	1
HoiH23_PlH23_004839	Hvul_g4766_1	0.81679325098391	1
HoiH23_PlH23_007953	Hvul_g21883_1	0.680615197543746	1
HoiH23_PlH23_006375	Hvul_g26772_1	0	1
