TrH2_hyp_clust10124.t1	DDE_Tnp_4
TrH2_hyp_clust2989.t1	
TrH2_hyp_clust3383.t1	
TrH2_hyp_clust5004.t1	Peptidase_S9_N
TrH2_hyp_clust5143.t1	O-FucT
TrH2_hyp_clust5245.t1	
TrH2_hyp_clust5522.t1	RT_RNaseH
TrH2_hyp_clust5670.t1	
TrH2_hyp_clust8104.t1	GST_N_2 GST_C_2
TrH2_hyp_clust9682.t1	zf-C4
TrH2_hyp_clust9823.t1	ubiquitin ubiquitin ubiquitin ubiquitin
TrH2_TrispH2_000001-RA	Tropomodulin
TrH2_TrispH2_000002-RA	PEMT
TrH2_TrispH2_000003-RA	
TrH2_TrispH2_000004-RA	LysM
TrH2_TrispH2_000005-RA	WD40 WD40 WD40 WD40 WD40 WD40
TrH2_TrispH2_000006-RA	
TrH2_TrispH2_000007-RA	USP8_dimer UCH
TrH2_TrispH2_000008-RA	LRR_6 LRR_6 LRR_6
TrH2_TrispH2_000009-RA	Glyco_tran_28_C
TrH2_TrispH2_000011-RA	PEX11
TrH2_TrispH2_000012-RA	Ribosomal_L22
TrH2_TrispH2_000013-RA	UPRTase
TrH2_TrispH2_000014-RA	Ank_2 zf-MYND
TrH2_TrispH2_000015-RA	Pyr_redox_2
TrH2_TrispH2_000016-RA	Nt_Gln_amidase
TrH2_TrispH2_000017-RA	PAH PAH PAH Sin3_corepress Sin3a_C
TrH2_TrispH2_000018-RA	
TrH2_TrispH2_000019-RA	Patched
TrH2_TrispH2_000020-RA	GCP_N_terminal GCP_C_terminal
TrH2_TrispH2_000021-RA	ATP-synt
TrH2_TrispH2_000022-RA	
TrH2_TrispH2_000023-RA	Dymeclin
TrH2_TrispH2_000024-RA	MH1 MH2
TrH2_TrispH2_000025-RA	TMA7
TrH2_TrispH2_000026-RA	DUF3695
TrH2_TrispH2_000027-RA	DUF4549
TrH2_TrispH2_000028-RA	MgtE MgtE
TrH2_TrispH2_000029-RA	TRAM_LAG1_CLN8
TrH2_TrispH2_000030-RA	Ank_2
TrH2_TrispH2_000031-RA	Peptidase_S24
TrH2_TrispH2_000032-RA	
TrH2_TrispH2_000033-RA	Rft-1 Rft-1
TrH2_TrispH2_000034-RA	BTB
TrH2_TrispH2_000035-RA	WD40 WD40 WD40
TrH2_TrispH2_000036-RA	MH1 MH2
TrH2_TrispH2_000037-RA	DHFR_1
TrH2_TrispH2_000038-RA	Isochorismatase
TrH2_TrispH2_000039-RA	SAP RRM_1
TrH2_TrispH2_000040-RA	RhoGEF MORN MORN MORN MORN MORN MORN MORN MORN MORN MORN MORN MORN MORN MORN MORN MORN
TrH2_TrispH2_000041-RA	DnaJ RAC_head Myb_DNA-binding
TrH2_TrispH2_000042-RA	PX BAR
TrH2_TrispH2_000043-RA	Methyltr_RsmB-F
TrH2_TrispH2_000044-RA	Indigoidine_A PfkB PfkB
TrH2_TrispH2_000045-RA	Exo_endo_phos zf-GRF
TrH2_TrispH2_000046-RA	LRR_9 Guanylate_kin
TrH2_TrispH2_000047-RA	TPT
TrH2_TrispH2_000048-RA	DHC_N2 AAA_6 Dynein_AAA_lid AAA_7 AAA_lid_1 AAA_8 MT AAA_9 Dynein_heavy AAA_lid_11 Dynein_C
TrH2_TrispH2_000049-RA	DUF498
TrH2_TrispH2_000050-RA	Mito_carr Mito_carr Mito_carr
TrH2_TrispH2_000051-RA	WD40 WD40
TrH2_TrispH2_000052-RA	Transket_pyr Transketolase_C
TrH2_TrispH2_000053-RA	Ribosom_S12_S23
TrH2_TrispH2_000054-RA	Arf
TrH2_TrispH2_000055-RA	RPN7 PCI
TrH2_TrispH2_000056-RA	PX
TrH2_TrispH2_000057-RA	Thymopoietin LEM
TrH2_TrispH2_000058-RA	tRNA_synt_1c_R1 tRNA_synt_1c_R2 tRNA-synt_1c tRNA-synt_1c_C
TrH2_TrispH2_000059-RA	RCC1_2 RCC1 RCC1
TrH2_TrispH2_000060-RA	NPR2
TrH2_TrispH2_000061-RA	Pkinase
TrH2_TrispH2_000062-RA	Roc
TrH2_TrispH2_000063-RA	Arf Arf
