in_gene	out_gene	branch_support	ev_type	sos
Pbac_sb2644082	Plajan_Pjan_scaffold20193_01	1.0	S	0.0
Pbac_sb2644082	Opea_EP00118_Oscarella_pearsei_P010555	1.0	S	0.0
Pbac_sb2644082	Stycar_maker-SC_scaffold8635-snap-gene-0.22-mRNA-1	1.0	S	0.0
Pbac_sb2644082	Hsap_ENST00000256538	1.0	S	0.0
Pbac_sb2644082	Exapal_XM_021037529.1	1.0	S	0.0
Pbac_sb2644082	Stycar_maker-SC_scaffold8635-augustus-gene-0.19-mRNA-1	1.0	S	0.0
Pbac_sb2644082	Lcom_lcpid52091	1.0	S	0.0
Pbac_sb2644082	Hhon_g03978.t1	1.0	S	0.0
Pbac_sb2644082	Xesp_021842-T1	1.0	S	0.0
Pbac_sb2644082	Dpul_mRNA20090	1.0	S	0.0
Pbac_sb2644082	Spolac_c35274_g1_i1_m.778c35274-g1	1.0	S	0.0
Pbac_sb2644082	Gracom_Gcom_C558988_01	1.0	S	0.0
Pbac_sb2644082	Tetwil_g4896.t1	1.0	S	0.0
Pbac_sb2644082	Adig_XM_015897170.1	1.0	S	0.0
Pbac_sb2644082	Skow_XM_002731401.2	1.0	S	0.0
Pbac_sb2644082	Acagra_model.g18240.t1	1.0	S	0.0
Pbac_sb2644082	Gfas_gfas1.m1.2005.m1	1.0	S	0.0
Pbac_sb2644082	Cgig_XM_011436290.3	1.0	S	0.0
Pbac_sb2644082	Nvec_v1g158241	1.0	S	0.0
Pbac_sb2644082	Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA141560	1.0	S	0.0
Pbac_sb2644082	HoiH06_mRNA14312	1.0	S	0.0
Pbac_sb2644082	Exapal_XM_021045237.2	1.0	S	0.0
Pbac_sb2644082	Cscu_XM_023370959.1	1.0	S	0.0
Pbac_sb2644082	Spur_XM_030999726.1	1.0	S	0.0
Pbac_sb2644082	Dgig_XM_028547141.1	1.0	S	0.0
Pbac_sb2644082	Spis_XP_022798341_1	1.0	S	0.0
Pbac_sb2644082	Sanmal_Sma_023829-T1	1.0	S	0.0
Pbac_sb2644082	Xestes_maker-XT_scaffold6174-augustus-gene-0.34-mRNA-1	1.0	S	0.0
Pbac_sb2644082	Hvul_g7326_1	1.0	S	0.0
Pbac_sb2644082	Spolac_c94226_g2_i1_m.9788c35274-g1	1.0	S	0.0
Pbac_sb2644082	Tcas_TC007678_001	1.0	S	0.0
Pbac_sb2644082	HoiH23_PlH23_004576-RA	1.0	S	0.0
Pbac_sb2644082	Dpul_mRNA20091	1.0	S	0.0
Pbac_sb2644082	Nemnom_g9679.t1	1.0	S	0.0
Pbac_sb2644082	Spis_XP_022798374_1	1.0	S	0.0
Pbac_sb2644082	Stycar_maker-SC_scaffold130710-augustus-gene-0.77-mRNA-1	1.0	S	0.0
Pbac_sb2644082	Xesp_010532-T1	1.0	S	0.0
Pbac_sb2644082	Nvec_v1g238043	1.0	S	0.0
Pbac_sb2644082	Leuniv_Lniv_C807868_01	1.0	S	0.0
Pbac_sb2644082	Amil_Amillepora26540-RA	1.0	S	0.0
Pbac_sb2644082	Opea_EP00118_Oscarella_pearsei_P010554	1.0	S	0.0
Pbac_sb2644082	Spolac_c52003_g1_i1_m.1484c35274-g1	1.0	S	0.0
Pbac_sb2644082	Tadh_TriadT49818	1.0	S	0.0
Pbac_sb2644082	Plajan_Pjan_scaffold20192_01	1.0	S	0.0
Pbac_sb2644082	Rhoesc_Res_004481-T1	1.0	S	0.0
Pbac_sb2644082	Aque_Aqu2.1.20366_001	1.0	S	0.0
Pbac_sb2644082	Plespi_Pspi_C611674_01	1.0	S	0.0
Pbac_sb2644082	Chem_TCONS_00022326	1.0	S	0.0
Pbac_sb2644082	Dgig_XM_028561639.1	1.0	S	0.0
Pbac_sb2644082	Bralan_BLAG04001288_1	1.0	S	0.0
Pbac_sb2644082	Gasp_gasp1.m3.10569.m1	1.0	S	0.0
Pbac_sb2644082	Aaur_scaffold144.g17.t3	1.0	S	0.0
Pbac_sb2644082	Emue_Em0019g1101a.t1	1.0	S	0.0
Pbac_sb2644082	HoiH04_mRNA11689	1.0	S	0.0
Pbac_sb2644082	Acagra_model.g18240.t1.2.5d3b8964	1.0	S	0.0
Pbac_sb2644082	TrH2_TrispH2_004034-RA	1.0	S	0.0
Pbac_sb2644082	Ocar_g10277	1.0	S	0.0
Pbac_sb2644082	Pocdam_XM_027204639.1	1.0	S	0.0
Bolinf_Binf_sb1244900	Plajan_Pjan_scaffold20193_01	1.0	S	0.0
Bolinf_Binf_sb1244900	Opea_EP00118_Oscarella_pearsei_P010555	1.0	S	0.0
Bolinf_Binf_sb1244900	Stycar_maker-SC_scaffold8635-snap-gene-0.22-mRNA-1	1.0	S	0.0
Bolinf_Binf_sb1244900	Hsap_ENST00000256538	1.0	S	0.0
Bolinf_Binf_sb1244900	Exapal_XM_021037529.1	1.0	S	0.0
Bolinf_Binf_sb1244900	Stycar_maker-SC_scaffold8635-augustus-gene-0.19-mRNA-1	1.0	S	0.0
Bolinf_Binf_sb1244900	Lcom_lcpid52091	1.0	S	0.0
Bolinf_Binf_sb1244900	Hhon_g03978.t1	1.0	S	0.0
Bolinf_Binf_sb1244900	Xesp_021842-T1	1.0	S	0.0
Bolinf_Binf_sb1244900	Dpul_mRNA20090	1.0	S	0.0
Bolinf_Binf_sb1244900	Spolac_c35274_g1_i1_m.778c35274-g1	1.0	S	0.0
Bolinf_Binf_sb1244900	Gracom_Gcom_C558988_01	1.0	S	0.0
Bolinf_Binf_sb1244900	Tetwil_g4896.t1	1.0	S	0.0
Bolinf_Binf_sb1244900	Adig_XM_015897170.1	1.0	S	0.0
Bolinf_Binf_sb1244900	Skow_XM_002731401.2	1.0	S	0.0
Bolinf_Binf_sb1244900	Acagra_model.g18240.t1	1.0	S	0.0
Bolinf_Binf_sb1244900	Gfas_gfas1.m1.2005.m1	1.0	S	0.0
Bolinf_Binf_sb1244900	Cgig_XM_011436290.3	1.0	S	0.0
Bolinf_Binf_sb1244900	Nvec_v1g158241	1.0	S	0.0
Bolinf_Binf_sb1244900	Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA141560	1.0	S	0.0
Bolinf_Binf_sb1244900	HoiH06_mRNA14312	1.0	S	0.0
Bolinf_Binf_sb1244900	Exapal_XM_021045237.2	1.0	S	0.0
Bolinf_Binf_sb1244900	Cscu_XM_023370959.1	1.0	S	0.0
Bolinf_Binf_sb1244900	Spur_XM_030999726.1	1.0	S	0.0
Bolinf_Binf_sb1244900	Dgig_XM_028547141.1	1.0	S	0.0
Bolinf_Binf_sb1244900	Spis_XP_022798341_1	1.0	S	0.0
Bolinf_Binf_sb1244900	Sanmal_Sma_023829-T1	1.0	S	0.0
Bolinf_Binf_sb1244900	Xestes_maker-XT_scaffold6174-augustus-gene-0.34-mRNA-1	1.0	S	0.0
Bolinf_Binf_sb1244900	Hvul_g7326_1	1.0	S	0.0
Bolinf_Binf_sb1244900	Spolac_c94226_g2_i1_m.9788c35274-g1	1.0	S	0.0
Bolinf_Binf_sb1244900	Tcas_TC007678_001	1.0	S	0.0
Bolinf_Binf_sb1244900	HoiH23_PlH23_004576-RA	1.0	S	0.0
Bolinf_Binf_sb1244900	Dpul_mRNA20091	1.0	S	0.0
Bolinf_Binf_sb1244900	Nemnom_g9679.t1	1.0	S	0.0
Bolinf_Binf_sb1244900	Spis_XP_022798374_1	1.0	S	0.0
Bolinf_Binf_sb1244900	Stycar_maker-SC_scaffold130710-augustus-gene-0.77-mRNA-1	1.0	S	0.0
Bolinf_Binf_sb1244900	Xesp_010532-T1	1.0	S	0.0
Bolinf_Binf_sb1244900	Nvec_v1g238043	1.0	S	0.0
Bolinf_Binf_sb1244900	Leuniv_Lniv_C807868_01	1.0	S	0.0
Bolinf_Binf_sb1244900	Amil_Amillepora26540-RA	1.0	S	0.0
Bolinf_Binf_sb1244900	Opea_EP00118_Oscarella_pearsei_P010554	1.0	S	0.0
Bolinf_Binf_sb1244900	Spolac_c52003_g1_i1_m.1484c35274-g1	1.0	S	0.0
Bolinf_Binf_sb1244900	Tadh_TriadT49818	1.0	S	0.0
Bolinf_Binf_sb1244900	Plajan_Pjan_scaffold20192_01	1.0	S	0.0
Bolinf_Binf_sb1244900	Rhoesc_Res_004481-T1	1.0	S	0.0
Bolinf_Binf_sb1244900	Aque_Aqu2.1.20366_001	1.0	S	0.0
Bolinf_Binf_sb1244900	Plespi_Pspi_C611674_01	1.0	S	0.0
Bolinf_Binf_sb1244900	Chem_TCONS_00022326	1.0	S	0.0
Bolinf_Binf_sb1244900	Dgig_XM_028561639.1	1.0	S	0.0
Bolinf_Binf_sb1244900	Bralan_BLAG04001288_1	1.0	S	0.0
Bolinf_Binf_sb1244900	Gasp_gasp1.m3.10569.m1	1.0	S	0.0
Bolinf_Binf_sb1244900	Aaur_scaffold144.g17.t3	1.0	S	0.0
Bolinf_Binf_sb1244900	Emue_Em0019g1101a.t1	1.0	S	0.0
Bolinf_Binf_sb1244900	HoiH04_mRNA11689	1.0	S	0.0
Bolinf_Binf_sb1244900	Acagra_model.g18240.t1.2.5d3b8964	1.0	S	0.0
Bolinf_Binf_sb1244900	TrH2_TrispH2_004034-RA	1.0	S	0.0
Bolinf_Binf_sb1244900	Ocar_g10277	1.0	S	0.0
Bolinf_Binf_sb1244900	Pocdam_XM_027204639.1	1.0	S	0.0
Mertsp_Mesp_sb551241	Plajan_Pjan_scaffold20193_01	1.0	S	0.0
Mertsp_Mesp_sb551241	Opea_EP00118_Oscarella_pearsei_P010555	1.0	S	0.0
Mertsp_Mesp_sb551241	Stycar_maker-SC_scaffold8635-snap-gene-0.22-mRNA-1	1.0	S	0.0
Mertsp_Mesp_sb551241	Hsap_ENST00000256538	1.0	S	0.0
Mertsp_Mesp_sb551241	Exapal_XM_021037529.1	1.0	S	0.0
Mertsp_Mesp_sb551241	Stycar_maker-SC_scaffold8635-augustus-gene-0.19-mRNA-1	1.0	S	0.0
Mertsp_Mesp_sb551241	Lcom_lcpid52091	1.0	S	0.0
Mertsp_Mesp_sb551241	Hhon_g03978.t1	1.0	S	0.0
Mertsp_Mesp_sb551241	Xesp_021842-T1	1.0	S	0.0
Mertsp_Mesp_sb551241	Dpul_mRNA20090	1.0	S	0.0
Mertsp_Mesp_sb551241	Spolac_c35274_g1_i1_m.778c35274-g1	1.0	S	0.0
Mertsp_Mesp_sb551241	Gracom_Gcom_C558988_01	1.0	S	0.0
Mertsp_Mesp_sb551241	Tetwil_g4896.t1	1.0	S	0.0
Mertsp_Mesp_sb551241	Adig_XM_015897170.1	1.0	S	0.0
Mertsp_Mesp_sb551241	Skow_XM_002731401.2	1.0	S	0.0
Mertsp_Mesp_sb551241	Acagra_model.g18240.t1	1.0	S	0.0
Mertsp_Mesp_sb551241	Gfas_gfas1.m1.2005.m1	1.0	S	0.0
Mertsp_Mesp_sb551241	Cgig_XM_011436290.3	1.0	S	0.0
Mertsp_Mesp_sb551241	Nvec_v1g158241	1.0	S	0.0
Mertsp_Mesp_sb551241	Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA141560	1.0	S	0.0
Mertsp_Mesp_sb551241	HoiH06_mRNA14312	1.0	S	0.0
Mertsp_Mesp_sb551241	Exapal_XM_021045237.2	1.0	S	0.0
Mertsp_Mesp_sb551241	Cscu_XM_023370959.1	1.0	S	0.0
Mertsp_Mesp_sb551241	Spur_XM_030999726.1	1.0	S	0.0
Mertsp_Mesp_sb551241	Dgig_XM_028547141.1	1.0	S	0.0
Mertsp_Mesp_sb551241	Spis_XP_022798341_1	1.0	S	0.0
Mertsp_Mesp_sb551241	Sanmal_Sma_023829-T1	1.0	S	0.0
Mertsp_Mesp_sb551241	Xestes_maker-XT_scaffold6174-augustus-gene-0.34-mRNA-1	1.0	S	0.0
Mertsp_Mesp_sb551241	Hvul_g7326_1	1.0	S	0.0
Mertsp_Mesp_sb551241	Spolac_c94226_g2_i1_m.9788c35274-g1	1.0	S	0.0
Mertsp_Mesp_sb551241	Tcas_TC007678_001	1.0	S	0.0
Mertsp_Mesp_sb551241	HoiH23_PlH23_004576-RA	1.0	S	0.0
Mertsp_Mesp_sb551241	Dpul_mRNA20091	1.0	S	0.0
Mertsp_Mesp_sb551241	Nemnom_g9679.t1	1.0	S	0.0
Mertsp_Mesp_sb551241	Spis_XP_022798374_1	1.0	S	0.0
Mertsp_Mesp_sb551241	Stycar_maker-SC_scaffold130710-augustus-gene-0.77-mRNA-1	1.0	S	0.0
Mertsp_Mesp_sb551241	Xesp_010532-T1	1.0	S	0.0
Mertsp_Mesp_sb551241	Nvec_v1g238043	1.0	S	0.0
Mertsp_Mesp_sb551241	Leuniv_Lniv_C807868_01	1.0	S	0.0
Mertsp_Mesp_sb551241	Amil_Amillepora26540-RA	1.0	S	0.0
Mertsp_Mesp_sb551241	Opea_EP00118_Oscarella_pearsei_P010554	1.0	S	0.0
Mertsp_Mesp_sb551241	Spolac_c52003_g1_i1_m.1484c35274-g1	1.0	S	0.0
Mertsp_Mesp_sb551241	Tadh_TriadT49818	1.0	S	0.0
Mertsp_Mesp_sb551241	Plajan_Pjan_scaffold20192_01	1.0	S	0.0
Mertsp_Mesp_sb551241	Rhoesc_Res_004481-T1	1.0	S	0.0
Mertsp_Mesp_sb551241	Aque_Aqu2.1.20366_001	1.0	S	0.0
Mertsp_Mesp_sb551241	Plespi_Pspi_C611674_01	1.0	S	0.0
Mertsp_Mesp_sb551241	Chem_TCONS_00022326	1.0	S	0.0
Mertsp_Mesp_sb551241	Dgig_XM_028561639.1	1.0	S	0.0
Mertsp_Mesp_sb551241	Bralan_BLAG04001288_1	1.0	S	0.0
Mertsp_Mesp_sb551241	Gasp_gasp1.m3.10569.m1	1.0	S	0.0
