sp1	sp2	ec_value	is_o2o
TrH2_TrispH2_005795	Nvec_v1g215851	0.355226361034364	1
TrH2_TrispH2_001179	Nvec_v1g237969	0.77903629601595	1
TrH2_TrispH2_003604	Nvec_v1g192346	0.694426138196475	1
TrH2_TrispH2_005850	Nvec_v1g208385	0	1
TrH2_TrispH2_006662	Nvec_v1g167541	0.471837975135993	1
TrH2_TrispH2_009678	Nvec_v1g169697	0.11502643674672	1
TrH2_TrispH2_006361	Nvec_NVE6260	0.0373952964588191	1
TrH2_TrispH2_010651	Nvec_v1g188066	0.216557245681551	1
TrH2_TrispH2_006130	Nvec_v1g207834	0	1
TrH2_TrispH2_006136	Nvec_v1g189578	0	1
TrH2_TrispH2_006138	Nvec_v1g158855	0.044110310341789	1
TrH2_TrispH2_006142	Nvec_v1g160815	0	1
TrH2_TrispH2_004806	Nvec_v1g183953	0	1
TrH2_TrispH2_011088	Nvec_v1g241507	0.179323219721864	1
TrH2_TrispH2_007510	Nvec_v1g197432	0	1
TrH2_TrispH2_004870	Nvec_v1g203929	0	1
TrH2_TrispH2_004289	Nvec_v1g94433	0	1
TrH2_TrispH2_004872	Nvec_v1g228991	0	1
TrH2_TrispH2_003740	Nvec_v1g11424	0.0362338099784782	1
TrH2_TrispH2_008759	Nvec_v1g181274	0	1
TrH2_TrispH2_003757	Nvec_v1g244746	0.0123937427598261	1
TrH2_TrispH2_003759	Nvec_v1g185231	0.227615954874699	1
TrH2_TrispH2_003763	Nvec_v1g206981	0.123256532568863	1
TrH2_TrispH2_004787	Nvec_v1g184492	0.0100058160175703	1
TrH2_TrispH2_003765	Nvec_v1g21219	0.221142591369745	1
TrH2_TrispH2_007492	Nvec_v1g246640	0	1
TrH2_TrispH2_007803	Nvec_v1g60162	0.825973487380019	1
TrH2_TrispH2_003796	Nvec_v1g120147	0	1
TrH2_TrispH2_006575	Nvec_v1g215351	0.118996231595325	1
TrH2_TrispH2_008561	Nvec_v1g161481	0.305844757259288	1
TrH2_TrispH2_001975	Nvec_NVE3066	0	1
TrH2_TrispH2_000708	Nvec_v1g158887	0	1
TrH2_TrispH2_004293	Nvec_v1g239752	0.108168265973993	1
TrH2_TrispH2_004292	Nvec_v1g169195	0	1
TrH2_TrispH2_001454	Nvec_v1g235110	0	1
TrH2_TrispH2_004296	Nvec_v1g106150	0	1
TrH2_TrispH2_001589	Nvec_v1g181066	0.41589813295474	1
TrH2_TrispH2_006457	Nvec_v1g138459	0.0775027425767668	1
TrH2_TrispH2_009981	Nvec_v1g113611	0.804807828356439	1
TrH2_TrispH2_001580	Nvec_v1g200334	0	1
TrH2_TrispH2_011099	Nvec_v1g226527	0	1
TrH2_TrispH2_010242	Nvec_v1g162820	0	1
TrH2_TrispH2_010247	Nvec_v1g176892	0.680438056582545	1
TrH2_TrispH2_002289	Nvec_v1g96085	0.127686992847104	1
TrH2_TrispH2_010255	Nvec_v1g239804	0.389727771435921	1
TrH2_TrispH2_001699	Nvec_v1g105681	0.666784545118261	1
TrH2_TrispH2_001721	Nvec_v1g209275	0	1
TrH2_TrispH2_001762	Nvec_v1g20232	0.534287393320713	1
TrH2_TrispH2_001782	Nvec_v1g228964	0	1
TrH2_TrispH2_001795	Nvec_v1g90289	0.044810125806517	1
TrH2_TrispH2_004878	Nvec_NVE12720	0.427847659847576	1
TrH2_TrispH2_004877	Nvec_v1g167144	0.638448003764498	1
TrH2_TrispH2_004889	Nvec_v1g11327	0.814065976522375	1
TrH2_TrispH2_006183	Nvec_v1g85009	0.142255302844927	1
TrH2_TrispH2_007856	Nvec_v1g84810	0.763037064052371	1
TrH2_TrispH2_004906	Nvec_v1g92443	0.144367619939568	1
TrH2_TrispH2_004912	Nvec_v1g92368	0	1
TrH2_TrispH2_007857	Nvec_v1g179043	0.301338099755468	1
TrH2_TrispH2_008311	Nvec_NVE23969	0	1
TrH2_TrispH2_004933	Nvec_NVE13985	0	1
TrH2_TrispH2_006036	Nvec_v1g238337	0	1
TrH2_TrispH2_004042	Nvec_NVE19623	0.581871019664335	1
TrH2_TrispH2_004700	Nvec_v1g217538	0.260111426037013	1
TrH2_TrispH2_004705	Nvec_v1g178517	0.313272298542851	1
TrH2_TrispH2_002011	Nvec_v1g247309	0	1
TrH2_TrispH2_009611	Nvec_v1g235323	0	1
TrH2_TrispH2_004720	Nvec_v1g181605	0.247766583526767	1
TrH2_TrispH2_004726	Nvec_v1g120503	0	1
TrH2_TrispH2_006258	Nvec_v1g228171	0	1
TrH2_TrispH2_004738	Nvec_v1g228922	0.481799349829957	1
TrH2_TrispH2_004749	Nvec_v1g82969	0.50857833337219	1
TrH2_TrispH2_004751	Nvec_v1g243846	0.193257587502019	1
TrH2_TrispH2_004760	Nvec_v1g88221	0.159261692319795	1
TrH2_TrispH2_005655	Nvec_v1g196546	0.528490126586357	1
TrH2_TrispH2_003793	Nvec_v1g240145	0.589028759450392	1
TrH2_TrispH2_003820	Nvec_v1g242707	0	1
TrH2_TrispH2_003824	Nvec_v1g212544	0	1
TrH2_TrispH2_003831	Nvec_v1g118882	0.123891660668474	1
TrH2_TrispH2_003837	Nvec_v1g92254	0.114756272031967	1
TrH2_TrispH2_003832	Nvec_v1g233989	0	1
TrH2_TrispH2_003856	Nvec_v1g170886	0.504976277844417	1
TrH2_TrispH2_003850	Nvec_v1g13800	0.282937022651438	1
