Tadh_TriadT56732	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4
Tadh_TriadT27767	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E
Tadh_TriadT54817	ARID_BRIGHT.HG1.0:ARID2;RFX.HG1.1:ARID2
Tadh_TriadT57024	ARID_BRIGHT.HG1.1:ARID4A/ARID4B
Tadh_TriadT17654	ARID_BRIGHT.HG1.3:ARID1A/ARID1B/ARID3A/ARID3B/ARID3C
Tadh_TriadT55681	ARID_BRIGHT.HG1.7:JARID2
Tadh_TriadT23466	ARID_BRIGHT.HG1.8:KDM5A/KDM5B/KDM5C/KDM5D
Tadh_TriadT51754	Brinker.HG1.3:like:POGK
Tadh_wf_g6584.t1	Brinker.HG1.3:like:POGK
Tadh_TriadT60298	bZIP.HG1.1:like:BACH1/BACH2/MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NFE2/NFE2L1/NFE2L2/NFE2L3/NRL
Tadh_wf_g1382.t1	bZIP.HG1.12:FOS/FOSB/FOSL1/FOSL2
Tadh_TriadT52591	bZIP.HG1.3:MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NRL
Tadh_TriadT52592	bZIP.HG1.3:MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NRL
Tadh_TriadT60616	bZIP.HG1.5:BACH1/BACH2/NFE2/NFE2L1/NFE2L2/NFE2L3
Tadh_TriadT63596	bZIP.HG1.6:ATF4/ATF5
Tadh_TriadT60644	bZIP.HG1.7:ATF2/ATF7/ATF7-NPFF/CREB5
Tadh_TriadT64084	bZIP.HG1.9:JUN/JUNB/JUND
Tadh_TriadT53424	bZIP.HG2.1:ATF6/ATF6B
Tadh_TriadT54968	bZIP.HG2.3:ATF1/CREB1/CREM
Tadh_TriadT64159	bZIP.HG2.5:XBP1
Tadh_TriadT54788	bZIP.HG2.9:CREB3L1/CREB3L2
Tadh_TriadT9287	bZIP.HG3.19:like:CEBPG
Tadh_TriadT53726	bZIP.HG3.4:like:DBP/HLF/NFIL3/NFILZ/TEF
Tadh_TriadT52980	bZIP.HG3.5:DBP/HLF/TEF
Tadh_wf_g1735.t1	bZIP.HG3.5:DBP/HLF/TEF
Tadh_TriadT61920	bZIP.HG3.8:like:NFIL3/NFILZ
Tadh_TriadT61467	bZIP.HG4.0:NA
Tadh_TriadT52268	CSD.HG1.0:CSDE1
Tadh_TriadT20474	CSD.HG1.4:CARHSP1/CSDC2
Tadh_TriadT64023	CSD.HG1.6:YBX1/YBX2/YBX3
Tadh_TriadT62972	CSD.HG1.7:like:CARHSP1/CSDC2
Tadh_TriadT9574	Doublesex_DM.HG1.14:like:DMRTA1/DMRTA2
Tadh_TriadT9565	Doublesex_DM.HG1.15:like:DMRTA1/DMRTA2
Tadh_TriadT62297	Doublesex_DM.HG1.18:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1
Tadh_TriadT32839	E2F_TDP.HG1.1:TFDP1/TFDP2/TFDP3
Tadh_TriadT6275	E2F_TDP.HG1.2:E2F7/E2F8
Tadh_TriadT58918	E2F_TDP.HG1.6:like:E2F1/E2F2/E2F3/E2F4/E2F5/E2F6
Tadh_TriadT50818	E2F_TDP.HG1.9:E2F4/E2F5
Tadh_TriadT19387	Ets.HG1.1:ETS1/ETS2/ETV2
Tadh_TriadT38199	Ets.HG1.14:like:AC020909.1/EHF/ELF1/ELF2/ELF3/ELF4/ELF5/ETV6/ETV7/SPDEF/SPI1/SPIB/SPIC
Tadh_TriadT29770	Ets.HG1.15:ETV6/ETV7
Tadh_TriadT17503	Ets.HG1.16:AC020909.1/EHF/ELF1/ELF2/ELF3/ELF4/ELF5/SPDEF/SPI1/SPIB/SPIC
Tadh_TriadT17618	Ets.HG1.3:GABPA
Tadh_TriadT8966	Ets.HG1.4:ERF/ERFL/ERG/ETV3/ETV3L/FEV/FLI1
Tadh_TriadT6886	Ets.HG1.9:ETV1/ETV4/ETV5
Tadh_TriadT7195	Forkhead.HG1.1:like:AC097634.4/FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXC1/FOXC2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3/FOXF1/FOXF2/FOXG1/FOXH1/FOXI1/FOXI2/FOXI3/FOXJ1/FOXJ2/FOXJ3/FOXK1/FOXK2/FOXL1/FOXL2/FOXL3/FOXM1/FOXN1/FOXN2/FOXN3/FOXN4/FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6/FOXP1/FOXP2/FOXP3/FOXP4/FOXQ1/FOXR1/FOXR2/FOXS1
Tadh_TriadT57744	Forkhead.HG1.10:FOXJ2/FOXJ3
Tadh_TriadT30534	Forkhead.HG1.13:FOXC1/FOXC2/FOXL1/FOXS1
Tadh_TriadT23008	Forkhead.HG1.14:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3
Tadh_TriadT27448	Forkhead.HG1.14:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3
Tadh_TriadT28100	Forkhead.HG1.14:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3
Tadh_TriadT28108	Forkhead.HG1.14:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3
Tadh_TriadT20374	Forkhead.HG1.15:FOXM1
Tadh_TriadT30602	Forkhead.HG1.18:FOXF1/FOXF2
Tadh_TriadT30486	Forkhead.HG1.21:FOXQ1
Tadh_TriadT51743	Forkhead.HG1.24:FOXN1/FOXN4/FOXR1/FOXR2
Tadh_TriadT17577	Forkhead.HG1.30:FOXN2/FOXN3
Tadh_TriadT24515	Forkhead.HG1.31:AC097634.4/FOXP1/FOXP2/FOXP3/FOXP4
Tadh_TriadT25137	Forkhead.HG1.33:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6
Tadh_TriadT17444	Forkhead.HG1.5:FOXJ1
Tadh_TriadT21017	Forkhead.HG1.6:FOXK1/FOXK2
Tadh_TriadT19948	Forkhead.HG1.8:FOXG1
Tadh_TriadT29433	Forkhead.HG1.8:FOXG1
Tadh_wf_g9182.t1	Forkhead.HG1.8:FOXG1
Tadh_TriadT59720	GATA.HG1.14:GATA4/GATA5/GATA6
Tadh_TriadT57654	GATA.HG2.0:RERE
Tadh_TriadT25702	Grainyhead_LSF.HG1.1:GRHL1/GRHL2/GRHL3
Tadh_TriadT14211	HLH.HG1.0:ARNT/ARNT2/ARNTL/ARNTL2
Tadh_TriadT59292	HLH.HG1.11:BHLHE40/BHLHE41/HELT
Tadh_TriadT61134	HLH.HG1.12:HEY1/HEY2/HEYL
Tadh_TriadT57355	HLH.HG1.13:HES1/HES2/HES3/HES4/HES5/HES6/HES7
Tadh_TriadT62099	HLH.HG1.23:USF1/USF2
Tadh_TriadT53573	HLH.HG1.28:MLX
Tadh_TriadT51792	HLH.HG1.32:MAX
Tadh_TriadT61425	HLH.HG1.36:MXD1/MXD3/MXD4/MXI1
Tadh_TriadT56571	HLH.HG1.37:like:MYC/MYCL/MYCN
Tadh_TriadT57914	HLH.HG1.39:MYC/MYCL/MYCN
Tadh_TriadT56431	HLH.HG1.45:AC019117.3/AHR/AHRR
Tadh_TriadT62233	HLH.HG1.6:SREBF1/SREBF2
Tadh_TriadT60032	HLH.HG1.7:MITF/TFE3/TFEB/TFEC
Tadh_TriadT56276	HLH.HG1.8:like:MAX/MGA/MITF/MLX/MLXIP/MLXIPL/MNT/MXD1/MXD3/MXD4/MXI1/MYC/MYCL/MYCN/SREBF1/SREBF2/TFE3/TFEB/TFEC/USF1/USF2/USF3
Tadh_TriadT8076	HLH.HG2.20:TCF3/TCF4/TCF12
Tadh_wf_g8866.t1	HLH.HG2.26:like:ATOH1/ATOH7/ATOH8/BHLHA9/BHLHA15/BHLHE22/BHLHE23/NEUROD1/NEUROD2/NEUROD4/NEUROD6/NEUROG1/NEUROG2/NEUROG3/OLIG1/OLIG2/OLIG3
Tadh_TriadT54311	HLH.HG2.31:like:ASCL1/ASCL2/ASCL3/ASCL4/ASCL5
Tadh_wf_g3088.t1	HLH.HG2.31:like:ASCL1/ASCL2/ASCL3/ASCL4/ASCL5
Tadh_TriadT9370	HLH.HG2.33:PTF1A
Tadh_TriadT54312	HLH.HG2.35:like:ASCL3/ASCL4/ASCL5
Tadh_TriadT7436	HLH.HG2.36:ASCL3/ASCL4/ASCL5
Tadh_TriadT55034	HLH.HG2.37:like:FERD3L/PTF1A
Tadh_TriadT56913	HLH.HG2.38:FERD3L
Tadh_TriadT9345	HLH.HG2.48:NEUROD1/NEUROD2/NEUROD4/NEUROD6
Tadh_TriadT55857	HLH.HG2.53:BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3
Tadh_TriadT9478	HLH.HG2.53:BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3
Tadh_TriadT59765	HLH.HG2.57:like:ATOH8/BHLHA9/NEUROD1/NEUROD2/NEUROD4/NEUROD6
Tadh_TriadT9440	HLH.HG2.57:like:ATOH8/BHLHA9/NEUROD1/NEUROD2/NEUROD4/NEUROD6
Tadh_TriadT28406	HLH.HG3.0:EBF1/EBF2/EBF3/EBF4
Tadh_TriadT7110	HMGbox_Sox.HG1.12:like:SMARCE1
Tadh_TriadT53566	HMGbox_Sox.HG1.13:SMARCE1
Tadh_TriadT23407	HMGbox_Sox.HG1.2:HMG20A/HMG20B
Tadh_TriadT58720	HMGbox_Sox.HG1.2:HMG20A/HMG20B
Tadh_TriadT55419	HMGbox_Sox.HG1.20:HBP1
Tadh_TriadT21755	HMGbox_Sox.HG1.23:AC105001.2/SOX4/SOX7/SOX8/SOX9/SOX10/SOX11/SOX12/SOX17/SOX18
Tadh_TriadT57974	HMGbox_Sox.HG1.23:AC105001.2/SOX4/SOX7/SOX8/SOX9/SOX10/SOX11/SOX12/SOX17/SOX18
Tadh_TriadT55585	HMGbox_Sox.HG1.28:like:HMGXB4
Tadh_TriadT51474	HMGbox_Sox.HG1.29:like:HMGXB4
Tadh_TriadT30575	HMGbox_Sox.HG1.3:LEF1/TCF7/TCF7L1/TCF7L2
Tadh_TriadT59858	HMGbox_Sox.HG1.30:like:UBTF/UBTFL1
Tadh_TriadT58452	HMGbox_Sox.HG1.32:UBTF/UBTFL1
Tadh_TriadT64155	HMGbox_Sox.HG1.34:SSRP1
Tadh_TriadT56397	HMGbox_Sox.HG1.39:like:HMGB1/HMGB2/HMGB3/HMGB4
Tadh_TriadT19608	HMGbox_Sox.HG1.46:SOX14/SOX21
Tadh_TriadT17959	HMGbox_Sox.HG1.47:like:SOX1/SOX2/SOX3
Tadh_TriadT24518	HMGbox_Sox.HG1.48:SOX1/SOX2/SOX3
Tadh_TriadT9178	Homeodomains.HG1.1:CDX1/CDX2/CDX4/HOXA13/HOXB13/HOXC13/HOXD13
Tadh_TriadT49524	Homeodomains.HG1.18:EMX1/EMX2/NOTO/VAX1/VAX2
Tadh_TriadT49530	Homeodomains.HG1.27:DLX1/DLX2/DLX3/DLX4/DLX5/DLX6
Tadh_TriadT51739	Homeodomains.HG1.29:MSX1/MSX2
Tadh_TriadT50928	Homeodomains.HG1.34:HMX1/HMX2/HMX3
